innodb_thread_concurrency,max_allowed_packet,innodb_io_capacity_max,tmp_table_size,query_prealloc_size,max_heap_table_size,transaction_alloc_block_size,join_buffer_size,innodb_flush_log_at_trx_commit,innodb_max_dirty_pages_pct_lwm,innodb_buffer_pool_size,key_cache_age_threshold,binlog_cache_size,innodb_purge_rseg_truncate_frequency,query_cache_limit,binlog_row_image,innodb_lru_scan_depth,sort_buffer_size,innodb_stats_transient_sample_pages,innodb_adaptive_max_sleep_delay,throughput,cost,fidelity,prepare_time,run_time,clean_time
714,770996639,6990,660198971,72248135,817268869,89773,992564102,1,83,14476916998,9877,1565863686,77,114115402,minimal,876,10679764,66,465307,233.48,75.1291151046753,"[10, 50, 100000, 4, 0.5]",59.68838310241699,10.0924813747406,1.6814274787902832
519,711463601,20186,660263480,74639027,70440805,21066,857739482,2,0,15514632788,20241,510217143,117,5125658,full,1467,124759626,93,292303,198.96,79.34955167770386,"[10, 50, 100000, 4, 0.5]",64.83921766281128,10.183719873428345,1.240405559539795
553,331905390,34094,645694717,99767938,718626785,112891,779010043,2,74,13940956623,12057,4250092363,107,12751844,minimal,3518,87338587,49,743838,193.72,85.33635330200195,"[10, 50, 100000, 4, 0.5]",71.09053301811218,10.114182710647583,1.028123378753662
320,137127069,39549,849237772,125885952,656206660,72792,98941283,1,18,12601152897,1256,3967806019,128,24125314,minimal,2997,85665478,39,580071,189.0,84.52293825149536,"[10, 50, 100000, 4, 0.5]",69.59306216239929,10.151420593261719,1.6902399063110352
791,844716460,14112,749058016,124541990,718418057,97207,823779034,0,60,15096056091,1624,3183708167,97,123195301,noblob,1356,9565540,92,963053,221.19,81.00436210632324,"[10, 50, 100000, 4, 0.5]",66.3761043548584,10.203191995620728,1.3410227298736572
952,48236329,5953,575846012,95492273,192502242,94025,1033869830,2,34,12805192825,16766,2738879589,6,82991217,minimal,2800,112825835,12,947598,224.91,74.99000239372253,"[10, 50, 100000, 4, 0.5]",60.32708024978638,10.260238409042358,1.312436580657959
28,569604182,21322,366931593,72934379,1015393724,27074,861502796,2,28,14058449131,2063,1008071828,38,65154833,minimal,1047,125225834,63,590148,202.9,81.55085277557373,"[10, 50, 100000, 4, 0.5]",67.17058253288269,10.119872331619263,1.1750047206878662
368,96218438,21366,849114185,4601985,479032445,72860,454324849,1,54,10546791917,18999,1405394689,104,28035728,minimal,6699,39446020,26,646178,199.51,88.53264570236206,"[10, 50, 100000, 4, 0.5]",73.87471151351929,10.095560550689697,1.4631843566894531
989,1009598764,25994,801844703,98427145,153639201,101538,113661118,1,37,10636382404,11699,3538602235,87,16595347,full,5225,15958333,50,912080,211.51,82.31403422355652,"[10, 50, 100000, 4, 0.5]",67.15638852119446,10.201676368713379,1.8573229312896729
123,256613102,6227,1027206927,82927038,799610930,57922,223267172,1,76,13689057922,378,1622887077,1,10041324,noblob,5479,82170395,25,988598,217.83,77.34291553497314,"[10, 50, 100000, 4, 0.5]",62.47541046142578,10.096375465393066,1.6898674964904785
212,783495098,37244,1061575917,19638132,637331850,60939,501477497,1,76,11938079473,3404,3702970916,117,65070110,noblob,3828,69106509,26,963306,188.03,82.61538529396057,"[10, 50, 100000, 4, 0.5]",67.73540735244751,10.172572135925293,1.5958480834960938
60,272566080,1432,862593213,3690163,116893779,74917,472460877,2,80,14984454538,8557,1303187086,106,103636316,full,7185,12555071,7,506731,210.62,74.59534645080566,"[10, 50, 100000, 4, 0.5]",60.33145189285278,10.185791015625,0.9775183200836182
518,77704821,20524,929779043,127645908,496843259,85598,284195524,1,25,11140515665,27147,1856012528,56,3541768,minimal,2695,29030804,74,921738,205.11,80.0234215259552,"[10, 50, 100000, 4, 0.5]",65.07953333854675,10.109055757522583,1.7323789596557617
696,206308897,18229,503076328,42509405,934037698,28182,1070692374,1,79,15110538965,27820,1555439917,55,17875583,noblob,4368,78654164,85,891001,209.91,85.08324766159058,"[10, 50, 100000, 4, 0.5]",70.05748057365417,10.081189155578613,1.8344671726226807
202,244148722,5662,882067818,63099291,478351538,95734,932383444,2,24,11674309663,10642,3038122388,50,100163744,minimal,6229,32649514,91,65874,219.11,74.26698899269104,"[10, 50, 100000, 4, 0.5]",59.684693336486816,10.11747121810913,1.336228847503662
320,167782362,25680,272083429,31412140,225647473,38209,226873941,2,14,13926992598,21167,2325678704,89,60146431,full,4713,29853839,87,134651,204.71,83.75835752487183,"[10, 50, 100000, 4, 0.5]",69.13343071937561,10.179644584655762,1.352799415588379
714,770996639,6990,660198971,72248135,817268869,89773,992564102,1,83,14476916998,9877,1565863686,77,114115402,minimal,876,10679764,66,465307,215.56,87.34020519256592,"[20, 50, 100000, 4, 0.5]",62.355000019073486,20.23815369606018,1.6286921501159668
952,48236329,5953,575846012,95492273,192502242,94025,1033869830,2,34,12805192825,16766,2738879589,6,82991217,minimal,2800,112825835,12,947598,213.88,87.11542177200317,"[20, 50, 100000, 4, 0.5]",62.46525526046753,20.191230535507202,1.3768112659454346
791,844716460,14112,749058016,124541990,718418057,97207,823779034,0,60,15096056091,1624,3183708167,97,123195301,noblob,1356,9565540,92,963053,215.08,88.79909896850586,"[20, 50, 100000, 4, 0.5]",64.41735076904297,20.075289249420166,1.2135093212127686
202,244148722,5662,882067818,63099291,478351538,95734,932383444,2,24,11674309663,10642,3038122388,50,100163744,minimal,6229,32649514,91,65874,231.8,83.60202550888062,"[20, 50, 100000, 4, 0.5]",59.23499083518982,20.152502298355103,1.1208219528198242
123,256613102,6227,1027206927,82927038,799610930,57922,223267172,1,76,13689057922,378,1622887077,1,10041324,noblob,5479,82170395,25,988598,225.9,85.53683233261108,"[20, 50, 100000, 4, 0.5]",60.4592924118042,20.07875895500183,1.906409502029419
989,1009598764,25994,801844703,98427145,153639201,101538,113661118,1,37,10636382404,11699,3538602235,87,16595347,full,5225,15958333,50,912080,202.42,97.13359522819519,"[20, 50, 100000, 4, 0.5]",72.41953611373901,20.183393716812134,1.4495232105255127
60,272566080,1432,862593213,3690163,116893779,74917,472460877,2,80,14984454538,8557,1303187086,106,103636316,full,7185,12555071,7,506731,234.25,84.12639689445496,"[20, 50, 100000, 4, 0.5]",59.95914840698242,20.089680433273315,0.9762344360351562
696,206308897,18229,503076328,42509405,934037698,28182,1070692374,1,79,15110538965,27820,1555439917,55,17875583,noblob,4368,78654164,85,891001,201.67,95.34194254875183,"[20, 50, 100000, 4, 0.5]",70.5486912727356,20.112143754959106,1.5632097721099854
60,272566080,1432,862593213,3690163,116893779,74917,472460877,2,80,14984454538,8557,1303187086,106,103636316,full,7185,12555071,7,506731,243.9,107.86732721328735,"[40, 50, 100000, 4, 0.5]",63.49886155128479,40.14233946800232,1.1246869564056396
202,244148722,5662,882067818,63099291,478351538,95734,932383444,2,24,11674309663,10642,3038122388,50,100163744,minimal,6229,32649514,91,65874,237.32,106.59353542327881,"[40, 50, 100000, 4, 0.5]",62.23759937286377,40.097909450531006,1.160024881362915
123,256613102,6227,1027206927,82927038,799610930,57922,223267172,1,76,13689057922,378,1622887077,1,10041324,noblob,5479,82170395,25,988598,220.69,104.93717885017395,"[40, 50, 100000, 4, 0.5]",60.05356311798096,40.10361385345459,1.6915607452392578
714,770996639,6990,660198971,72248135,817268869,89773,992564102,1,83,14476916998,9877,1565863686,77,114115402,minimal,876,10679764,66,465307,216.39,107.30284929275513,"[40, 50, 100000, 4, 0.5]",62.35309410095215,40.152913093566895,1.705265998840332
60,272566080,1432,862593213,3690163,116893779,74917,472460877,2,80,14984454538,8557,1303187086,106,103636316,full,7185,12555071,7,506731,257.23,160.08607482910156,"[90, 50, 100000, 4, 0.5]",65.39518213272095,90.26167464256287,1.3203516006469727
202,244148722,5662,882067818,63099291,478351538,95734,932383444,2,24,11674309663,10642,3038122388,50,100163744,minimal,6229,32649514,91,65874,253.83,158.02485728263855,"[90, 50, 100000, 4, 0.5]",63.135260343551636,90.29931426048279,1.4985973834991455
60,272566080,1432,862593213,3690163,116893779,74917,472460877,2,80,14984454538,8557,1303187086,106,103636316,full,7185,12555071,7,506731,283.58,249.87934279441833,"[180, 50, 100000, 4, 0.5]",65.6464536190033,180.13566637039185,1.005500078201294
714,448647878,6990,713209026,61943780,507093028,38239,992564102,2,55,14476916998,9877,1565863686,90,114115402,minimal,876,43902986,24,465307,230.76,93.20610785484314,"[20, 50, 100000, 4, 0.5]",68.60385632514954,20.251410007476807,1.2459676265716553
412,48236329,18449,575846012,95492273,192502242,53109,1033869830,2,38,14158611359,2896,345329507,6,100359304,minimal,2800,45661102,12,544990,198.14,92.04930377006531,"[20, 50, 100000, 4, 0.5]",67.26519441604614,20.17872428894043,1.515272855758667
791,192100218,20344,749058016,124541990,718418057,97207,823779034,1,60,15096056091,28862,2422907568,97,16139297,full,3890,9565540,92,963053,202.48,95.09282755851746,"[20, 50, 100000, 4, 0.5]",69.94672966003418,20.08305335044861,1.9650192260742188
614,244148722,5662,954955606,82230654,296563849,102392,932383444,1,24,12575330852,10642,3038122388,50,25181610,full,6939,32649514,90,471218,204.93,90.43747568130493,"[20, 50, 100000, 4, 0.5]",64.89599418640137,20.129510641098022,2.3048901557922363
123,256613102,6227,1027206927,82927038,201331212,57922,223267172,1,76,13689057922,21516,2710367893,44,101437605,noblob,5479,77080520,32,988598,222.32,87.90171599388123,"[20, 50, 100000, 4, 0.5]",63.0316526889801,20.098379850387573,1.6647050380706787
989,972738854,25994,801844703,98427145,203064607,101538,113661118,2,48,10326812858,11699,3538602235,77,16595347,noblob,5225,15958333,37,663207,217.95,99.18980121612549,"[20, 50, 100000, 4, 0.5]",74.4503026008606,20.077366828918457,1.5683443546295166
60,430961350,16119,535734454,3690163,30146074,74917,624508667,2,40,12286229196,8557,1303187086,106,103636316,full,2298,12555071,7,63353,218.07,88.88078832626343,"[20, 50, 100000, 4, 0.5]",63.04964208602905,20.092390060424805,2.6414382457733154
155,412659741,5563,503076328,78352616,934037698,28182,1070692374,1,79,12287754254,761,1555439917,55,3065495,noblob,8155,93155270,85,891001,216.99,87.83821105957031,"[20, 50, 100000, 4, 0.5]",62.85959506034851,20.06653118133545,1.805497646331787
990,506592766,6990,660198971,72248135,817268869,28919,1016390169,1,97,14883618419,9877,1628232806,77,29391362,minimal,876,10679764,66,912474,226.1,91.13312721252441,"[20, 50, 100000, 4, 0.5]",65.96837854385376,20.252559185028076,1.821554183959961
760,852692949,5953,575846012,95492273,192502242,105704,1033869830,0,62,12827547473,16766,2738879589,57,82991217,minimal,2209,95454905,83,722120,229.77,88.94040393829346,"[20, 50, 100000, 4, 0.5]",62.369300842285156,20.195207357406616,3.2781717777252197
696,735002763,1432,862593213,96070029,116893779,122772,1003779501,2,80,11403889158,17149,1303187086,50,76015388,minimal,7185,12555071,7,506731,241.77,111.54236483573914,"[40, 50, 100000, 4, 0.5]",67.13554739952087,40.08913731575012,1.2283334732055664
589,651559113,5662,882067818,63099291,478351538,95734,527778889,2,51,11674309663,5729,3901554418,72,112872752,minimal,6229,32649514,87,97566,234.42,104.46086263656616,"[40, 50, 100000, 4, 0.5]",59.72224259376526,40.26212453842163,1.3638038635253906
123,642842104,6227,1021142274,42291815,799610930,76091,632127513,1,32,13689057922,10019,2257711843,1,10041324,noblob,5479,68951942,25,988598,214.77,114.94343519210815,"[40, 50, 100000, 4, 0.5]",69.90328598022461,40.11845135688782,1.81614089012146
713,770996639,16492,660198971,75033285,199990896,89773,992564102,1,31,14476916998,9877,1565863686,77,107717395,minimal,876,46542271,66,465307,193.37,115.22549533843994,"[40, 50, 100000, 4, 0.5]",70.27307963371277,40.17718315124512,1.6919045448303223
666,272566080,4925,892967468,3690163,98521068,74917,693448354,1,56,13402301208,8557,1439737270,106,103636316,full,7185,12555071,7,273172,228.58,111.70238184928894,"[40, 50, 100000, 4, 0.5]",66.71968698501587,40.07418251037598,1.8239352703094482
131,258357401,1432,862593213,33394727,297622658,74917,702422160,2,52,14984454538,9600,1303187086,78,101900030,full,7185,22602292,49,506731,238.52,155.49920964241028,"[90, 50, 100000, 4, 0.5]",61.12987971305847,90.07861065864563,1.2088687419891357
202,535990038,5662,882067818,63099291,286352445,71936,932383444,2,24,10362114622,8174,567057735,120,110612145,full,6229,1570196,74,65874,249.53,156.72098350524902,"[90, 50, 100000, 4, 0.5]",62.00590229034424,90.10208296775818,1.5104029178619385
131,272566080,1432,872330516,3690163,297622658,85325,472460877,2,80,14984454538,8557,1303187086,78,101900030,full,6707,22602292,49,286302,279.71,245.02512621879578,"[180, 50, 100000, 4, 0.5]",60.82220435142517,180.0786373615265,1.0311501026153564
60,272566080,3829,862593213,43308600,116893779,66420,472460877,2,78,14336756230,8557,1303187086,54,56838820,minimal,7185,47362733,16,747664,229.13,108.18497562408447,"[40, 50, 100000, 4, 0.5]",63.75056743621826,40.101282596588135,1.2255768775939941
202,244148722,5662,780870697,63099291,828539083,95734,201951389,2,26,11674309663,10642,3038122388,50,105403287,noblob,6229,32649514,91,45162,229.87,104.00692415237427,"[40, 50, 100000, 4, 0.5]",59.23662257194519,40.22861981391907,1.4464166164398193
