innodb_thread_concurrency,max_allowed_packet,innodb_io_capacity_max,tmp_table_size,query_prealloc_size,max_heap_table_size,transaction_alloc_block_size,join_buffer_size,innodb_flush_log_at_trx_commit,innodb_max_dirty_pages_pct_lwm,innodb_buffer_pool_size,key_cache_age_threshold,binlog_cache_size,innodb_purge_rseg_truncate_frequency,query_cache_limit,binlog_row_image,innodb_lru_scan_depth,sort_buffer_size,innodb_stats_transient_sample_pages,innodb_adaptive_max_sleep_delay,throughput,cost,fidelity,prepare_time,run_time,clean_time
599,969659964,12914,320159215,99157586,825888142,69575,1013502873,2,94,11163294331,25854,373245345,6,48527619,full,4065,119910641,35,224003,256.76,244.98405289649963,"[180, 50, 100000, 4, 0.5]",59.524937868118286,180.1731276512146,1.6968357563018799
674,903765477,9011,382052559,105878212,149214223,53441,331072437,0,84,13756184034,16243,195562136,61,115213856,noblob,6607,15252610,65,519764,284.18,245.68160843849182,"[180, 50, 100000, 4, 0.5]",61.07984471321106,180.26932573318481,1.2443163394927979
71,976120500,26574,217243906,118123611,79816604,67074,264080372,1,58,13289518742,13508,3679236585,9,7372595,full,6089,45354797,9,676480,228.46,253.4412636756897,"[180, 50, 100000, 4, 0.5]",68.10519886016846,180.18702745437622,2.0488007068634033
468,149628799,23929,242944316,81128932,317244691,5767,887321703,0,81,12036148253,17480,2945520954,105,98854393,noblob,3682,55597926,76,132806,247.79,251.13299655914307,"[180, 50, 100000, 4, 0.5]",66.70078897476196,180.14616537094116,1.1854116916656494
928,753556933,8885,333645466,52464058,874450605,44877,402106024,0,1,15366141144,2011,2663011628,24,127166802,full,2400,132600405,77,780996,260.38,245.24857711791992,"[180, 50, 100000, 4, 0.5]",60.6397225856781,180.1089277267456,1.4112818241119385
827,294528152,15163,124414523,17018137,937446659,108852,313139255,2,74,14003207874,17282,2282102363,54,71153252,minimal,9497,102100059,90,222765,252.7,246.82116532325745,"[180, 50, 100000, 4, 0.5]",62.15830326080322,180.16092014312744,1.3959951400756836
909,65004469,30342,835523365,49155314,127812899,84300,212808534,2,85,13730641134,20589,4278776383,66,9914630,minimal,6118,133465202,92,422811,248.22,257.51039004325867,"[180, 50, 100000, 4, 0.5]",73.13947200775146,180.20882749557495,1.0548975467681885
295,991036772,2999,457676152,60886854,583835508,109033,968313364,1,12,13355951994,1520,921366780,100,118833118,minimal,7807,48552619,5,127396,264.04,246.81282448768616,"[180, 50, 100000, 4, 0.5]",61.59036946296692,180.16346907615662,1.9489250183105469
412,899199555,31581,1040289330,100119054,310205341,60378,222650061,0,4,13976385428,12638,1983612770,22,58771682,noblob,5333,48275779,25,380976,251.11,253.07911562919617,"[180, 50, 100000, 4, 0.5]",68.36109280586243,180.19277381896973,1.4101810455322266
879,942064439,9335,365411600,38475374,472810696,1166,731750054,2,11,11882166241,3948,1344844639,85,102287358,noblob,5985,51934674,23,736920,259.2,266.5931034088135,"[180, 50, 100000, 4, 0.5]",81.87024521827698,180.14621138572693,1.4834351539611816
975,598726111,14248,311906974,105333223,387161123,20557,217565591,1,56,11175360036,13869,3461007208,126,33227195,full,8036,35651886,50,78970,233.72,248.55176401138306,"[180, 50, 100000, 4, 0.5]",63.01911807060242,180.14765644073486,2.296647787094116
787,764522529,21259,612698746,125362048,192753008,83730,509543130,2,69,14737751853,22380,295596603,114,39715453,minimal,6972,56810811,10,589755,246.96,250.42142343521118,"[180, 50, 100000, 4, 0.5]",65.91267609596252,180.1680920124054,1.2464914321899414
491,3198547,16350,806706462,45410523,337912090,1424,571915980,1,80,10874913783,23704,3521410128,27,2920351,full,9864,24127882,37,917500,231.26,261.6437828540802,"[180, 50, 100000, 4, 0.5]",76.38841652870178,180.1556990146637,2.0144193172454834
361,983349615,8034,591652640,61623172,810671672,44006,151991548,2,91,12780075087,12317,95504497,36,9152719,full,4272,105589432,23,968629,262.88,248.97724795341492,"[180, 50, 100000, 4, 0.5]",64.36994314193726,180.1680347919464,1.3551185131072998
117,713649287,35648,204386454,98152739,655509358,119213,2339228,1,77,12903807521,627,945413691,7,817040,noblob,2215,56248591,17,638942,208.95,260.1280822753906,"[180, 50, 100000, 4, 0.5]",75.055344581604,180.18303084373474,1.775658369064331
267,880976366,4672,38891317,69578636,950571397,64368,431155386,1,61,11034277496,24761,1802717985,52,3834918,full,1927,87154088,62,655153,232.06,247.2490839958191,"[180, 50, 100000, 4, 0.5]",62.19296598434448,180.18238472938538,1.7779366970062256
878,615595138,8549,774027528,75867221,791923282,122525,826046360,1,94,12726898956,8326,838307535,97,59592753,minimal,5401,12417655,39,679935,232.29,249.5133502483368,"[180, 50, 100000, 4, 0.5]",64.26251530647278,180.16528630256653,1.9898035526275635
127,211656735,17627,259852480,45096089,965330193,77259,95659732,1,80,13296826631,27498,3987100791,5,521994,minimal,3525,60112668,97,473310,211.51,255.5019428730011,"[180, 50, 100000, 4, 0.5]",70.1905767917633,180.12869024276733,2.073397159576416
119,17245901,19421,109838491,3692302,473013634,67137,452062743,2,73,11073524551,23298,778902120,107,22786140,full,1031,77151393,63,985547,251.3,252.4968066215515,"[180, 50, 100000, 4, 0.5]",67.96685862541199,180.13765120506287,1.2798209190368652
756,525089715,34807,214590410,129786054,549824899,24084,530081594,2,95,11666261876,29803,2930468899,69,84736228,minimal,7449,12820709,73,999267,251.8,258.52194571495056,"[180, 50, 100000, 4, 0.5]",73.86467957496643,180.18095326423645,1.3674829006195068
387,974519554,36499,572401327,132561277,415718167,29095,547894011,1,20,12218680325,3400,3395967983,127,93699079,full,9398,101433531,15,819253,229.36,265.58324217796326,"[180, 50, 100000, 4, 0.5]",77.2419216632843,180.27569913864136,4.9742631912231445
848,245371548,30166,726024042,97140912,611786407,84628,282190805,0,39,12206373793,7743,2067062091,8,30269378,full,8598,108422215,77,195092,247.4,255.95667266845703,"[180, 50, 100000, 4, 0.5]",71.49401640892029,180.07900738716125,1.2819585800170898
293,8344121,38062,6221252,38924169,441268979,97593,650181644,2,0,14354801604,17984,1477847162,44,102499238,full,5203,65433711,48,97792,243.81,267.41843724250793,"[180, 50, 100000, 4, 0.5]",82.76064682006836,180.1785855293274,1.3877849578857422
