innodb_thread_concurrency,max_allowed_packet,innodb_io_capacity_max,tmp_table_size,query_prealloc_size,max_heap_table_size,transaction_alloc_block_size,join_buffer_size,innodb_flush_log_at_trx_commit,innodb_max_dirty_pages_pct_lwm,innodb_buffer_pool_size,key_cache_age_threshold,binlog_cache_size,innodb_purge_rseg_truncate_frequency,query_cache_limit,binlog_row_image,innodb_lru_scan_depth,sort_buffer_size,innodb_stats_transient_sample_pages,innodb_adaptive_max_sleep_delay,throughput,evaluated_time,fidelity_setting,corr
199,540370614,708,164006130,129157180,1030982317,44320,721844619,0,96,14815471697,14583,2176285355,103,105143944,minimal,777,130276788,91,67509,351.52,245.1275315284729,"[180, 50, 100000, 4, 0.5]",1
908,540370614,708,164006130,129157180,1030982317,44320,721844619,0,22,12196039563,14583,2176285355,103,105143944,minimal,777,82936775,20,67509,348.87,253.3983244895935,"[180, 50, 100000, 4, 0.5]",1
199,521604107,708,296757049,129157180,974875620,44320,721844619,0,22,15490536421,14890,402471823,98,105143944,noblob,9731,130276788,20,67509,347.69,251.30010676383972,"[180, 50, 100000, 4, 0.5]",1
181,555987145,708,29782277,129157180,974875620,70741,721844619,0,16,11737109666,14890,402471823,80,99869939,full,8227,130276788,84,67509,345.22,250.77505254745483,"[180, 50, 100000, 4, 0.5]",1
908,555987145,708,164006130,129157180,1030982317,123316,715613495,0,22,12196039563,16522,2176285355,103,105143944,full,8227,82936775,20,198164,344.73,244.92355275154114,"[180, 50, 100000, 4, 0.5]",1
908,540370614,708,164006130,129157180,32434909,70741,882813476,0,22,10953931384,9758,706318427,103,105143944,minimal,777,82936775,84,67509,338.98,261.04910588264465,"[180, 50, 100000, 4, 0.5]",1
908,555987145,708,175170616,81514687,1030982317,5967,721844619,0,22,12196039563,14890,2176285355,80,129022166,minimal,777,131192910,20,918591,333.25,249.55040454864502,"[180, 50, 100000, 4, 0.5]",1
106,555987145,1667,29782277,63098399,974875620,5967,715613495,0,16,10953931384,9758,706318427,80,129022166,full,8227,28475916,84,198164,313.14,249.25418829917908,"[180, 50, 100000, 4, 0.5]",1
843,555987145,1667,374339416,87250471,705849553,127672,882813476,0,43,10953931384,1498,354716815,49,129022166,full,3922,28475916,31,629693,310.85,245.6315176486969,"[180, 50, 100000, 4, 0.5]",1
826,555987145,1667,29782277,87250471,705849553,70741,882813476,0,43,10953931384,1498,3663511973,49,99869939,full,8227,28475916,84,629693,310.65,252.02292823791504,"[180, 50, 100000, 4, 0.5]",1
106,555987145,1667,29782277,63098399,974875620,5967,715613495,0,16,10953931384,9758,2381862757,80,129022166,full,8227,28475916,84,198164,305.84,247.21213126182556,"[180, 50, 100000, 4, 0.5]",1
106,555987145,1667,175170616,87250471,32434909,127672,882813476,0,16,10953931384,18646,706318427,80,129022166,full,3922,131192910,84,629693,305.52,251.3993308544159,"[180, 50, 100000, 4, 0.5]",1
199,521604107,1667,175170616,129157180,32434909,44320,721844619,0,22,15490536421,14890,402471823,98,105143944,noblob,9731,130276788,31,629693,304.95,250.34972834587097,"[180, 50, 100000, 4, 0.5]",1
843,989532254,1667,175170616,87250471,705849553,127672,882813476,0,84,10953931384,1498,354716815,80,129022166,full,3922,28475916,31,882552,304.39,252.40854597091675,"[180, 50, 100000, 4, 0.5]",1
843,555987145,1667,175170616,87250471,32434909,127672,882813476,0,16,10953931384,1498,354716815,80,129022166,full,3922,131192910,31,629693,304.1,243.61844730377197,"[180, 50, 100000, 4, 0.5]",1
106,555987145,1667,175170616,81514687,974875620,5967,579935153,0,16,10953931384,14890,402471823,80,129022166,full,3922,131192910,20,179705,303.21,255.0235617160797,"[180, 50, 100000, 4, 0.5]",1
843,555987145,1667,29782277,63098399,182950599,5967,715613495,0,16,10953931384,9758,354716815,80,129022166,full,8227,28475916,31,198164,302.62,252.80596351623535,"[180, 50, 100000, 4, 0.5]",1
843,555987145,1667,29782277,63098399,32434909,70741,882813476,2,16,10953931384,9758,2381862757,80,99869939,full,9957,131192910,84,629693,302.06,257.56146717071533,"[180, 50, 100000, 4, 0.5]",1
903,12931703,1667,29782277,63098399,974875620,5967,721844619,0,16,10953931384,14583,706318427,80,129022166,minimal,777,28475916,84,67509,301.98,258.61675548553467,"[180, 50, 100000, 4, 0.5]",1
843,555987145,1667,29782277,63098399,1030982317,44320,721844619,2,16,12196039563,14583,2176285355,80,99869939,full,8227,131192910,20,629693,301.69,251.89801239967346,"[180, 50, 100000, 4, 0.5]",1
