innodb_thread_concurrency,max_allowed_packet,innodb_io_capacity_max,tmp_table_size,query_prealloc_size,max_heap_table_size,transaction_alloc_block_size,join_buffer_size,innodb_flush_log_at_trx_commit,innodb_max_dirty_pages_pct_lwm,innodb_buffer_pool_size,key_cache_age_threshold,binlog_cache_size,innodb_purge_rseg_truncate_frequency,query_cache_limit,binlog_row_image,innodb_lru_scan_depth,sort_buffer_size,innodb_stats_transient_sample_pages,innodb_adaptive_max_sleep_delay,throughput,cost,fidelity,prepare_time,run_time,clean_time
475,868013376,36586,147084024,107736961,442583564,121794,538658419,1,83,15436598211,24881,2944392901,35,127489361,full,2843,55532732,94,184869,221.99,252.56512713432312,"[180, 50, 100000, 4, 0.5]",66.77008390426636,180.235759973526,1.8007209300994873
77,1016484678,26991,541820374,40210511,180942249,76729,756347276,1,81,15420563960,3370,1913960776,2,118979615,full,7910,117872184,59,265449,222.87,254.4836916923523,"[180, 50, 100000, 4, 0.5]",69.441481590271,180.10239005088806,1.8398306369781494
841,979768045,3789,79767745,125671610,76835681,127511,788617079,1,62,13448947612,17963,4268476566,18,31744018,full,8508,75655015,93,91985,241.67,250.1248779296875,"[180, 50, 100000, 4, 0.5]",65.45775771141052,180.10911083221436,1.4632110595703125
51,76277530,8343,931194385,108887376,130257017,58865,269780770,2,55,11015667077,6030,3239610640,26,84204702,noblob,7607,47542048,82,972949,252.16,245.7719931602478,"[180, 50, 100000, 4, 0.5]",61.03327751159668,180.18140649795532,1.451467514038086
749,538686730,13224,338146015,46176128,1035074372,118997,868337375,1,48,15316332427,3575,3933698279,44,103940040,full,6066,96524063,95,776580,229.31,246.67476058006287,"[180, 50, 100000, 4, 0.5]",61.525954484939575,180.09928441047668,1.9470067024230957
43,516966627,7962,708598978,68379437,163440761,36433,444807684,2,94,13353151294,22747,2529814575,89,19386480,noblob,9463,46740039,76,982268,250.76,247.65533328056335,"[180, 50, 100000, 4, 0.5]",63.19743847846985,180.15425968170166,1.207777976989746
424,853144170,35169,930631377,74808884,1066894500,26568,208313005,0,99,11371779793,29046,1250799094,63,101888939,minimal,3348,7073467,6,34324,243.34,264.80468678474426,"[180, 50, 100000, 4, 0.5]",80.27721881866455,180.18711972236633,1.2517759799957275
659,200228275,38409,888578805,62149294,541735849,3103,997581742,0,86,11972348566,4430,1138759497,53,89553702,minimal,9713,128757061,70,688183,239.0,258.01753973960876,"[180, 50, 100000, 4, 0.5]",73.10918760299683,180.11437106132507,1.6887221336364746
18,221736493,37840,410345962,61094957,120484206,106129,30902604,1,62,10483447948,10295,943334335,124,45735838,full,7226,60028923,67,467494,209.43,266.7898178100586,"[180, 50, 100000, 4, 0.5]",81.67872667312622,180.14588570594788,1.8694260120391846
619,747315130,34242,23015957,49970632,587752063,90785,334884002,0,59,13363809998,22200,977369295,64,118895709,noblob,1353,48207786,32,659169,241.35,256.8854875564575,"[180, 50, 100000, 4, 0.5]",72.20874190330505,180.19901251792908,1.3795368671417236
106,889707832,3522,538200136,125144987,875182819,123609,1060351855,0,9,12955375709,25210,1807890460,64,60014062,full,9262,72521292,55,975182,268.91,253.2002375125885,"[180, 50, 100000, 4, 0.5]",68.65258860588074,180.18518018722534,1.2728509902954102
460,93044210,14318,406471023,59057467,86031043,34887,482417448,0,37,13759914220,4613,4045227727,94,11080834,minimal,3264,32449490,55,994940,250.63,257.24984216690063,"[180, 50, 100000, 4, 0.5]",72.60066413879395,180.13890480995178,1.3928372859954834
781,162862703,5281,776334805,37431514,327644327,52737,667436494,2,58,12314145405,24629,2715670515,116,108310036,minimal,5637,21752310,21,614831,264.17,245.70058393478394,"[180, 50, 100000, 4, 0.5]",61.25630283355713,180.0985164642334,1.2458105087280273
216,121839235,7235,991967851,66753152,583684579,42703,417070453,1,54,10385298940,25116,3321923434,4,89145048,noblob,4367,30812837,2,98401,224.88,256.3750796318054,"[180, 50, 100000, 4, 0.5]",71.33541202545166,180.08222818374634,1.8790132999420166
872,169204708,7906,184057686,43148734,837191714,50264,679774184,1,23,14850924833,12955,752551193,80,14694380,noblob,6948,78702585,7,661794,218.87,248.52967619895935,"[180, 50, 100000, 4, 0.5]",63.00706648826599,180.15515685081482,2.2654435634613037
991,310660863,9945,824729521,129532911,114034004,54491,823555806,1,34,10777542116,690,2689988447,64,57446354,full,2799,93246614,48,408718,220.78,247.2033772468567,"[180, 50, 100000, 4, 0.5]",62.03401732444763,180.13062405586243,1.8973743915557861
713,610446609,11442,213649822,35847907,182761640,61216,825910631,2,19,13986781581,8463,3936127475,51,27868008,noblob,232,60345900,19,920092,243.21,252.02303409576416,"[180, 50, 100000, 4, 0.5]",67.40288519859314,180.1872284412384,1.3250532150268555
661,856442209,3142,96837051,9623957,833812070,125443,807086633,0,37,14950484399,18906,3119046237,40,108068465,minimal,3606,92509916,13,404588,269.12,248.51785802841187,"[180, 50, 100000, 4, 0.5]",64.22053670883179,180.19507312774658,0.9950082302093506
320,288906888,15796,760767518,83299507,840216397,130762,175432507,2,84,14642313842,7247,2231930779,125,32757431,minimal,6257,115138982,53,959219,242.48,248.80258893966675,"[180, 50, 100000, 4, 0.5]",64.20070385932922,180.22619318962097,1.2615864276885986
866,832499891,237,754426929,95011033,560407499,116358,824993025,0,79,11684142126,20975,2213608042,68,43939453,minimal,7425,61623712,13,813525,341.69,255.9270534515381,"[180, 50, 100000, 4, 0.5]",71.63292026519775,180.0794961452484,1.1066851615905762
396,740788340,33574,686483803,19613502,590598351,31459,254888123,2,24,10588061794,28785,2095417917,33,116683014,noblob,2613,123537855,59,671925,233.36,259.39038157463074,"[180, 50, 100000, 4, 0.5]",74.3647871017456,180.28001141548157,1.6339185237884521
749,538686730,13224,338146015,38587202,1035074372,118997,269780770,2,48,11015667077,3575,3933698279,44,103940040,full,7607,47542048,95,776580,244.99,257.4414610862732,"[180, 50, 100000, 4, 0.5]",72.98769211769104,180.09848403930664,1.237457275390625
51,76277530,8343,931194385,46176128,130257017,58865,868337375,1,55,13549547292,6030,3239610640,26,84204702,noblob,6066,96524063,82,972949,221.15,247.1531844139099,"[180, 50, 100000, 4, 0.5]",62.04551911354065,180.1777265071869,1.8455126285552979
51,76277530,8343,23015957,49970632,130257017,90785,269780770,2,55,13363809998,6030,977369295,26,118895709,noblob,1353,47542048,32,972949,245.7,249.36598777770996,"[180, 50, 100000, 4, 0.5]",64.68010258674622,180.24970269203186,1.3424174785614014
619,747315130,34242,931194385,108887376,587752063,58865,334884002,0,59,11015667077,22200,3239610640,64,84204702,noblob,7607,48207786,82,659169,239.34,255.19590187072754,"[180, 50, 100000, 4, 0.5]",71.0595555305481,180.09799218177795,0.9370255470275879
