innodb_thread_concurrency,max_allowed_packet,innodb_io_capacity_max,tmp_table_size,query_prealloc_size,max_heap_table_size,transaction_alloc_block_size,join_buffer_size,innodb_flush_log_at_trx_commit,innodb_max_dirty_pages_pct_lwm,innodb_buffer_pool_size,key_cache_age_threshold,binlog_cache_size,innodb_purge_rseg_truncate_frequency,query_cache_limit,binlog_row_image,innodb_lru_scan_depth,sort_buffer_size,innodb_stats_transient_sample_pages,innodb_adaptive_max_sleep_delay,throughput,cost,fidelity,prepare_time,run_time,clean_time
894,618847744,26858,241298032,56788464,640782144,57546,446277792,0,98,11767873536,28241,2883424512,97,88463320,minimal,10053,94390448,26,112902,254.03,259.9753987789154,"[180, 50, 100000, 4, 0.5]",74.47276568412781,180.1223599910736,1.7638835906982422
55,444702944,5569,848769728,110157768,19364128,101724,542332864,1,16,13710255104,2072,360363360,24,40297656,noblob,702,8641088,91,995886,249.46,246.12237405776978,"[180, 50, 100000, 4, 0.5]",60.82455611228943,180.14708614349365,2.0460047721862793
472,807948224,34856,290230880,91440504,513012704,24484,891003392,2,29,15516969984,8418,2085423104,85,131943240,full,4244,125539280,62,266818,247.62,258.25652837753296,"[180, 50, 100000, 4, 0.5]",73.18323540687561,180.169615983963,1.8169031143188477
570,239800224,13547,767187584,8499250,965059520,69778,265379232,1,62,10832009216,19624,3270127360,36,16676906,minimal,6316,39396816,23,649833,225.78,255.42252254486084,"[180, 50, 100000, 4, 0.5]",70.08543539047241,180.1182906627655,2.117870807647705
720,1028768832,3366,654382400,31398388,737551424,10305,1063933440,2,40,13255954432,12399,3889907968,77,55549604,minimal,7148,51942876,4,530044,280.45,247.47530603408813,"[180, 50, 100000, 4, 0.5]",63.14595293998718,180.16646933555603,1.0731384754180908
317,53643908,24461,469223232,70104920,216044320,96140,94415288,1,70,12558178304,16144,1501329536,59,74231240,noblob,2853,104539096,63,397060,223.57,257.8420252799988,"[180, 50, 100000, 4, 0.5]",72.46948719024658,180.2323441505432,2.0212695598602295
141,698046592,15318,942439424,130959880,324330464,43268,283663552,0,81,11373401088,26089,810276928,121,30868020,full,1453,29643318,85,871489,255.64,250.2086956501007,"[180, 50, 100000, 4, 0.5]",65.73925423622131,180.17565512657166,1.1905474662780762
801,402134720,36433,81441144,37549900,876807360,128186,706913216,1,2,14647814144,7410,2397890816,16,116666712,minimal,8590,81846440,50,238474,220.4,257.257319688797,"[180, 50, 100000, 4, 0.5]",71.77323293685913,180.12717294692993,2.2525124549865723
836,883419648,17752,527381344,105743768,1024942336,3563,996047488,2,47,10363404288,4313,3059700480,51,22080034,full,4821,65587684,56,741953,251.87,249.13218688964844,"[180, 50, 100000, 4, 0.5]",64.80771470069885,180.1393916606903,1.099592924118042
238,180662096,39060,597289408,62908592,436287424,89175,26510896,1,67,14970578944,22993,150500336,70,108255552,minimal,5299,114023416,18,374602,219.27,259.1620035171509,"[180, 50, 100000, 4, 0.5]",73.87170314788818,180.18236327171326,2.013448476791382
289,544046528,734,4349330,6051184,95826776,36366,349991232,0,80,14289137664,17369,1641008256,7,63469236,minimal,9167,20155924,33,895900,330.45,248.43395233154297,"[180, 50, 100000, 4, 0.5]",64.11839270591736,180.16896319389343,1.0532386302947998
628,504249120,22023,1018466176,95332584,581161984,121380,773230656,1,10,12248228864,13624,3748195072,114,82527696,noblob,758,68198552,96,28518,228.45,256.66874170303345,"[180, 50, 100000, 4, 0.5]",71.34957957267761,180.18270111083984,2.0391347408294678
536,756347584,32224,907003456,82843928,818957056,62987,514688288,0,87,14514900992,22255,4200170752,32,123380576,full,2537,89200784,79,150992,245.63,254.0678551197052,"[180, 50, 100000, 4, 0.5]",69.32282567024231,180.18461108207703,1.459073543548584
