innodb_thread_concurrency,max_allowed_packet,innodb_io_capacity_max,tmp_table_size,query_prealloc_size,max_heap_table_size,transaction_alloc_block_size,join_buffer_size,innodb_flush_log_at_trx_commit,innodb_max_dirty_pages_pct_lwm,innodb_buffer_pool_size,key_cache_age_threshold,binlog_cache_size,innodb_purge_rseg_truncate_frequency,query_cache_limit,binlog_row_image,innodb_lru_scan_depth,sort_buffer_size,innodb_stats_transient_sample_pages,innodb_adaptive_max_sleep_delay,throughput,cost,fidelity,prepare_time,run_time,clean_time
73,442991785,9939,189707765,34716461,734501368,13543,186741973,0,84,14339757832,5161,2627174652,8,9801139,minimal,6981,61807598,80,402195,238.9,77.25994610786438,"[10, 50, 100000, 4, 0.5]",62.295698404312134,10.098960876464844,1.1846842765808105
201,841416695,26542,999780231,97194655,547218593,64939,724750294,2,91,14122831659,10443,550308830,91,39871157,full,1347,132473482,3,492278,212.9,85.73819136619568,"[10, 50, 100000, 4, 0.5]",71.11390423774719,10.108943223953247,1.4158098697662354
685,393263392,12302,287970865,120918107,814570870,120376,644767558,0,28,11301326756,18856,2197148284,49,62509976,minimal,8232,84316962,21,730043,222.49,76.08596920967102,"[10, 50, 100000, 4, 0.5]",61.48653268814087,10.18916630744934,1.2902588844299316
475,560463980,1829,702617356,9103913,53329423,35404,361273444,0,37,13336739086,7646,1638721963,11,126923152,minimal,7211,111163968,69,253847,260.72,74.59571146965027,"[10, 50, 100000, 4, 0.5]",60.17975115776062,10.289247035980225,1.042922019958496
326,527816963,20642,540832056,4915275,901989379,51463,123129169,0,19,13631675423,14857,3531721823,26,89104331,minimal,3303,122472945,32,368637,223.81,87.26530432701111,"[10, 50, 100000, 4, 0.5]",72.58477425575256,10.199914455413818,1.375913381576538
571,1030268619,6099,1025271575,85250723,371131125,109838,923955699,1,78,10909972205,28018,2692709923,121,4447608,full,4653,38150874,31,997839,231.66,79.28695631027222,"[10, 50, 100000, 4, 0.5]",64.28030443191528,10.163191556930542,1.7371187210083008
550,612149265,13213,741589792,44453020,972803478,8851,249529454,0,6,12374852091,100,923752765,40,48189067,noblob,5868,67853238,9,608611,213.7,79.47139883041382,"[10, 50, 100000, 4, 0.5]",64.90244960784912,10.18313479423523,1.3074347972869873
36,64975259,19551,407147482,129342786,1063981103,17932,287588990,1,65,15318729712,17313,75681271,24,57786712,full,1889,22969228,19,812462,209.38,82.77296423912048,"[10, 50, 100000, 4, 0.5]",67.90676808357239,10.126645803451538,1.6377232074737549
184,139223395,36802,349172822,32556154,308246738,104140,495352395,1,38,12171843953,22192,4032588288,47,111779039,noblob,8966,44905119,53,21004,199.36,84.93423867225647,"[10, 50, 100000, 4, 0.5]",70.25147223472595,10.156193733215332,1.434340476989746
428,886627278,32008,121965499,79824185,223424560,66187,775180424,2,61,15077476961,3584,3910940614,101,93638984,minimal,3199,95611435,70,553754,194.98,88.26363611221313,"[10, 50, 100000, 4, 0.5]",73.76626634597778,10.188985347747803,1.1951231956481934
827,975270506,3445,921304051,104178378,660343342,47035,1002842272,1,99,12744612028,15794,1554590962,60,102437430,full,2392,55584117,95,648068,243.27,78.9653480052948,"[10, 50, 100000, 4, 0.5]",63.965288162231445,10.10842752456665,1.7978839874267578
756,688907006,16360,661758913,111313421,476745163,128603,59976129,2,54,14809681959,11757,3284682986,87,29544344,noblob,9209,3764259,42,220276,226.59,79.66338443756104,"[10, 50, 100000, 4, 0.5]",65.08513689041138,10.133694410324097,1.3406987190246582
986,318360306,34338,215915561,64035298,84712470,29815,571442028,1,49,13101029266,6996,2128223762,114,22796819,noblob,4102,32369822,46,837675,211.66,87.48199701309204,"[10, 50, 100000, 4, 0.5]",72.31738495826721,10.175813913345337,1.8988819122314453
742,119122361,27582,29015267,20765321,437135634,85232,1060840011,2,74,11601409135,25508,1212188534,71,82108381,noblob,301,78422763,59,114687,205.82,88.0797131061554,"[10, 50, 100000, 4, 0.5]",73.59077095985413,10.231993436813354,1.1556336879730225
919,205569242,37551,506960254,52022555,784803807,75326,422513799,2,13,11646466782,23477,2961068756,73,68537200,full,9977,11297799,87,141331,211.92,82.37218451499939,"[10, 50, 100000, 4, 0.5]",67.78691387176514,10.2366201877594,1.2298977375030518
299,742228096,23331,826510818,73174471,196027216,97977,816663485,2,5,10538854222,29310,495310910,106,121336849,minimal,5200,101432402,90,902443,217.87,87.55280494689941,"[10, 50, 100000, 4, 0.5]",73.0229983329773,10.12382984161377,1.310309648513794
475,560463980,1829,702617356,9103913,53329423,35404,361273444,0,37,13336739086,7646,1638721963,11,126923152,minimal,7211,111163968,69,253847,252.08,84.4414529800415,"[20, 50, 100000, 4, 0.5]",59.90686869621277,20.305115461349487,1.1384003162384033
827,975270506,3445,921304051,104178378,660343342,47035,1002842272,1,99,12744612028,15794,1554590962,60,102437430,full,2392,55584117,95,648068,239.29,88.91628813743591,"[20, 50, 100000, 4, 0.5]",64.24577355384827,20.171849489212036,1.4102668762207031
73,442991785,9939,189707765,34716461,734501368,13543,186741973,0,84,14339757832,5161,2627174652,8,9801139,minimal,6981,61807598,80,402195,224.98,86.53065657615662,"[20, 50, 100000, 4, 0.5]",61.93934082984924,20.070943355560303,1.4163334369659424
571,1030268619,6099,1025271575,85250723,371131125,109838,923955699,1,78,10909972205,28018,2692709923,121,4447608,full,4653,38150874,31,997839,222.97,87.45228576660156,"[20, 50, 100000, 4, 0.5]",62.539029598236084,20.1345374584198,1.6768062114715576
756,688907006,16360,661758913,111313421,476745163,128603,59976129,2,54,14809681959,11757,3284682986,87,29544344,noblob,9209,3764259,42,220276,228.07,89.69089317321777,"[20, 50, 100000, 4, 0.5]",65.02927660942078,20.14582872390747,1.4266393184661865
326,527816963,20642,540832056,4915275,901989379,51463,123129169,0,19,13631675423,14857,3531721823,26,89104331,minimal,3303,122472945,32,368637,221.93,93.27700734138489,"[20, 50, 100000, 4, 0.5]",68.79194331169128,20.242021322250366,1.1542670726776123
685,393263392,12302,287970865,120918107,814570870,120376,644767558,0,28,11301326756,18856,2197148284,49,62509976,minimal,8232,84316962,21,730043,231.77,86.49660038948059,"[20, 50, 100000, 4, 0.5]",61.8876314163208,20.077091693878174,1.4297027587890625
299,742228096,23331,826510818,73174471,196027216,97977,816663485,2,5,10538854222,29310,495310910,106,121336849,minimal,5200,101432402,90,902443,222.87,101.41848468780518,"[20, 50, 100000, 4, 0.5]",76.7341148853302,20.16081428527832,1.4183688163757324
475,560463980,1829,702617356,9103913,53329423,35404,361273444,0,37,13336739086,7646,1638721963,11,126923152,minimal,7211,111163968,69,253847,234.21,106.37047243118286,"[40, 50, 100000, 4, 0.5]",61.87768793106079,40.16438055038452,1.2318224906921387
827,975270506,3445,921304051,104178378,660343342,47035,1002842272,1,99,12744612028,15794,1554590962,60,102437430,full,2392,55584117,95,648068,213.53,106.08593130111694,"[40, 50, 100000, 4, 0.5]",60.44180464744568,40.42517876625061,2.110893487930298
