innodb_thread_concurrency,max_allowed_packet,innodb_io_capacity_max,tmp_table_size,query_prealloc_size,max_heap_table_size,transaction_alloc_block_size,join_buffer_size,innodb_flush_log_at_trx_commit,innodb_max_dirty_pages_pct_lwm,innodb_buffer_pool_size,key_cache_age_threshold,binlog_cache_size,innodb_purge_rseg_truncate_frequency,query_cache_limit,binlog_row_image,innodb_lru_scan_depth,sort_buffer_size,innodb_stats_transient_sample_pages,innodb_adaptive_max_sleep_delay,throughput,cost,fidelity,prepare_time,run_time,clean_time
451,834128778,28054,548918813,77611524,366016573,10872,392206347,1,9,15226876674,19331,240700880,75,124907980,full,7270,75481545,88,953683,237.14,250.02352356910706,"[180, 50, 100000, 4, 0.5]",64.12928915023804,180.15501594543457,2.1172237396240234
179,798955859,15125,1021382595,37905333,952745921,71762,754387298,0,13,11802915657,6264,429491543,82,26268352,minimal,3440,7215714,9,264748,273.97,245.44891166687012,"[180, 50, 100000, 4, 0.5]",60.68562722206116,180.13940501213074,1.5152297019958496
879,851784528,31477,964572560,34407188,916195441,34511,82024724,1,45,11023328781,12792,3148163383,55,106555625,full,5438,125561980,94,339366,232.44,250.90743446350098,"[180, 50, 100000, 4, 0.5]",65.83938074111938,180.19658398628235,1.7731080055236816
96,83135714,18403,330397172,93472602,450276888,78729,234083978,2,48,14603420534,24351,2720385301,86,70656413,minimal,9919,54321189,42,770914,257.08,245.12975597381592,"[180, 50, 100000, 4, 0.5]",60.59956336021423,180.10044026374817,1.3356571197509766
172,452058211,10851,756500686,121090596,756099703,24444,402470700,2,1,11427547078,26248,615428560,18,38855934,full,2223,120722667,27,408165,266.89,244.931654214859,"[180, 50, 100000, 4, 0.5]",60.52292466163635,180.0875265598297,1.234236478805542
225,274451460,27476,666726471,118247776,816481579,51321,518651347,1,60,12250669296,18975,1353508558,110,79141646,full,4320,84657161,66,155735,232.8,254.4099338054657,"[180, 50, 100000, 4, 0.5]",69.19978737831116,180.16083145141602,1.9504938125610352
39,781692505,9581,331745320,16493921,442189612,16317,196857867,0,66,11259080782,10383,3926217031,74,125192737,minimal,5168,56030751,47,826350,269.82,244.0155291557312,"[180, 50, 100000, 4, 0.5]",59.34975552558899,180.30701446533203,1.258073329925537
791,818064448,18680,766003296,108242116,13183693,87046,948274117,0,1,13893016060,23658,3846911171,125,105468109,full,5197,28408338,67,893094,264.88,245.92374515533447,"[180, 50, 100000, 4, 0.5]",61.348506450653076,180.10954093933105,1.3735013008117676
160,807702471,4428,588805417,128484931,1019730592,55487,512527935,1,16,13627339667,3316,976970637,62,65253895,noblob,1399,61666383,49,176833,261.52,244.46812915802002,"[180, 50, 100000, 4, 0.5]",59.44349002838135,180.07969617843628,1.853053092956543
597,357020905,35790,385806883,15647810,496005514,67504,630768442,1,99,11961493073,4556,1233025362,9,71464890,minimal,5533,90376876,69,885183,228.76,252.6505560874939,"[180, 50, 100000, 4, 0.5]",67.36822938919067,180.14175748825073,2.047677755355835
385,736229019,133,1069355027,88047679,933080218,100906,406689399,1,17,10926074536,9367,1286140399,6,109144303,minimal,8475,16499208,13,145386,344.62,246.57263493537903,"[180, 50, 100000, 4, 0.5]",61.55870079994202,180.0761182308197,1.8131909370422363
384,567716956,4229,515934523,15511342,913895752,77982,865913654,0,49,10743544072,26386,2387251650,3,57002725,noblob,2552,125466272,38,107695,292.12,243.06330490112305,"[180, 50, 100000, 4, 0.5]",58.62507462501526,180.17686653137207,1.1807689666748047
370,748128209,6136,832734983,24286404,20543922,95854,176502553,2,40,10716075863,28457,670491147,7,42264675,minimal,8324,107215376,11,80243,281.95,245.67472314834595,"[180, 50, 100000, 4, 0.5]",61.290451526641846,180.13120651245117,1.1598751544952393
690,369691594,895,140651721,4861904,639360002,107525,576904187,1,54,12713255340,8049,3183696297,111,32623448,full,797,87543401,45,4730,307.7,245.46029090881348,"[180, 50, 100000, 4, 0.5]",60.479854345321655,180.0933485031128,1.7951598167419434
462,684402140,1728,872755005,52187032,897389098,110103,673784170,1,14,15230430829,25145,772542861,120,63746994,noblob,2549,73850050,91,501572,278.38,244.82744693756104,"[180, 50, 100000, 4, 0.5]",59.68290853500366,180.19300532341003,1.8539583683013916
241,350388212,350,365090621,33551433,438302012,2228,268854456,2,34,14893382536,25200,1176517835,10,10652144,noblob,4615,51321963,46,709271,370.95,241.0681185722351,"[180, 50, 100000, 4, 0.5]",57.02438139915466,180.09201455116272,0.8610241413116455
173,95935333,591,236686932,29928815,1019019777,57157,828557812,0,10,10369150219,10476,1955650529,126,120217646,noblob,5232,81613675,2,477485,381.04,248.7490029335022,"[180, 50, 100000, 4, 0.5]",64.4901134967804,180.18094944953918,0.9719741344451904
622,26942018,782,976489069,99464365,904708560,104773,744085890,0,50,13619069249,22956,1611425664,61,35233065,noblob,9340,131178102,20,877275,360.67,243.07754683494568,"[180, 50, 100000, 4, 0.5]",58.86675500869751,180.1621470451355,0.9507529735565186
825,262677687,1740,254986760,50924703,836354519,95550,310905031,0,44,11404151896,27335,2039417015,6,48890415,noblob,9408,4147142,15,656589,328.36,242.99037313461304,"[180, 50, 100000, 4, 0.5]",58.48344349861145,180.14519047737122,1.272031545639038
172,259075157,480,163818361,11600255,138748343,14853,733563443,2,87,14599792937,27212,1429878273,19,74302527,noblob,6882,33431234,100,720824,382.23,253.48504781723022,"[180, 50, 100000, 4, 0.5]",69.32790303230286,180.0903422832489,0.9744493961334229
504,466310400,781,755799355,26623551,44759045,52370,189860361,0,25,12840937615,15775,3149270448,117,24617112,noblob,3494,11813689,24,675540,370.9,246.28321647644043,"[180, 50, 100000, 4, 0.5]",62.17779541015625,180.09169673919678,0.9233767986297607
36,574043085,494,823688221,58466182,189530654,71928,892026248,2,23,12540575146,1342,2647962726,23,133672333,noblob,3483,22465677,77,756059,381.56,252.2784881591797,"[180, 50, 100000, 4, 0.5]",68.03458213806152,180.20476865768433,0.932898998260498
514,181314336,159,882811487,13953617,797787107,99062,123506589,0,91,14137446485,18587,580848675,43,70499014,full,3109,12259824,71,458441,379.14,245.3834023475647,"[180, 50, 100000, 4, 0.5]",61.19718670845032,180.20670223236084,0.8800628185272217
853,204998871,1848,301284979,81333896,22560612,48142,125703162,0,49,11561918469,5186,1179337947,123,85461171,noblob,7045,104300433,33,361517,321.01,250.85799908638,"[180, 50, 100000, 4, 0.5]",66.43038320541382,180.12005591392517,1.2132561206817627
592,350855043,683,781729571,54990823,813930180,7339,942229345,0,72,10948101147,21380,2444769308,55,13993643,noblob,2838,82604460,88,835640,364.55,252.62349343299866,"[180, 50, 100000, 4, 0.5]",68.1804358959198,180.17164874076843,1.1431162357330322
750,1003499723,3675,156247319,75062070,776588127,3868,421926769,1,55,14965470361,10332,4255681930,88,126236953,full,8279,12776954,66,703138,261.71,245.3210370540619,"[180, 50, 100000, 4, 0.5]",58.87766218185425,180.09879875183105,3.22914457321167
737,638838377,682,366711175,116483989,793414746,120650,866606928,0,81,12485584956,21962,2317642482,14,82897623,minimal,6093,57005068,34,482041,366.54,245.28325176239014,"[180, 50, 100000, 4, 0.5]",60.9249804019928,180.14667129516602,1.1147992610931396
645,589706230,1648,564296651,91704129,316514857,43912,271093803,2,2,14037101147,14186,3364461027,1,21284489,minimal,4938,97122966,54,941532,313.61,252.58437824249268,"[180, 50, 100000, 4, 0.5]",68.29432344436646,180.1034574508667,1.0956530570983887
626,496170173,2127,519595493,71581729,890971960,97873,612458399,1,12,12846797111,18642,2736440241,46,25163024,noblob,7079,95243398,29,930178,263.12,247.6085467338562,"[180, 50, 100000, 4, 0.5]",62.537232875823975,180.07189440727234,1.907073974609375
576,909905876,1970,165046900,103835412,58839657,59801,316295281,0,30,13484448797,13198,1318493530,100,79732887,noblob,6998,98858626,40,356934,317.13,243.45525312423706,"[180, 50, 100000, 4, 0.5]",59.05180740356445,180.13422799110413,1.1624112129211426
60,133210805,2189,1025988620,116645529,607149726,37748,304637432,1,3,11617606129,29317,1971628687,66,46784562,minimal,2756,13549177,94,792847,266.26,249.67035269737244,"[180, 50, 100000, 4, 0.5]",64.54772520065308,180.13372468948364,1.901318073272705
656,568172471,6710,161944734,11940834,1500713,76589,437252350,0,69,14851389749,5385,167820373,100,85767792,noblob,4114,122324163,78,311011,281.67,244.28170585632324,"[180, 50, 100000, 4, 0.5]",59.677385091781616,180.19807147979736,1.321709394454956
920,788548906,25595,131172141,11479920,1005754591,46122,1056677246,0,8,10479440204,23141,2817015472,12,9588565,full,2848,127846419,77,641241,257.5,256.5306556224823,"[180, 50, 100000, 4, 0.5]",72.04713487625122,180.18952107429504,1.1754131317138672
806,781869926,24877,329753531,6918286,553133115,70882,138236619,1,1,15253296455,16707,3555025426,76,26814881,full,2080,108140057,2,59625,233.5,259.312308549881,"[180, 50, 100000, 4, 0.5]",74.16009378433228,180.12817001342773,1.9413094520568848
510,632117227,2144,499749649,41306812,747824622,128222,831873505,2,11,11935831723,20444,2625700505,2,130045992,minimal,1339,99088630,80,304009,296.93,247.70964932441711,"[180, 50, 100000, 4, 0.5]",63.141907930374146,180.14864778518677,1.328676700592041
776,130520182,2374,395709754,49695140,395523309,41955,1051523304,2,82,15273643728,2924,4078267663,15,16192307,full,9004,32137519,60,2766,300.47,248.63249349594116,"[180, 50, 100000, 4, 0.5]",64.1773030757904,180.21105360984802,1.1584703922271729
937,475510191,2069,92342206,115151311,810138577,54883,811865251,1,46,13707519295,28499,92922352,73,14478118,full,5142,81635369,95,901994,261.69,245.8037989139557,"[180, 50, 100000, 4, 0.5]",60.73962044715881,180.11884951591492,1.85081148147583
