innodb_thread_concurrency,max_allowed_packet,innodb_io_capacity_max,tmp_table_size,query_prealloc_size,max_heap_table_size,transaction_alloc_block_size,join_buffer_size,innodb_flush_log_at_trx_commit,innodb_max_dirty_pages_pct_lwm,innodb_buffer_pool_size,key_cache_age_threshold,binlog_cache_size,innodb_purge_rseg_truncate_frequency,query_cache_limit,binlog_row_image,innodb_lru_scan_depth,sort_buffer_size,innodb_stats_transient_sample_pages,innodb_adaptive_max_sleep_delay,throughput,cost,fidelity,prepare_time,run_time,clean_time
833,1017373146,17273,5713309,34714355,454430039,114198,677466994,1,91,14841916002,22375,111149944,106,95397747,noblob,5760,96432169,93,103732,178.34,260.1116533279419,"[180, 50, 100000, 4, 0.5]",74.09018182754517,180.14385414123535,2.176326274871826
363,182700068,2055,983974469,109597806,920535890,100813,264113851,1,72,14872320548,26416,2816617814,16,121542034,minimal,5782,75798279,63,93536,262.62,268.7460858821869,"[180, 50, 100000, 4, 0.5]",83.66830658912659,180.12109351158142,1.8473217487335205
3,259830587,6557,111061177,14825886,420624867,22819,494292612,2,80,10660517559,12798,3894107076,75,75494526,minimal,364,91546614,89,481478,253.02,242.0910325050354,"[180, 50, 100000, 4, 0.5]",57.60494089126587,180.24128890037537,1.1564414501190186
599,838708211,11104,1058702161,68443682,790346834,50874,684049786,0,47,15579976367,17585,3767581394,78,27531657,noblob,6315,63837978,56,352300,200.1,264.89630031585693,"[180, 50, 100000, 4, 0.5]",79.86522555351257,180.10324025154114,1.8367645740509033
54,944644410,33405,745657920,129365650,1040437787,128465,568956713,1,93,12528628169,27783,3173365674,104,50413476,noblob,9867,127339398,4,584883,49.58,437.3994188308716,"[180, 50, 100000, 4, 0.5]",251.80623483657837,180.07806301116943,2.4191794395446777
947,268371014,24831,441461859,65705448,529853599,117180,987069491,2,25,10998995859,19660,4212590685,125,28123330,full,9643,46224692,20,145015,129.92,372.77556920051575,"[180, 50, 100000, 4, 0.5]",185.96485781669617,180.11044335365295,3.5304741859436035
638,880051689,28802,673933780,44027792,327321511,97652,934444670,2,25,15473324280,21336,3241407199,37,131339316,minimal,3560,126492001,13,711232,122.35,418.8772885799408,"[180, 50, 100000, 4, 0.5]",224.96382236480713,183.20179176330566,7.6149327754974365
312,1017635307,36101,792137377,19681780,677597800,19707,12523565,1,11,11789820456,17292,895307181,117,29585447,full,8901,16371932,90,158571,56.44,410.1055910587311,"[180, 50, 100000, 4, 0.5]",203.5514154434204,181.1226842403412,22.33572292327881
975,324539204,23195,933837844,126266686,73868343,119389,214011119,1,96,14256244226,22389,365276258,41,97874726,noblob,7949,96684470,75,576125,49.1,392.2421324253082,"[180, 50, 100000, 4, 0.5]",206.0851378440857,180.21250224113464,2.6483030319213867
934,532234645,38513,89383444,55093657,767934523,59262,262971547,0,8,11985248540,10653,769224935,32,32002758,full,4698,109911631,25,474960,126.99,400.3724112510681,"[180, 50, 100000, 4, 0.5]",197.5789656639099,181.5147750377655,18.1735999584198
647,701311221,19959,719628646,110438446,259694453,11274,722971415,2,35,11852479686,7969,1837252864,44,77150312,noblob,4646,57156774,77,324920,131.05,378.8093614578247,"[180, 50, 100000, 4, 0.5]",190.98424530029297,180.3009693622589,4.435980558395386
978,669653986,18432,561529249,118063323,1049112806,25322,519648793,1,62,13108122754,16712,3069219636,44,130636392,noblob,4206,77731318,26,186699,75.68,443.64049649238586,"[180, 50, 100000, 4, 0.5]",256.98132133483887,180.15845918655396,3.383636951446533
106,1037537829,39078,28127708,118442639,507443371,42364,90610665,0,44,12238397390,514,3837276507,112,46575650,full,1128,120630658,4,691941,133.2,404.08654713630676,"[180, 50, 100000, 4, 0.5]",194.0938184261322,180.30313324928284,26.59688138961792
805,614337185,31312,438568972,109139421,294663191,99867,220444249,2,23,13487879524,22214,459966604,37,29669145,full,1417,43596162,50,839549,132.73,443.19351720809937,"[180, 50, 100000, 4, 0.5]",246.2074785232544,180.27920579910278,13.607350587844849
771,436567770,27158,79419098,89109427,766945299,44029,553446639,0,75,13959338341,25320,1214614219,24,112653472,full,8846,106371371,13,965692,152.87,351.83100605010986,"[180, 50, 100000, 4, 0.5]",166.51876664161682,180.08822512626648,2.119917154312134
225,631265920,32944,553061918,50506113,729926374,76129,437508526,0,79,11699127191,6165,291623916,31,67095112,noblob,5441,39443227,18,351023,114.79,449.8846957683563,"[180, 50, 100000, 4, 0.5]",242.88429069519043,181.83018016815186,22.078641176223755
935,1007910433,26799,988786321,84066193,1041644021,39164,169628604,1,36,11781390826,20011,1944658111,74,72326612,noblob,5756,54951446,2,251631,49.22,484.84313130378723,"[180, 50, 100000, 4, 0.5]",299.7673044204712,180.1420874595642,1.8387682437896729
180,551668926,23794,852422151,130552477,265168369,4792,495278892,2,94,12578045459,6576,1160861556,8,37508240,full,8688,27874663,40,508019,129.86,358.60344767570496,"[180, 50, 100000, 4, 0.5]",146.68878841400146,182.5627405643463,26.236341953277588
98,681142035,15484,1038018884,120088589,619560403,79774,888185143,1,19,13585355069,25920,4259629798,122,106305422,minimal,9108,35585053,33,465027,79.75,380.90083360671997,"[180, 50, 100000, 4, 0.5]",195.65515542030334,180.24680924415588,1.8708176612854004
425,436923808,31062,773558342,26105915,151168265,113794,349749421,2,12,10913916776,2576,2651671361,58,13246735,full,3541,106261434,83,842500,169.36,404.1018109321594,"[180, 50, 100000, 4, 0.5]",217.88168716430664,180.26357412338257,2.859823226928711
653,638421710,642,895101418,69462119,711368708,126362,687978698,0,81,14220220305,26013,2707340581,92,117034930,noblob,2875,70781748,53,82361,294.99,351.512948513031,"[180, 50, 100000, 4, 0.5]",167.04860854148865,180.07239365577698,1.2973153591156006
198,582774352,8232,556483739,73862058,318958992,110077,730145492,1,18,13153853383,25432,515473733,66,32159983,full,2562,37296260,55,692114,88.94,419.9413275718689,"[180, 50, 100000, 4, 0.5]",233.43513131141663,180.37565231323242,3.0040504932403564
720,944581229,25746,282746356,106798678,188751578,112123,67816325,2,40,13076306829,6214,4179513266,10,25538133,noblob,8622,82496462,52,630674,125.11,393.0776183605194,"[180, 50, 100000, 4, 0.5]",205.79989409446716,180.18499279022217,3.976576089859009
909,29777191,5079,208701621,27750412,936106455,129996,499616606,0,56,15018510824,17547,2155391574,23,76637770,minimal,3161,56491251,86,872920,161.6,370.342426776886,"[180, 50, 100000, 4, 0.5]",182.14225006103516,180.10165691375732,5.010784149169922
760,89140245,30048,435685047,41472624,39705651,8287,482350354,0,53,13950194985,23523,3466485312,48,101586343,full,5365,33158986,79,409931,115.5,392.9488968849182,"[180, 50, 100000, 4, 0.5]",204.48322415351868,181.00865936279297,4.3396642208099365
751,868537154,18393,935766971,88928075,670202613,52233,471172143,1,66,11444867752,3653,1306787838,3,72636678,full,6786,906761,63,551938,85.73,415.92338728904724,"[180, 50, 100000, 4, 0.5]",229.7997841835022,180.28854250907898,2.7436604499816895
302,847419447,22729,291364051,35259402,163373079,76876,1031134551,2,70,13834486608,7391,851978820,9,29454124,minimal,7046,93230690,32,541416,123.19,387.0155508518219,"[180, 50, 100000, 4, 0.5]",198.44442176818848,180.94392681121826,4.51226282119751
223,766552432,29059,931269179,104861973,959950126,18730,868469226,0,81,12028681946,5323,1881263789,96,70846549,noblob,3512,5894563,29,975523,136.82,359.53049755096436,"[180, 50, 100000, 4, 0.5]",171.9667525291443,180.09296584129333,4.358536243438721
6,663266820,33165,414539170,98326226,795536903,71568,128066455,2,18,15415922876,28351,76503801,24,91970196,full,8267,109248653,72,86625,104.36,403.0144612789154,"[180, 50, 100000, 4, 0.5]",208.17964482307434,180.35833930969238,11.372878074645996
212,622070047,20004,246852096,111254570,279368396,84003,117980559,0,51,14986890192,3526,3171967086,2,81549354,minimal,6190,93217613,84,922373,142.87,419.28827238082886,"[180, 50, 100000, 4, 0.5]",228.73548340797424,180.9649624824524,6.483929395675659
981,982355278,5178,318161972,116178613,967187349,105725,183889632,1,77,12839477726,19792,3781510399,104,82196813,noblob,3313,106823006,54,173430,108.36,444.4957904815674,"[180, 50, 100000, 4, 0.5]",242.86688828468323,180.41953468322754,18.113792657852173
363,182700068,2055,983974469,109597806,920535890,100813,264113851,2,72,14872320548,26416,2816617814,81,121542034,minimal,5782,75798279,63,93536,197.63,373.5178380012512,"[180, 50, 100000, 4, 0.5]",176.3093113899231,181.37978553771973,12.740082025527954
