checkpoint_completion_target,backend_flush_after,maintenance_work_mem,max_parallel_workers_per_gather,min_wal_size,wal_writer_flush_after,wal_writer_delay,work_mem,random_page_cost,commit_siblings,checkpoint_flush_after,seq_page_cost,commit_delay,join_collapse_limit,bgwriter_delay,from_collapse_limit,default_statistics_target,bgwriter_flush_after,checkpoint_timeout,deadlock_timeout,throughput,cost,fidelity,prepare_time,run_time,clean_time
0.8134485553399305,103,631209,956,417,2014316528,1825,756650,31.530598006950218,843,56,95.51584563679728,19522,1523154321,2044,1911912665,8224,37,60989,1655679357,418.87,64.90253353118896,"[45, 45, 30000, 6, 0.7]",15.668325662612915,45.08014178276062,0.41851139068603516
0.8134485553399305,103,631209,956,417,2014316528,1825,756650,31.530598006950218,843,56,95.51584563679728,19522,1523154321,2044,1911912665,8224,37,60989,1655679357,470.53,238.85622763633728,"[180, 50, 100000, 4, 0.5]",54.36144280433655,180.2101879119873,0.437577486038208
0.23326653185277912,67,481921,5,2082,1313039165,9129,390912,28.776544391651054,227,113,88.05164514139086,12018,830506518,3773,891936214,2771,145,58991,1059888841,426.67,64.27995777130127,"[45, 45, 30000, 6, 0.7]",14.733091115951538,45.142202615737915,0.31800293922424316
0.23326653185277912,67,481921,5,2082,1313039165,9129,390912,28.776544391651054,227,113,88.05164514139086,12018,830506518,3773,891936214,2771,145,58991,1059888841,489.05,237.36126399040222,"[180, 50, 100000, 4, 0.5]",53.0408239364624,180.10713410377502,0.34754204750061035
0.6238906130645001,148,689028,395,5260,1093962072,2435,307980,3.4570995187256606,31,84,53.560958649105075,126,48142469,4746,1244805367,9930,68,17033,853693413,416.62,64.31092572212219,"[45, 45, 30000, 6, 0.7]",14.812616348266602,45.13719582557678,0.5423169136047363
0.4189347154208807,196,831783,963,1648,269651317,3321,481276,83.72365115017939,108,39,32.593209405393154,238,1368528062,8887,1663934734,1084,157,61672,1007343745,427.77,64.1980652809143,"[45, 45, 30000, 6, 0.7]",15.026681184768677,45.06100153923035,0.30563879013061523
0.4189347154208807,196,831783,963,1648,269651317,3321,481276,83.72365115017939,108,39,32.593209405393154,238,1368528062,8887,1663934734,1084,157,61672,1007343745,486.74,237.37961530685425,"[180, 50, 100000, 4, 0.5]",52.98801827430725,180.1971299648285,0.3560755252838135
0.12002108123586759,220,165148,833,2068,32097173,9425,178523,42.39249073726767,458,186,18.80572869653194,61302,1113311273,5950,865241352,347,92,42003,1870978409,427.62,65.17664384841919,"[45, 45, 30000, 6, 0.7]",15.462379932403564,45.18098497390747,0.2976198196411133
0.8306806453994625,9,616565,708,3590,495763923,7186,63831,42.10852921080709,551,11,0.6839905497057214,38303,1329584647,9569,579490948,9125,223,1138,1399282013,57.48,65.0351243019104,"[45, 45, 30000, 6, 0.7]",14.804238080978394,45.2651309967041,0.9415452480316162
0.9238497602736847,47,711252,933,4216,1901042462,6317,386539,3.52130489437152,65,95,35.80077288628749,58360,1109404782,1008,216747432,5581,197,85129,658095385,414.94,64.318439245224,"[45, 45, 30000, 6, 0.7]",14.90092396736145,45.195661544799805,0.3198356628417969
0.5379158074935353,191,122083,238,5905,6581819,9146,57759,26.652402464734205,165,227,57.392891176809094,50100,75147513,2991,1364269105,7451,210,15538,482492401,422.95,64.5701858997345,"[45, 45, 30000, 6, 0.7]",15.29509711265564,45.109649896621704,0.3599278926849365
0.3149580286465706,82,111883,771,7057,789523669,3199,661895,52.67210139777203,46,58,4.891939323105693,68796,845933039,7635,37185591,4325,123,76500,180217220,79.47,64.44125604629517,"[45, 45, 30000, 6, 0.7]",15.197145700454712,45.110310316085815,0.5819134712219238
0.7432959685311719,208,793645,198,3518,2138872443,2514,199479,60.38236438690827,782,159,13.148196311021318,20698,1979143760,4565,1575728887,4071,206,40953,666193441,424.78,65.97339749336243,"[45, 45, 30000, 6, 0.7]",16.27778911590576,45.17040824890137,0.32117390632629395
0.9564307278560212,233,805172,245,2410,2091423347,6575,889928,80.38361300665893,222,202,68.3051262794871,23472,1585692136,2979,1565680073,9249,251,8742,1669886252,396.44,65.5072410106659,"[45, 45, 30000, 6, 0.7]",15.56946611404419,45.253369092941284,0.8271136283874512
0.04665042596466814,202,701754,426,7484,2002798814,9616,897894,83.07778273862566,34,201,46.48769246843167,96121,1091855342,5387,1038633608,5410,174,33596,426241032,415.8,64.65216445922852,"[45, 45, 30000, 6, 0.7]",15.131386756896973,45.16803503036499,0.32242417335510254
0.8283656501355011,22,795306,24,2133,1859451202,9085,372279,56.387893066657355,918,242,55.44367862233953,66409,1986809717,6933,226382933,9067,26,64249,1331297036,402.88,65.26468586921692,"[45, 45, 30000, 6, 0.7]",15.013800144195557,45.268369913101196,1.0603783130645752
0.49566066365343187,26,836159,824,6419,104551939,118,115813,19.95028449117512,976,138,81.86712229780555,80597,1134579711,8522,642500589,2377,105,74235,997300610,420.34,64.40815711021423,"[45, 45, 30000, 6, 0.7]",14.987488508224487,45.100321769714355,0.34554147720336914
0.5879249698857134,145,325256,877,3684,1254453054,4392,626579,21.946813168937847,6,159,48.315531343587196,12473,1306029421,2006,711700595,1374,82,60148,6122803,433.26,64.16459846496582,"[45, 45, 30000, 6, 0.7]",14.924586534500122,45.16105508804321,0.2892007827758789
