checkpoint_completion_target,backend_flush_after,maintenance_work_mem,max_parallel_workers_per_gather,min_wal_size,wal_writer_flush_after,wal_writer_delay,work_mem,random_page_cost,commit_siblings,checkpoint_flush_after,seq_page_cost,commit_delay,join_collapse_limit,bgwriter_delay,from_collapse_limit,default_statistics_target,bgwriter_flush_after,checkpoint_timeout,deadlock_timeout,throughput,cost,fidelity,prepare_time,run_time,clean_time
0.800067499062021,15,814634,820,469,588924145,9937,868059,47.94637437607505,938,153,22.38000435302775,15627,1520870058,2046,244283221,8503,40,67966,1368514434,540.9,242.46559143066406,"[180, 50, 100000, 4, 0.5]",58.17768979072571,180.11983966827393,0.45279884338378906
0.9216354416328825,103,521903,386,6502,1057282797,4565,35754,85.0316565805626,185,96,81.80364899741537,81998,503072628,5989,2134084156,3816,156,72667,1527807378,532.95,240.4712200164795,"[180, 50, 100000, 4, 0.5]",56.08745622634888,180.1967670917511,0.3738698959350586
0.2943156333243651,149,652480,1022,2716,387864837,8632,674159,25.052083907415916,342,204,71.14817281999373,68145,1909897768,6479,887382617,5095,150,26803,1122941695,543.25,239.82007431983948,"[180, 50, 100000, 4, 0.5]",55.27507495880127,180.05693364143372,0.38638925552368164
0.558218659850063,169,243291,469,7424,149644051,2708,273455,99.23252804518883,293,163,91.16628334666463,24077,1454106869,3926,102966521,7977,8,81476,1044657998,521.05,240.72262930870056,"[180, 50, 100000, 4, 0.5]",56.20209002494812,180.07378554344177,0.4408838748931885
0.166656387049124,39,762666,234,3341,1608137486,1582,314631,18.82472134070329,672,128,35.36989979087687,47151,4869705,1406,1848288388,4879,74,24572,1863515163,554.84,239.47818422317505,"[180, 50, 100000, 4, 0.5]",54.77548694610596,180.07392048835754,0.3897411823272705
0.3101290247424356,244,413375,548,1257,1343224766,5531,557236,35.94499221533757,474,248,47.347314897450374,59905,226560856,8737,494171153,2648,212,14138,137183803,534.36,240.34566378593445,"[180, 50, 100000, 4, 0.5]",55.61488676071167,180.0933849811554,0.35985445976257324
0.04716403522994542,61,398433,107,1702,1877284750,6994,796537,60.81035968290792,850,58,64.38613902296406,93304,2120310826,7483,1680172672,6772,107,6517,655091531,529.38,240.5882978439331,"[180, 50, 100000, 4, 0.5]",55.81943202018738,180.11483526229858,0.5860354900360107
0.7967797072778047,217,987472,1,4555,1106673663,3602,998031,78.57558899830133,99,216,13.871796117694101,38596,1113931401,9676,693661448,9680,198,54752,480679070,506.8,242.15468454360962,"[180, 50, 100000, 4, 0.5]",57.634557008743286,180.059588432312,0.4720189571380615
0.4792903116891522,192,190342,676,6186,1939619314,113,179318,51.73670101463678,791,26,8.945061254698395,77630,988834918,4791,1241122606,1048,238,43547,359641058,530.28,239.5437605381012,"[180, 50, 100000, 4, 0.5]",55.33883476257324,180.05638146400452,0.3145425319671631
0.6582250531270446,89,56678,734,4905,729543512,7034,459691,9.647548406067635,561,21,51.85141643599581,6004,686862712,289,1489372712,386,78,37301,2087716558,545.31,242.79565382003784,"[180, 50, 100000, 4, 0.5]",58.31111121177673,180.18148398399353,0.3086378574371338
0.800067499062021,15,814634,820,469,588924145,9937,868059,47.94637437607505,938,153,22.38000435302775,15627,1520870058,2046,244283221,8503,40,67966,1368514434,524.51,65.4716432094574,"[45, 45, 30000, 6, 0.5]",16.089384078979492,45.0992226600647,0.3232543468475342
0.9216354416328825,103,521903,386,6502,1057282797,4565,35754,85.0316565805626,185,96,81.80364899741537,81998,503072628,5989,2134084156,3816,156,72667,1527807378,527.33,65.93094038963318,"[45, 45, 30000, 6, 0.5]",16.570857048034668,45.10227727890015,0.3185257911682129
0.2943156333243651,149,652480,1022,2716,387864837,8632,674159,25.052083907415916,342,204,71.14817281999373,68145,1909897768,6479,887382617,5095,150,26803,1122941695,538.71,65.37434554100037,"[45, 45, 30000, 6, 0.5]",16.007877588272095,45.10448598861694,0.32446837425231934
0.558218659850063,169,243291,469,7424,149644051,2708,273455,99.23252804518883,293,163,91.16628334666463,24077,1454106869,3926,102966521,7977,8,81476,1044657998,510.99,66.00562405586243,"[45, 45, 30000, 6, 0.5]",16.842491626739502,45.06792116165161,0.3509237766265869
0.166656387049124,39,762666,234,3341,1608137486,1582,314631,18.82472134070329,672,128,35.36989979087687,47151,4869705,1406,1848288388,4879,74,24572,1863515163,532.82,66.05081725120544,"[45, 45, 30000, 6, 0.5]",16.545442581176758,45.08825755119324,0.35548973083496094
0.3101290247424356,244,413375,548,1257,1343224766,5531,557236,35.94499221533757,474,248,47.347314897450374,59905,226560856,8737,494171153,2648,212,14138,137183803,543.5,66.48626899719238,"[45, 45, 30000, 6, 0.5]",17.05568790435791,45.10642981529236,0.3026905059814453
