time,tables,table-size,threads,r_ratio,spearman_corr,evaluated_time,front_level
55,30,45000,6,0.5,0.7575757575757575,76.17861037254333,0
30,20,20000,10,0.5,-0.309090909090909,40.366740584373474,0
40,25,35000,6,0.5,0.7212121212121211,54.970270252227785,0
35,25,40000,6,0.5,0.6727272727272726,51.48068480491638,0
30,30,20000,10,0.5,0.18787878787878787,44.443956112861635,0
35,25,20000,6,0.5,0.6,45.63730902671814,0
35,25,20000,4,0.5,0.07878787878787878,43.86127634048462,0
40,30,15000,4,0.5,0.5272727272727272,48.505423355102536,1
55,45,30000,6,0.5,0.6727272727272726,75.72662422657012,1
40,30,45000,4,0.5,0.5757575757575757,57.1421804189682,1
