innodb_thread_concurrency,max_allowed_packet,innodb_io_capacity_max,tmp_table_size,query_prealloc_size,max_heap_table_size,transaction_alloc_block_size,join_buffer_size,innodb_flush_log_at_trx_commit,innodb_max_dirty_pages_pct_lwm,innodb_buffer_pool_size,key_cache_age_threshold,binlog_cache_size,innodb_purge_rseg_truncate_frequency,query_cache_limit,binlog_row_image,innodb_lru_scan_depth,sort_buffer_size,innodb_stats_transient_sample_pages,innodb_adaptive_max_sleep_delay,throughput,cost,fidelity,prepare_time,run_time,clean_time
472,767401259,29643,209186350,31033653,934057342,128214,225792262,2,78,13990977640,1528,3113849540,20,119213911,noblob,1179,76025239,73,990066,244.78,255.77611708641052,"[180, 50, 100000, 4, 0.5]",70.90217185020447,180.18082094192505,0.9315521717071533
853,976587308,34409,362541233,47988067,607828045,66096,560012498,0,26,15085208437,26575,571479992,59,33479975,minimal,10146,97467959,70,440364,259.8,255.89470076560974,"[180, 50, 100000, 4, 0.5]",70.78844738006592,180.1680543422699,1.837364673614502
48,64686510,36946,1063886150,22538065,34040656,80592,705801837,0,52,11955555814,11818,2474058240,97,90491336,full,3193,5518768,98,728630,262.04,251.7146701812744,"[180, 50, 100000, 4, 0.5]",67.41671681404114,180.12283968925476,1.0803792476654053
908,309611557,19938,910071211,56102563,787603677,105183,824735014,0,8,11218459588,17236,3826833635,47,76451168,full,8028,90720046,44,285081,254.86,255.95506691932678,"[180, 50, 100000, 4, 0.5]",71.39819264411926,180.08695006370544,1.3750929832458496
179,493890095,27220,810835076,4374655,1012742819,61386,425959967,1,98,11615188848,23429,243886174,114,49321095,full,4895,33131299,28,37888,231.48,250.21393418312073,"[180, 50, 100000, 4, 0.5]",65.21902370452881,180.12119483947754,1.7626144886016846
377,598763644,23636,518938601,111341234,728790910,94217,999199988,1,41,10529850005,3471,1013585262,65,107091252,minimal,8344,16447083,36,158500,233.87,252.69679737091064,"[180, 50, 100000, 4, 0.5]",67.41109156608582,180.07711935043335,2.0873069763183594
695,337676397,12520,68408366,80880934,158163455,47259,919231627,2,37,12977424802,8659,1597875107,90,20638387,minimal,522,56162372,87,386231,265.33,246.12644577026367,"[180, 50, 100000, 4, 0.5]",61.25174641609192,180.1123447418213,1.6697328090667725
524,722376288,3438,542270076,96122351,397713411,32438,184325682,1,85,12660180699,20008,2666941200,125,63127711,noblob,2156,43424449,9,534038,266.16,243.84596371650696,"[180, 50, 100000, 4, 0.5]",58.742755651474,180.16395545005798,1.8314783573150635
271,136165304,7864,229171698,79894906,235944159,25566,79781289,2,67,14310378907,12539,4143975668,29,547141,noblob,5912,124269817,20,808437,283.19,243.808349609375,"[180, 50, 100000, 4, 0.5]",59.037259101867676,180.21784830093384,1.457021951675415
765,950861479,10114,743553346,122989428,444953400,8115,447498628,1,14,15174437643,27286,2108639239,13,133025162,minimal,6392,111184659,60,693092,244.42,245.14737224578857,"[180, 50, 100000, 4, 0.5]",59.964664697647095,180.1124143600464,1.9802215099334717
472,767401259,29643,209186350,31033653,934057342,128214,225792262,2,78,13990977640,1528,3113849540,20,119213911,noblob,1179,76025239,73,990066,282.07,72.44131302833557,"[45, 45, 30000, 6, 0.5]",23.273113250732422,45.22972798347473,0.8440089225769043
853,976587308,34409,362541233,47988067,607828045,66096,560012498,0,26,15085208437,26575,571479992,59,33479975,minimal,10146,97467959,70,440364,303.01,73.59592080116272,"[45, 45, 30000, 6, 0.5]",23.525434732437134,45.20612144470215,1.756495475769043
48,64686510,36946,1063886150,22538065,34040656,80592,705801837,0,52,11955555814,11818,2474058240,97,90491336,full,3193,5518768,98,728630,296.15,72.185142993927,"[45, 45, 30000, 6, 0.5]",23.008835077285767,45.20040202140808,0.8505301475524902
908,309611557,19938,910071211,56102563,787603677,105183,824735014,0,8,11218459588,17236,3826833635,47,76451168,full,8028,90720046,44,285081,294.04,71.61815071105957,"[45, 45, 30000, 6, 0.5]",22.48086977005005,45.27088284492493,0.7597670555114746
179,493890095,27220,810835076,4374655,1012742819,61386,425959967,1,98,11615188848,23429,243886174,114,49321095,full,4895,33131299,28,37888,266.72,72.6517686843872,"[45, 45, 30000, 6, 0.5]",23.341665029525757,45.25981545448303,0.9462347030639648
377,598763644,23636,518938601,111341234,728790910,94217,999199988,1,41,10529850005,3471,1013585262,65,107091252,minimal,8344,16447083,36,158500,280.22,73.26777076721191,"[45, 45, 30000, 6, 0.5]",23.94100785255432,45.19015169143677,1.0238516330718994
695,337676397,12520,68408366,80880934,158163455,47259,919231627,2,37,12977424802,8659,1597875107,90,20638387,minimal,522,56162372,87,386231,300.34,71.36205101013184,"[45, 45, 30000, 6, 0.5]",21.955801010131836,45.34016132354736,0.9807643890380859
524,722376288,3438,542270076,96122351,397713411,32438,184325682,1,85,12660180699,20008,2666941200,125,63127711,noblob,2156,43424449,9,534038,283.84,70.3118417263031,"[45, 45, 30000, 6, 0.5]",21.020638704299927,45.34352493286133,0.8428065776824951
271,136165304,7864,229171698,79894906,235944159,25566,79781289,2,67,14310378907,12539,4143975668,29,547141,noblob,5912,124269817,20,808437,301.44,70.3280143737793,"[45, 45, 30000, 6, 0.5]",21.016541481018066,45.30255460739136,0.9169907569885254
765,950861479,10114,743553346,122989428,444953400,8115,447498628,1,14,15174437643,27286,2108639239,13,133025162,minimal,6392,111184659,60,693092,278.25,76.64290452003479,"[45, 45, 30000, 6, 0.5]",27.20235848426819,45.257619857788086,1.0855414867401123
472,767401259,29643,209186350,31033653,934057342,128214,225792262,2,78,13990977640,1528,3113849540,20,119213911,noblob,1179,76025239,73,990066,252.24,82.97212266921997,"[40, 30, 50000, 10, 0.5]",39.00506067276001,40.4017539024353,0.466172456741333
853,976587308,34409,362541233,47988067,607828045,66096,560012498,0,26,15085208437,26575,571479992,59,33479975,minimal,10146,97467959,70,440364,270.18,84.77086615562439,"[40, 30, 50000, 10, 0.5]",40.68160128593445,40.36154508590698,0.6330788135528564
48,64686510,36946,1063886150,22538065,34040656,80592,705801837,0,52,11955555814,11818,2474058240,97,90491336,full,3193,5518768,98,728630,263.76,82.71720910072327,"[40, 30, 50000, 10, 0.5]",38.49374771118164,40.324946880340576,0.7759578227996826
908,309611557,19938,910071211,56102563,787603677,105183,824735014,0,8,11218459588,17236,3826833635,47,76451168,full,8028,90720046,44,285081,265.8,87.1396210193634,"[40, 30, 50000, 10, 0.5]",42.95627164840698,40.41903877258301,0.6585984230041504
179,493890095,27220,810835076,4374655,1012742819,61386,425959967,1,98,11615188848,23429,243886174,114,49321095,full,4895,33131299,28,37888,218.59,81.88265633583069,"[40, 30, 50000, 10, 0.5]",37.504472970962524,40.44003748893738,0.8419110774993896
377,598763644,23636,518938601,111341234,728790910,94217,999199988,1,41,10529850005,3471,1013585262,65,107091252,minimal,8344,16447083,36,158500,235.77,83.0711715221405,"[40, 30, 50000, 10, 0.5]",38.71056604385376,40.43306040763855,0.8305327892303467
695,337676397,12520,68408366,80880934,158163455,47259,919231627,2,37,12977424802,8659,1597875107,90,20638387,minimal,522,56162372,87,386231,266.97,86.99899005889893,"[40, 30, 50000, 10, 0.5]",42.82556939125061,40.405149936676025,0.6844377517700195
524,722376288,3438,542270076,96122351,397713411,32438,184325682,1,85,12660180699,20008,2666941200,125,63127711,noblob,2156,43424449,9,534038,238.17,81.10785388946533,"[40, 30, 50000, 10, 0.5]",36.72977948188782,40.41238856315613,0.842155933380127
271,136165304,7864,229171698,79894906,235944159,25566,79781289,2,67,14310378907,12539,4143975668,29,547141,noblob,5912,124269817,20,808437,263.28,90.13601994514465,"[40, 30, 50000, 10, 0.5]",45.89650869369507,40.389118909835815,0.7551684379577637
765,950861479,10114,743553346,122989428,444953400,8115,447498628,1,14,15174437643,27286,2108639239,13,133025162,minimal,6392,111184659,60,693092,229.63,82.23988890647888,"[40, 30, 50000, 10, 0.5]",38.09871864318848,40.36927771568298,0.6843123435974121
472,767401259,29643,209186350,31033653,934057342,128214,225792262,2,78,13990977640,1528,3113849540,20,119213911,noblob,1179,76025239,73,990066,260.29,97.30474925041199,"[30, 45, 45000, 10, 0.5]",59.946285247802734,30.65624690055847,3.6097493171691895
853,976587308,34409,362541233,47988067,607828045,66096,560012498,0,26,15085208437,26575,571479992,59,33479975,minimal,10146,97467959,70,440364,259.73,85.11175036430359,"[30, 45, 45000, 10, 0.5]",49.78687834739685,30.585914373397827,1.6436755657196045
48,64686510,36946,1063886150,22538065,34040656,80592,705801837,0,52,11955555814,11818,2474058240,97,90491336,full,3193,5518768,98,728630,261.49,93.02338480949402,"[30, 45, 45000, 10, 0.5]",57.522388219833374,30.682687044143677,1.6907248497009277
908,309611557,19938,910071211,56102563,787603677,105183,824735014,0,8,11218459588,17236,3826833635,47,76451168,full,8028,90720046,44,285081,262.42,88.17205905914307,"[30, 45, 45000, 10, 0.5]",53.02419590950012,30.660762310028076,1.3859772682189941
179,493890095,27220,810835076,4374655,1012742819,61386,425959967,1,98,11615188848,23429,243886174,114,49321095,full,4895,33131299,28,37888,213.83,84.71501636505127,"[30, 45, 45000, 10, 0.5]",50.11308145523071,30.478864192962646,1.00272798538208
377,598763644,23636,518938601,111341234,728790910,94217,999199988,1,41,10529850005,3471,1013585262,65,107091252,minimal,8344,16447083,36,158500,214.2,86.268803358078,"[30, 45, 45000, 10, 0.5]",51.034607887268066,30.667754888534546,1.463942527770996
695,337676397,12520,68408366,80880934,158163455,47259,919231627,2,37,12977424802,8659,1597875107,90,20638387,minimal,522,56162372,87,386231,253.57,89.95923924446106,"[30, 45, 45000, 10, 0.5]",54.87411117553711,30.675694465637207,1.3154914379119873
524,722376288,3438,542270076,96122351,397713411,32438,184325682,1,85,12660180699,20008,2666941200,125,63127711,noblob,2156,43424449,9,534038,225.72,82.28025007247925,"[30, 45, 45000, 10, 0.5]",47.14386343955994,30.607434272766113,1.4234442710876465
271,136165304,7864,229171698,79894906,235944159,25566,79781289,2,67,14310378907,12539,4143975668,29,547141,noblob,5912,124269817,20,808437,249.37,87.31291484832764,"[30, 45, 45000, 10, 0.5]",52.218210220336914,30.72783136367798,1.2650666236877441
765,950861479,10114,743553346,122989428,444953400,8115,447498628,1,14,15174437643,27286,2108639239,13,133025162,minimal,6392,111184659,60,693092,208.14,83.7454936504364,"[30, 45, 45000, 10, 0.5]",48.690979957580566,30.723961353302002,1.2273573875427246
472,767401259,29643,209186350,31033653,934057342,128214,225792262,2,78,13990977640,1528,3113849540,20,119213911,noblob,1179,76025239,73,990066,379.99,59.50546932220459,"[50, 30, 10000, 6, 0.5]",5.747091054916382,50.23034954071045,0.43954038619995117
853,976587308,34409,362541233,47988067,607828045,66096,560012498,0,26,15085208437,26575,571479992,59,33479975,minimal,10146,97467959,70,440364,376.46,59.547675132751465,"[50, 30, 10000, 6, 0.5]",5.906308174133301,50.1559374332428,0.3764791488647461
48,64686510,36946,1063886150,22538065,34040656,80592,705801837,0,52,11955555814,11818,2474058240,97,90491336,full,3193,5518768,98,728630,358.48,59.97548794746399,"[50, 30, 10000, 6, 0.5]",6.327341318130493,50.15989971160889,0.38735532760620117
908,309611557,19938,910071211,56102563,787603677,105183,824735014,0,8,11218459588,17236,3826833635,47,76451168,full,8028,90720046,44,285081,379.82,59.97421312332153,"[50, 30, 10000, 6, 0.5]",6.292144298553467,50.201972246170044,0.37328147888183594
179,493890095,27220,810835076,4374655,1012742819,61386,425959967,1,98,11615188848,23429,243886174,114,49321095,full,4895,33131299,28,37888,310.09,59.624765396118164,"[50, 30, 10000, 6, 0.5]",5.809725284576416,50.20928144454956,0.498532772064209
377,598763644,23636,518938601,111341234,728790910,94217,999199988,1,41,10529850005,3471,1013585262,65,107091252,minimal,8344,16447083,36,158500,323.31,59.87825059890747,"[50, 30, 10000, 6, 0.5]",6.064751386642456,50.1472692489624,0.5711188316345215
