innodb_thread_concurrency,max_allowed_packet,innodb_io_capacity_max,tmp_table_size,query_prealloc_size,max_heap_table_size,transaction_alloc_block_size,join_buffer_size,innodb_flush_log_at_trx_commit,innodb_max_dirty_pages_pct_lwm,innodb_buffer_pool_size,key_cache_age_threshold,binlog_cache_size,innodb_purge_rseg_truncate_frequency,query_cache_limit,binlog_row_image,innodb_lru_scan_depth,sort_buffer_size,innodb_stats_transient_sample_pages,innodb_adaptive_max_sleep_delay,throughput,evaluated_time,fidelity_setting,corr
560,299684208,337,85284485,61642385,707493344,27575,686114061,0,88,14689228591,20452,3031777353,73,34900638,full,6805,24426910,51,415190,417.14,61.67767262458801,"[40, 30, 45000, 4, 0.5]",0.7696969696969697
560,299684208,337,846137415,97444022,399355403,112466,686114061,0,88,14689228591,22983,1837840121,60,34900638,full,10223,21652054,87,521167,414.26,63.236507415771484,"[40, 30, 45000, 4, 0.5]",0.7696969696969697
345,299684208,337,846137415,61642385,707493344,112466,366227875,0,86,14689228591,22983,1837840121,115,45447935,full,6805,24426910,51,521167,413.82,62.77458739280701,"[40, 30, 45000, 4, 0.5]",0.7696969696969697
560,353953089,337,85284485,59041504,707493344,27575,282736257,0,86,14689228591,20452,3031777353,73,45447935,minimal,6805,5848272,51,528881,413.34,61.20017337799072,"[40, 30, 45000, 4, 0.5]",0.7696969696969697
560,299684208,337,846137415,59513576,707493344,27575,282736257,0,88,14689228591,20452,1610149292,109,99124164,full,10223,24426910,87,521167,413.06,59.98368287086487,"[40, 30, 45000, 4, 0.5]",0.7696969696969697
345,299684208,337,846137415,66711688,707493344,42323,366227875,0,88,14689228591,22983,1837840121,60,45447935,full,10223,24426910,87,521167,409.61,59.060680866241455,"[40, 30, 45000, 4, 0.5]",0.7696969696969697
543,299684208,337,846137415,97444022,707493344,112466,556186330,0,86,14689228591,22983,1837840121,60,45447935,full,6805,21652054,87,521167,409.11,60.60473895072937,"[40, 30, 45000, 4, 0.5]",0.7696969696969697
560,299684208,337,85284485,61642385,707493344,27575,686114061,0,88,14689228591,20452,3031777353,73,34900638,full,6805,24426910,51,343555,408.87,60.68537878990173,"[40, 30, 45000, 4, 0.5]",0.7696969696969697
560,299684208,337,846137415,66711688,707493344,42323,686114061,0,88,14689228591,20452,1837840121,60,34900638,full,10223,24426910,87,521167,408.73,61.441426277160645,"[40, 30, 45000, 4, 0.5]",0.7696969696969697
560,299684208,337,846137415,66711688,707493344,42323,366227875,0,86,14689228591,22983,1837840121,60,45447935,full,6805,14323807,35,521167,408.58,61.10747480392456,"[40, 30, 45000, 4, 0.5]",0.7696969696969697
560,299684208,337,846137415,66711688,827451708,27575,282736257,2,88,14689228591,22983,488095144,60,106271778,full,3643,24426910,87,726062,408.47,61.103766441345215,"[40, 30, 45000, 4, 0.5]",0.7696969696969697
560,353953089,337,846137415,66711688,707493344,27575,282736257,0,86,14689228591,22983,1610149292,73,45447935,full,6805,5848272,95,528881,408.1,61.21266722679138,"[40, 30, 45000, 4, 0.5]",0.7696969696969697
543,299684208,337,846137415,97444022,707493344,112466,556186330,0,2,14689228591,22983,1837840121,60,45447935,full,6805,21652054,87,521167,407.27,60.88972330093384,"[40, 30, 45000, 4, 0.5]",0.7696969696969697
543,299684208,337,846137415,66711688,707493344,27575,366227875,0,88,14689228591,22983,1837840121,60,34900638,full,10223,21652054,87,521167,407.12,61.351712226867676,"[40, 30, 45000, 4, 0.5]",0.7696969696969697
345,299684208,337,846137415,61642385,707493344,27575,366227875,0,88,14689228591,22983,3031777353,60,34900638,full,6805,24426910,51,343555,407.05,62.94896459579468,"[40, 30, 45000, 4, 0.5]",0.7696969696969697
543,452332620,337,846137415,59513576,707493344,27575,282736257,0,88,14689228591,15335,1610149292,109,34900638,full,10223,24426910,87,521167,407.0,60.29399061203003,"[40, 30, 45000, 4, 0.5]",0.7696969696969697
560,299684208,337,846137415,66711688,707493344,27575,366227875,0,88,14689228591,22983,1837840121,60,34900638,full,10223,24426910,87,837421,406.92,60.71270561218262,"[40, 30, 45000, 4, 0.5]",0.7696969696969697
345,299684208,337,846137415,66711688,707493344,27575,454039566,0,26,14689228591,20452,1837840121,60,45447935,full,10223,21652054,87,521167,406.17,63.03054404258728,"[40, 30, 45000, 4, 0.5]",0.7696969696969697
932,299684208,337,846137415,66711688,707493344,17704,282736257,0,88,14689228591,20452,1837840121,73,45447935,full,6805,24426910,87,521167,405.55,61.48256325721741,"[40, 30, 45000, 4, 0.5]",0.7696969696969697
560,299684208,337,846137415,66711688,707493344,27575,366227875,0,88,14689228591,20452,1837840121,73,45447935,full,6805,24426910,87,521167,405.36,60.12980055809021,"[40, 30, 45000, 4, 0.5]",0.7696969696969697
