innodb_thread_concurrency,max_allowed_packet,innodb_io_capacity_max,tmp_table_size,query_prealloc_size,max_heap_table_size,transaction_alloc_block_size,join_buffer_size,innodb_flush_log_at_trx_commit,innodb_max_dirty_pages_pct_lwm,innodb_buffer_pool_size,key_cache_age_threshold,binlog_cache_size,innodb_purge_rseg_truncate_frequency,query_cache_limit,binlog_row_image,innodb_lru_scan_depth,sort_buffer_size,innodb_stats_transient_sample_pages,innodb_adaptive_max_sleep_delay,throughput,evaluated_time,fidelity_setting,corr
652,321856116,534,327862540,99188234,17974755,11758,347444909,0,87,11619016177,16988,2725313113,92,114834350,noblob,6157,122539867,50,11234,373.85,257.80564761161804,"[180, 50, 100000, 4, 0.5]",1
354,321856116,534,872205435,75496540,799762137,119934,828905377,0,26,11619016177,16988,1270255983,92,128268266,noblob,6309,63433618,96,11234,373.26,249.67438673973083,"[180, 50, 100000, 4, 0.5]",1
368,321856116,534,1032567185,70413068,345772526,11758,58055080,0,28,13288526259,16988,318671252,33,8409490,noblob,6309,61574677,92,11234,368.6,254.60035753250122,"[180, 50, 100000, 4, 0.5]",1
354,321856116,534,872205435,75496540,17974755,11758,828905377,0,26,11619016177,3707,1270255983,92,128268266,minimal,6309,14323807,96,11234,368.46,253.13655018806458,"[180, 50, 100000, 4, 0.5]",1
755,321856116,534,872205435,70413068,767221290,11758,240526644,0,24,11619016177,3707,3341860461,92,23560396,minimal,6309,14323807,96,359397,368.25,255.16278529167175,"[180, 50, 100000, 4, 0.5]",1
118,321856116,534,197579510,99188234,17974755,11758,347444909,0,87,11619016177,16988,2725313113,92,114834350,noblob,6157,122539867,50,11234,368.18,249.18467164039612,"[180, 50, 100000, 4, 0.5]",1
755,1028162733,534,197579510,70413068,17974755,11758,347444909,0,34,11619016177,16988,2725313113,92,114834350,minimal,6157,61574677,96,11234,367.71,247.49022841453552,"[180, 50, 100000, 4, 0.5]",1
755,321856116,534,872205435,75496540,17974755,119934,1040239653,0,24,11619016177,3707,1270255983,92,128268266,minimal,6309,91099229,96,11234,367.43,255.1938042640686,"[180, 50, 100000, 4, 0.5]",1
755,226021946,534,872205435,75496540,163799728,119934,828905377,0,26,11619016177,3707,1270255983,92,128268266,minimal,6309,61574677,96,359397,367.29,245.5017969608307,"[180, 50, 100000, 4, 0.5]",1
343,321856116,534,197579510,61737558,17974755,57560,1040239653,0,24,14525381443,16988,318671252,92,128268266,noblob,6309,91099229,68,11234,366.81,250.52281498908997,"[180, 50, 100000, 4, 0.5]",1
354,321856116,534,872205435,70413068,434207628,11758,828905377,0,26,11619016177,16988,3341860461,92,23560396,noblob,6309,14323807,96,359397,366.26,251.00231766700745,"[180, 50, 100000, 4, 0.5]",1
762,321856116,534,1032567185,70413068,434207628,11758,432834691,0,8,11619016177,16988,3341860461,92,23560396,noblob,6309,14323807,62,11234,366.11,255.82425117492676,"[180, 50, 100000, 4, 0.5]",1
755,321856116,534,726704584,108286396,434207628,11758,147388542,0,34,11619016177,16988,2305428090,92,128268266,noblob,6309,61574677,62,325930,365.86,257.15668201446533,"[180, 50, 100000, 4, 0.5]",1
87,321856116,534,564038517,75496540,434207628,11758,161032843,0,34,11619016177,16988,2305428090,92,128268266,full,6309,61574677,62,325930,365.44,252.3889172077179,"[180, 50, 100000, 4, 0.5]",1
368,321856116,534,1032567185,70413068,345772526,11758,58055080,0,12,13288526259,16988,318671252,33,8409490,noblob,6309,61574677,70,11234,365.43,254.42765426635742,"[180, 50, 100000, 4, 0.5]",1
762,321856116,534,726704584,70413068,434207628,11758,432834691,0,34,11619016177,16988,3341860461,92,128268266,noblob,6309,14323807,62,325930,364.92,266.4901077747345,"[180, 50, 100000, 4, 0.5]",1
343,321856116,534,93408885,61737558,17974755,57560,58055080,0,34,14525381443,16988,318671252,33,128268266,noblob,6309,61574677,70,11234,364.68,258.2445955276489,"[180, 50, 100000, 4, 0.5]",1
343,321856116,534,197579510,99188234,17974755,115209,1040239653,0,24,11619016177,16988,2305428090,92,114834350,noblob,6309,91099229,68,11234,364.58,246.1751103401184,"[180, 50, 100000, 4, 0.5]",1
343,1028162733,534,516914872,61737558,17974755,57560,432834691,0,34,14525381443,16988,318671252,33,128268266,noblob,8056,61574677,70,11234,364.33,254.5994210243225,"[180, 50, 100000, 4, 0.5]",1
87,1028162733,534,93408885,70413068,434207628,52949,432834691,0,34,11619016177,16988,318671252,92,128268266,full,6309,61574677,62,359397,363.84,250.61167526245117,"[180, 50, 100000, 4, 0.5]",1
