checkpoint_completion_target,backend_flush_after,maintenance_work_mem,max_parallel_workers_per_gather,min_wal_size,wal_writer_flush_after,wal_writer_delay,work_mem,random_page_cost,commit_siblings,checkpoint_flush_after,seq_page_cost,commit_delay,join_collapse_limit,bgwriter_delay,from_collapse_limit,default_statistics_target,bgwriter_flush_after,checkpoint_timeout,deadlock_timeout,throughput,cost,fidelity,prepare_time,run_time,clean_time
0.7533048284585083,181,153399,523,7587,153343280,1212,752493,40.23591450581563,388,196,3.6550328764314273,41257,1304037845,9598,853580531,7161,64,83447,38138959,342.8,238.03584551811218,"[180, 50, 100000, 4, 0.5]",54.62247085571289,180.21386981010437,0.4231717586517334
0.04352383581417277,6,45008,974,205,1786015453,2408,320013,58.5108685154688,334,12,91.4416753064802,59242,1038868282,7291,1300970746,2738,8,66104,1939411713,521.86,231.79156732559204,"[180, 50, 100000, 4, 0.5]",50.365334272384644,180.22078251838684,0.380263090133667
0.3915962358337927,78,937663,511,4881,1346067085,6580,725823,68.95781533383305,98,94,49.77816424534663,94581,650658234,7783,1649777219,94,121,55384,1013349744,516.09,230.85767531394958,"[180, 50, 100000, 4, 0.5]",49.36024570465088,180.12661218643188,0.3220834732055664
0.9753226417103572,54,464387,880,3389,273864200,9823,166443,7.457742529424416,175,180,76.70163751002954,33525,1361199059,896,461472698,6234,226,17464,1671954636,497.1,236.81413507461548,"[180, 50, 100000, 4, 0.5]",55.41563701629639,180.18662023544312,0.42905592918395996
0.18137403812270558,129,711278,127,5394,1269531875,5841,438067,31.939598098707215,967,46,13.129516097863624,66055,247289597,1950,659974957,9505,187,27046,1515929813,490.34,235.15810346603394,"[180, 50, 100000, 4, 0.5]",53.47343301773071,180.1997754573822,0.4721710681915283
0.6609645486185322,114,339683,330,6569,1036113951,3367,594472,15.482642758845962,620,150,50.06036542233666,75893,343142812,3988,1457386840,2300,199,53358,1294798388,498.84,234.74012923240662,"[180, 50, 100000, 4, 0.5]",53.12965416908264,180.1386477947235,0.3772549629211426
0.2601382270942026,201,754786,666,2698,761021391,4321,43872,82.51279439197496,755,109,65.46535257183793,24501,1889727210,5011,247914209,3916,159,37645,675426817,484.43,234.603431224823,"[180, 50, 100000, 4, 0.5]",53.43922781944275,180.11913013458252,0.37871336936950684
0.600009022096922,230,614448,232,1158,2142758822,7718,983503,94.48404344385459,668,233,27.387715361425183,12467,1827363779,3211,2084818099,7841,41,6733,536531077,471.18,234.64397883415222,"[180, 50, 100000, 4, 0.5]",53.25949454307556,180.12420892715454,0.49753427505493164
0.051051359379432296,50,90950,898,443,1859643461,1244,173475,56.49670745886339,375,43,86.00705813360817,57072,703780684,5985,1390316167,2310,12,64728,1931174698,501.88,234.6935362815857,"[180, 50, 100000, 4, 0.5]",53.394330978393555,180.1657793521881,0.372760534286499
0.09607824458194497,31,126478,959,291,1430106324,1957,337867,64.4366808802639,347,17,85.81258489438072,51553,1137300672,5356,1092208088,3560,26,74570,1901105036,493.08,235.83559012413025,"[180, 50, 100000, 4, 0.5]",54.058364152908325,180.16441941261292,0.4098069667816162
0.17023506152659357,12,64143,927,592,1800222346,2678,279466,52.3339879993543,251,37,78.12996324172742,61261,1001544734,6221,1042223810,3164,29,77553,1821553423,493.48,233.80064415931702,"[180, 50, 100000, 4, 0.5]",52.135276079177856,180.18672466278076,0.38361382484436035
0.13953623596948983,28,113264,966,719,2014139695,2379,208242,49.12370629452012,208,38,78.88248204181012,42617,1210338810,5481,899544976,2573,39,68301,1784719117,492.94,234.40607690811157,"[180, 50, 100000, 4, 0.5]",52.85274696350098,180.21643495559692,0.37736034393310547
0.06409303831085462,23,50254,889,1152,1623512735,3282,372432,59.87206713824192,183,27,90.2977705350837,49869,887951540,6536,1280304490,3459,13,57545,1734575198,487.73,233.76747345924377,"[180, 50, 100000, 4, 0.5]",52.30457067489624,180.27514624595642,0.37134671211242676
0.14843038562129465,39,80243,935,865,1461596764,2270,314451,44.821330813365435,267,24,80.75914735015314,46163,966914849,7555,957301060,2733,17,70683,1867098674,492.74,234.5397505760193,"[180, 50, 100000, 4, 0.5]",53.00425696372986,180.20147013664246,0.37734436988830566
0.084075062469303,12,141637,945,484,1739213477,3042,429130,40.83133350743121,304,33,82.86101725121402,56300,1293893871,6954,1358588371,2966,35,59530,1748261856,494.11,234.5909640789032,"[180, 50, 100000, 4, 0.5]",52.97617435455322,180.2077832221985,0.426220178604126
0.12202622651537776,45,110052,909,1026,2045748714,1583,246820,67.1681827421562,334,13,88.95364208894944,65915,799841902,7227,1210832648,3874,22,82615,1700804928,477.2,235.65641593933105,"[180, 50, 100000, 4, 0.5]",53.69397521018982,180.19457149505615,0.5632851123809814
0.5136708337997782,8,835561,728,7120,831075380,1539,156161,35.70221305944325,133,39,71.57879699302487,76039,1574117162,5553,384009188,3149,4,16687,1550821352,478.12,235.5839262008667,"[180, 50, 100000, 4, 0.5]",53.78574538230896,180.28499221801758,0.42215466499328613
