checkpoint_completion_target,backend_flush_after,maintenance_work_mem,max_parallel_workers_per_gather,min_wal_size,wal_writer_flush_after,wal_writer_delay,work_mem,random_page_cost,commit_siblings,checkpoint_flush_after,seq_page_cost,commit_delay,join_collapse_limit,bgwriter_delay,from_collapse_limit,default_statistics_target,bgwriter_flush_after,checkpoint_timeout,deadlock_timeout,throughput,cost,fidelity,prepare_time,run_time,clean_time
0.23652093578552488,151,735551,166,5063,5445589,1163,544583,31.954375127990925,193,63,56.60268472691019,6453,713799635,10000,1483025096,8884,223,59706,1881961544,376.73,71.16713643074036,"[10, 50, 100000, 4, 0.5]",54.113309144973755,10.282872915267944,5.715059041976929
0.9486156263876765,103,822375,760,3263,440528669,3662,79324,44.00249643865383,888,135,91.81925676785323,88160,8399843,5498,972486035,7605,228,75839,521328234,384.18,64.96865510940552,"[10, 50, 100000, 4, 0.5]",51.267085313797,10.13337779045105,2.557039260864258
0.34935110818883053,213,545857,323,7039,1609177863,2533,265476,99.32362647736267,338,94,51.0867626001934,35056,192280900,246,2019108027,771,104,30430,77704601,380.67,65.3373429775238,"[10, 50, 100000, 4, 0.5]",51.16166615486145,10.199602127075195,3.0266740322113037
0.5383826024482443,245,440154,951,4462,2126432319,7570,631298,6.502877657175299,708,18,34.22627026430377,46302,1611023087,3915,2003659358,2120,61,66439,2056275793,393.18,65.84713912010193,"[10, 50, 100000, 4, 0.5]",51.45834302902222,10.27121114730835,3.07450532913208
0.27086072300902775,73,969311,608,3745,1636133577,6227,586398,29.933733259466027,382,231,48.464956544635164,13634,299525503,7083,1443721701,6997,79,49391,1151356559,380.92,68.81425309181213,"[10, 50, 100000, 4, 0.5]",52.59881615638733,10.174500465393066,5.160994052886963
0.39194206888285216,51,354883,526,942,247638387,5456,947239,4.3269001043571835,489,73,40.822639129604326,58618,1417258396,772,612813324,6617,93,14321,1445604894,368.06,70.10276341438293,"[10, 50, 100000, 4, 0.5]",51.39130997657776,10.206351518630981,7.641171455383301
0.013797122975153113,91,591722,196,340,1816914278,7367,172428,70.54111465903148,18,107,19.266792252690387,71674,601789617,5810,1281495423,6175,201,33063,311350163,385.62,69.514319896698,"[10, 50, 100000, 4, 0.5]",52.1421422958374,10.192984342575073,5.0562357902526855
0.8946946376655169,228,781703,877,1732,1228696617,1355,843783,63.36658960254526,556,208,30.433030035971893,77448,1179049890,3110,75202470,5027,136,23537,1608740565,344.27,67.97828769683838,"[10, 50, 100000, 4, 0.5]",52.586021900177,10.202974796295166,3.896908760070801
0.6638581424000198,166,433875,775,2166,640634769,4443,22022,87.97883718353454,176,34,62.774867571840545,83859,1815988494,1636,811003847,4466,171,3762,252032028,378.31,66.98295760154724,"[10, 50, 100000, 4, 0.5]",51.63055372238159,10.167982816696167,4.073497533798218
0.4915810677488627,129,267630,446,5679,818620605,6439,242364,82.52537701132889,94,150,81.26171513375279,42276,1957449249,3238,1746181628,1501,159,46455,847626466,369.44,66.94421887397766,"[10, 50, 100000, 4, 0.5]",51.59195065498352,10.202925682067871,4.22198748588562
0.7781412292775216,4,219995,6,6026,1029702110,8587,444584,23.017523085482722,583,186,99.70046713870678,3319,1274586151,1970,1158429711,9978,114,72797,1828880652,375.63,66.9171233177185,"[10, 50, 100000, 4, 0.5]",51.83761382102966,10.205807447433472,4.022282123565674
0.8371316988920191,179,177616,278,7980,1370288622,557,887659,16.264186952886064,976,119,74.56470381908767,55978,2116989842,8922,339237228,8714,186,56272,705948179,397.68,68.62679409980774,"[10, 50, 100000, 4, 0.5]",52.495832681655884,10.200112581253052,5.130096197128296
0.11908469123266763,120,664258,502,1115,287622776,9940,398853,75.53529421366896,646,172,4.671625960879705,30344,875707512,6336,510272533,266,254,17733,1713327730,19.55,66.67994475364685,"[10, 50, 100000, 4, 0.5]",50.95856189727783,10.393407106399536,4.4362287521362305
0.5843157922601764,18,31817,644,4703,673552702,3922,724427,43.01730585903356,283,247,14.15424021255513,23457,976408424,8529,249760771,3270,45,38863,594257807,379.65,66.18140625953674,"[10, 50, 100000, 4, 0.5]",49.872485637664795,10.189666509628296,5.012302875518799
0.692712595346358,207,116814,991,2747,1149263527,9074,350086,59.79560276767468,768,219,76.03616806272258,64675,1539941029,7931,1714213151,2603,8,81499,1054429830,398.94,68.05449104309082,"[10, 50, 100000, 4, 0.5]",51.54997253417969,10.197186708450317,5.2781853675842285
0.15584766152203766,34,903036,78,6872,1896954510,2168,760891,55.91588238226133,837,11,11.728550895965329,98986,405096020,4498,802443627,4301,22,5688,1286346353,403.17,66.55441975593567,"[10, 50, 100000, 4, 0.5]",51.497308015823364,10.111076593399048,3.72727632522583
0.15584766152203766,34,903036,78,6872,1896954510,2168,760891,55.91588238226133,837,11,11.728550895965329,98986,405096020,4498,802443627,4301,22,5688,1286346353,398.87,75.85698938369751,"[20, 50, 100000, 4, 0.5]",52.04215145111084,20.117111682891846,2.876683473587036
0.692712595346358,207,116814,991,2747,1149263527,9074,350086,59.79560276767468,768,219,76.03616806272258,64675,1539941029,7931,1714213151,2603,8,81499,1054429830,409.89,75.85817098617554,"[20, 50, 100000, 4, 0.5]",51.80635380744934,20.18161153793335,3.051272392272949
0.8371316988920191,179,177616,278,7980,1370288622,557,887659,16.264186952886064,976,119,74.56470381908767,55978,2116989842,8922,339237228,8714,186,56272,705948179,410.78,75.55911064147949,"[20, 50, 100000, 4, 0.5]",51.124016523361206,20.20680809020996,3.2852189540863037
0.5383826024482443,245,440154,951,4462,2126432319,7570,631298,6.502877657175299,708,18,34.22627026430377,46302,1611023087,3915,2003659358,2120,61,66439,2056275793,414.95,74.4505455493927,"[20, 50, 100000, 4, 0.5]",50.87846541404724,20.20800495147705,2.374507188796997
0.013797122975153113,91,591722,196,340,1816914278,7367,172428,70.54111465903148,18,107,19.266792252690387,71674,601789617,5810,1281495423,6175,201,33063,311350163,408.15,76.29114818572998,"[20, 50, 100000, 4, 0.5]",51.20885634422302,20.214932441711426,3.7954869270324707
0.9486156263876765,103,822375,760,3263,440528669,3662,79324,44.00249643865383,888,135,91.81925676785323,88160,8399843,5498,972486035,7605,228,75839,521328234,403.4,76.19411778450012,"[20, 50, 100000, 4, 0.5]",51.82689929008484,20.19990634918213,3.2734761238098145
0.27086072300902775,73,969311,608,3745,1636133577,6227,586398,29.933733259466027,382,231,48.464956544635164,13634,299525503,7083,1443721701,6997,79,49391,1151356559,412.96,76.09837675094604,"[20, 50, 100000, 4, 0.5]",51.06240701675415,20.279298067092896,3.9181458950042725
0.34935110818883053,213,545857,323,7039,1609177863,2533,265476,99.32362647736267,338,94,51.0867626001934,35056,192280900,246,2019108027,771,104,30430,77704601,403.24,75.43019390106201,"[20, 50, 100000, 4, 0.5]",52.118574380874634,20.114928483963013,2.116889476776123
0.5383826024482443,245,440154,951,4462,2126432319,7570,631298,6.502877657175299,708,18,34.22627026430377,46302,1611023087,3915,2003659358,2120,61,66439,2056275793,448.84,95.50219511985779,"[40, 50, 100000, 4, 0.5]",50.962390184402466,40.22165107727051,3.330573320388794
0.27086072300902775,73,969311,608,3745,1636133577,6227,586398,29.933733259466027,382,231,48.464956544635164,13634,299525503,7083,1443721701,6997,79,49391,1151356559,436.16,94.36642551422119,"[40, 50, 100000, 4, 0.5]",50.97464370727539,40.20424222946167,2.163761615753174
0.8371316988920191,179,177616,278,7980,1370288622,557,887659,16.264186952886064,976,119,74.56470381908767,55978,2116989842,8922,339237228,8714,186,56272,705948179,416.82,97.35578107833862,"[40, 50, 100000, 4, 0.5]",52.44422459602356,40.21335220336914,3.6157724857330322
0.692712595346358,207,116814,991,2747,1149263527,9074,350086,59.79560276767468,768,219,76.03616806272258,64675,1539941029,7931,1714213151,2603,8,81499,1054429830,460.16,96.54122591018677,"[40, 50, 100000, 4, 0.5]",52.008819580078125,40.18832802772522,3.642824649810791
0.692712595346358,207,116814,991,2747,1149263527,9074,350086,59.79560276767468,768,219,76.03616806272258,64675,1539941029,7931,1714213151,2603,8,81499,1054429830,469.06,143.7384271621704,"[90, 50, 100000, 4, 0.5]",51.97289538383484,90.20128297805786,0.3769412040710449
0.5383826024482443,245,440154,951,4462,2126432319,7570,631298,6.502877657175299,708,18,34.22627026430377,46302,1611023087,3915,2003659358,2120,61,66439,2056275793,481.74,144.28328776359558,"[90, 50, 100000, 4, 0.5]",52.62865233421326,90.19073557853699,0.36711668968200684
0.5383826024482443,245,440154,951,4462,2126432319,7570,631298,6.502877657175299,708,18,34.22627026430377,46302,1611023087,3915,2003659358,2120,61,66439,2056275793,516.59,233.2986238002777,"[180, 50, 100000, 4, 0.5]",51.735684871673584,180.19528460502625,0.37102389335632324
0.14892226352182128,68,847761,47,4493,702951756,8666,974401,66.30598236857996,17,201,84.05682148860492,22739,534775036,5777,433155117,397,9,54672,1235758740,418.52,75.55212235450745,"[20, 50, 100000, 4, 0.5]",52.279738903045654,20.19964575767517,2.3416221141815186
0.3375334053287885,250,414117,263,883,423173413,774,758797,58.93039773648565,782,128,73.4515621580597,41341,1334710638,7724,1617044225,6316,98,19680,432629317,405.49,77.60560727119446,"[20, 50, 100000, 4, 0.5]",54.55406165122986,20.115284204483032,1.9670023918151855
0.741332559308877,109,214779,922,2485,1638906915,1368,528260,36.8609464420528,880,98,4.843332353433594,73865,1174949841,4443,1185658704,1694,182,2890,198932013,412.69,75.38425159454346,"[20, 50, 100000, 4, 0.5]",51.80130624771118,20.167982816696167,2.2873198986053467
0.6381338541260497,40,503510,734,3475,1962214777,7951,699637,13.746095965891298,257,8,98.80493008201941,68071,1816943269,9245,842332326,3446,155,15014,1355528324,411.96,77.29739212989807,"[20, 50, 100000, 4, 0.5]",53.7092559337616,20.149821043014526,2.192615270614624
0.5308193594528395,136,55215,655,614,1034554890,2106,858245,80.66451077980174,640,52,29.55853282078377,34084,219725464,6292,869194183,8462,219,76096,1764822587,382.41,76.32230234146118,"[20, 50, 100000, 4, 0.5]",51.392964124679565,20.11334466934204,3.800222635269165
0.2759814436921189,84,156455,974,5062,1140210782,6723,283158,41.09700513056758,473,128,17.783492252354165,51129,855818409,8333,2027378167,4278,70,66453,965113073,399.24,76.44472551345825,"[20, 50, 100000, 4, 0.5]",52.708359479904175,20.17965817451477,2.64357852935791
0.06940652804638142,202,692546,608,5980,1925586001,5382,145134,77.23930036613568,154,26,45.16456052339656,89478,1032608185,3981,293695933,7575,137,39211,347293231,401.88,77.47880244255066,"[20, 50, 100000, 4, 0.5]",53.215922832489014,20.1885085105896,2.9709696769714355
0.8028195851062313,176,959857,456,7078,550855065,9268,5477,9.778556129527413,533,233,31.71021580093901,13219,1598670131,2794,1766661209,2689,32,44222,1962355327,425.96,74.97747659683228,"[20, 50, 100000, 4, 0.5]",52.5615291595459,20.191463708877563,1.3454158306121826
0.4703308203425658,13,754160,168,1738,3776648,3670,413518,22.302538738516116,941,177,60.2673546285755,9672,118628309,70,70496163,5661,125,81542,1549090065,393.19,77.58478927612305,"[20, 50, 100000, 4, 0.5]",53.88047170639038,20.214160442352295,2.522440195083618
0.9599757481204688,212,330736,309,7584,1330056690,4466,371830,90.60990939862297,383,212,59.781143874348665,95013,2131402693,1518,1298319053,9243,244,34406,782700931,383.77,78.17117476463318,"[20, 50, 100000, 4, 0.5]",53.501845836639404,20.19382643699646,3.31270170211792
0.8028195851062313,176,959857,456,7078,550855065,9268,5477,9.778556129527413,533,233,31.71021580093901,13219,1598670131,2794,1766661209,2689,32,44222,1962355327,444.26,97.04707217216492,"[40, 50, 100000, 4, 0.5]",53.126667976379395,40.20503616333008,2.9399304389953613
0.14892226352182128,68,847761,47,4493,702951756,8666,974401,66.30598236857996,17,201,84.05682148860492,22739,534775036,5777,433155117,397,9,54672,1235758740,415.11,97.23222470283508,"[40, 50, 100000, 4, 0.5]",53.39786338806152,40.20972037315369,2.5609939098358154
0.741332559308877,109,214779,922,2485,1638906915,1368,528260,36.8609464420528,880,98,4.843332353433594,73865,1174949841,4443,1185658704,1694,182,2890,198932013,433.46,97.24787878990173,"[40, 50, 100000, 4, 0.5]",53.380898237228394,40.169124364852905,2.6358301639556885
0.6381338541260497,40,503510,734,3475,1962214777,7951,699637,13.746095965891298,257,8,98.80493008201941,68071,1816943269,9245,842332326,3446,155,15014,1355528324,420.48,97.12774133682251,"[40, 50, 100000, 4, 0.5]",53.64525008201599,40.21149945259094,2.3315579891204834
