maxThreads,acceptCount,connectionTimeout,keepAliveTimeout,maxConnections,minSpareThreads,processorCache,enableLookups,asyncTimeout,disableUploadTimeout,connectionUploadTimeout,executorTerminationTimeoutMillis,compressionMinSize,tcpNoDelay,maxHttpHeaderSize,maxHttpRequestHeaderSize,maxHttpResponseHeaderSize,maxKeepAliveRequests,threadsMaxIdleTime,threadPriority,RPS,evaluated_time,fidelity_setting,corr
12763,561,57301,12045,40872,182,142,false,41364,false,356554,22766,88010,false,8669,46542,41847,202,515869,6,2796.31,180.1209683418274,"[8, 50, 180, True]",1
4196,5,54752,22313,61113,8,454,false,1473,true,361050,56961,7657,true,44221,12916,35217,726,35255,1,2731.49,180.14016032218933,"[8, 50, 180, True]",1
11825,56,36027,7311,61058,109,189,false,26629,true,23918,26908,25614,false,43994,46818,26933,601,503837,8,2710.06,180.12358474731445,"[8, 50, 180, True]",1
4196,5,54752,6560,61113,8,454,false,1473,true,361050,56961,7657,true,44221,12916,35217,726,35255,1,2704.31,180.12589240074158,"[8, 50, 180, True]",1
4196,5,13650,22313,3656,128,454,false,1473,true,361050,56961,7657,true,44221,11719,1094,726,421658,6,2703.15,180.12493586540222,"[8, 50, 180, True]",1
17101,40,41371,16293,58174,8,457,false,30757,false,153065,31459,77109,true,50558,54220,31674,989,432507,10,2701.13,180.12230515480042,"[8, 50, 180, True]",1
1159,5,54752,41427,61113,17,457,false,45287,false,57270,2259,7657,true,55564,12916,60486,946,35255,1,2700.45,180.11432671546936,"[8, 50, 180, True]",1
4196,5,54752,22313,62297,8,454,false,1473,true,361050,56961,7657,true,44221,12916,1094,726,35255,1,2692.13,180.11616849899292,"[8, 50, 180, True]",1
30,783,3662,31412,80327,136,274,true,55565,false,62765,40340,33526,true,17989,42089,38824,643,309608,7,2691.42,180.1157763004303,"[8, 50, 180, True]",1
1159,587,59366,41427,61113,17,457,false,45287,false,57270,2259,71389,true,55564,12916,60486,946,264478,1,2685.72,180.10391879081726,"[8, 50, 180, True]",1
4196,5,54877,41427,61113,8,454,false,1473,true,361050,56961,7657,true,44221,11719,1094,946,421658,6,2685.16,180.09263515472412,"[8, 50, 180, True]",1
14091,5,13650,40852,3656,128,96,false,1473,true,361050,56961,7657,true,37435,36045,1094,726,32210,10,2680.9,180.11402297019958,"[8, 50, 180, True]",1
1159,40,41371,16293,61113,8,382,false,53964,false,57270,38109,77109,true,50558,12916,60486,989,264478,1,2674.3,180.12448024749756,"[8, 50, 180, True]",1
1159,5,59366,22313,61113,17,257,false,45287,false,57270,56961,71389,true,44221,12916,35217,726,264478,1,2665.2,180.11635780334473,"[8, 50, 180, True]",1
446,659,29134,25634,63544,3,418,false,32307,false,63676,59437,60961,false,15688,24807,14571,210,523697,10,2664.98,180.11814165115356,"[8, 50, 180, True]",1
17101,40,7560,16293,58174,77,454,false,36775,false,153065,31459,77109,true,44221,11719,54775,178,432507,10,2664.63,180.107919216156,"[8, 50, 180, True]",1
4945,136,8247,3682,7180,131,94,true,804,false,49002,15419,21553,false,15887,57916,12242,348,507474,3,2664.01,180.12274026870728,"[8, 50, 180, True]",1
1159,5,59366,22313,61113,17,257,false,45287,false,57270,56961,71389,true,44221,12916,35217,726,264478,1,2661.91,180.10673928260803,"[8, 50, 180, True]",1
4196,40,13650,22313,61113,8,382,false,53964,true,271220,56961,7657,true,44221,12916,60486,989,35255,1,2659.63,180.12403273582458,"[8, 50, 180, True]",1
15005,319,54761,44045,69225,66,218,false,24319,false,342292,43242,71642,true,33724,24724,42944,252,215526,8,2658.15,180.10910940170288,"[8, 50, 180, True]",1
