maxThreads,acceptCount,connectionTimeout,keepAliveTimeout,maxConnections,minSpareThreads,processorCache,enableLookups,asyncTimeout,disableUploadTimeout,connectionUploadTimeout,executorTerminationTimeoutMillis,compressionMinSize,tcpNoDelay,maxHttpHeaderSize,maxHttpRequestHeaderSize,maxHttpResponseHeaderSize,maxKeepAliveRequests,threadsMaxIdleTime,threadPriority,RPS,evaluated_time,fidelity_setting,corr
10979,1,55263,31808,73201,368,93,true,46345,true,340237,57725,42576,true,18568,65269,55314,347,561234,9,2582.97,41.18290710449219,"[6, 30, 20, False]",0
5020,1,55263,31808,73201,368,170,true,29462,true,593095,23375,42576,false,18568,39891,63286,347,16704,8,2578.68,41.173991441726685,"[6, 30, 20, False]",0
17403,1,30062,49767,67774,14,170,false,29462,true,579438,37055,44307,false,4969,39891,63286,252,16704,2,2550.23,41.150424003601074,"[6, 30, 20, False]",0
17403,984,26665,49767,67774,14,90,false,36909,true,342,37055,44307,true,4969,35726,15067,252,186074,1,1547.71,20.077064752578735,"[6, 30, 20, False]",0
15475,623,30255,39386,37718,143,198,true,34633,false,434842,51555,46095,true,40332,54795,14867,493,501165,1,1540.45,20.075031757354736,"[6, 30, 20, False]",0
9453,511,12032,46264,67774,14,93,false,46345,true,342,2565,44307,true,34564,65269,15067,334,561234,9,1532.13,20.07834792137146,"[6, 30, 20, False]",0
15475,623,30255,46264,89683,28,198,true,31348,false,340237,41945,46095,true,37451,49011,14867,996,561234,1,1514.08,20.081727981567383,"[6, 30, 20, False]",0
10979,1,55263,31808,32329,14,90,false,46345,true,340237,37055,44307,true,18568,9962,55314,347,186074,9,1513.76,20.092977285385132,"[6, 30, 20, False]",0
10979,47,32398,46264,89683,28,449,true,31348,false,340237,2565,16606,true,37451,49011,12488,996,561234,9,1510.21,20.06922459602356,"[6, 30, 20, False]",0
10979,47,13424,18532,89683,72,90,true,36909,false,340237,37055,16606,false,36288,35726,55314,252,478726,2,1497.2,20.084014177322388,"[6, 30, 20, False]",0
17403,984,26665,49767,67774,14,90,false,1560,true,579438,37055,44307,true,4969,9962,15067,252,186074,2,1484.37,20.07867670059204,"[6, 30, 20, False]",0
10979,984,26665,31808,73201,14,90,true,46345,true,429604,37055,44307,true,4969,65269,15067,252,561234,9,1482.04,20.077394723892212,"[6, 30, 20, False]",0
2311,871,12032,49767,52333,138,94,false,49519,true,579438,36277,48397,false,4969,65269,55314,405,9169,3,1480.95,20.080957174301147,"[6, 30, 20, False]",0
4710,623,30255,39386,15185,143,198,true,33767,false,434842,38732,46095,true,21701,54795,23709,759,501165,7,1479.43,20.072396993637085,"[6, 30, 20, False]",0
15894,580,26665,34341,37120,61,93,true,44590,false,293318,24300,94443,true,34564,9962,5706,334,186074,9,1478.88,20.086446285247803,"[6, 30, 20, False]",0
14321,578,12032,57612,61113,72,93,true,8734,false,593095,24300,81180,false,55876,65440,44534,334,317316,9,1475.22,20.06987190246582,"[6, 30, 20, False]",0
9453,984,13424,18532,67774,14,90,false,36909,true,342,37055,44307,false,36288,35726,15067,252,478726,2,1475.04,20.082498788833618,"[6, 30, 20, False]",0
15894,471,12032,34341,52333,72,93,true,46345,false,293318,24300,48397,false,34564,65269,55314,334,9169,9,1474.23,20.074201345443726,"[6, 30, 20, False]",0
10979,47,12032,46264,89683,72,93,true,46345,false,340237,2565,16606,true,34564,65269,55314,334,561234,9,1473.75,20.0727596282959,"[6, 30, 20, False]",0
18282,166,57791,59248,17517,455,476,true,48924,false,576101,36126,34920,false,24284,29174,64459,922,190652,1,1472.66,20.08730411529541,"[6, 30, 20, False]",0
