maxThreads,acceptCount,connectionTimeout,keepAliveTimeout,maxConnections,minSpareThreads,processorCache,enableLookups,asyncTimeout,disableUploadTimeout,connectionUploadTimeout,executorTerminationTimeoutMillis,compressionMinSize,tcpNoDelay,maxHttpHeaderSize,maxHttpRequestHeaderSize,maxHttpResponseHeaderSize,maxKeepAliveRequests,threadsMaxIdleTime,threadPriority,RPS,cost,fidelity
5457,482,37656,21071,48088,212,251,false,2071,true,110660,56917,12791,true,14656,33635,55230,565,335052,9,2665.77,180.13744187355042,"[8, 50, 180, True]"
1631,14,45603,47437,74989,348,350,false,34798,false,417881,683,50779,true,9648,9785,19493,776,206816,8,2670.37,180.11761116981506,"[8, 50, 180, True]"
12280,803,48593,53868,80940,372,16,true,19009,false,577816,51756,32118,false,20235,47885,31928,356,78065,7,2706.36,180.113995552063,"[8, 50, 180, True]"
19886,637,20742,31028,18641,480,169,true,57498,false,10747,36417,68025,false,48422,5576,11306,870,376825,1,2689.63,180.1045458316803,"[8, 50, 180, True]"
15816,312,33852,36603,9534,32,127,true,29308,true,157406,12564,20146,true,52527,61790,34318,625,452329,3,2686.73,180.12695121765137,"[8, 50, 180, True]"
10509,523,26158,56412,92926,260,371,false,40899,false,285933,42482,90974,false,38874,45165,1007,106,25872,6,2692.04,180.12776017189026,"[8, 50, 180, True]"
16044,292,56427,25901,33300,125,440,false,9816,false,323682,21288,42219,false,65144,58176,43873,265,534217,10,2678.27,180.1297962665558,"[8, 50, 180, True]"
2278,164,12834,11727,64866,68,211,false,13926,true,428664,32644,75933,true,4209,13669,61531,458,578693,4,2722.14,180.08410024642944,"[8, 50, 180, True]"
8302,962,8253,16592,27623,401,497,true,46872,true,481173,29133,83313,false,28337,22704,20213,15,176651,2,2400.52,180.1157989501953,"[8, 50, 180, True]"
6349,787,223,651,52569,189,86,true,50865,true,209532,10664,4012,true,43448,32359,47510,926,295287,5,2675.79,180.119460105896,"[8, 50, 180, True]"
5457,482,37656,21071,48088,212,251,false,2071,true,110660,56917,12791,true,14656,33635,55230,565,335052,9,2107.05,50.11015462875366,"[8, 35, 50, True]"
1631,14,45603,47437,74989,348,350,false,34798,false,417881,683,50779,true,9648,9785,19493,776,206816,8,2155.33,50.121695041656494,"[8, 35, 50, True]"
12280,803,48593,53868,80940,372,16,true,19009,false,577816,51756,32118,false,20235,47885,31928,356,78065,7,2024.84,50.11571192741394,"[8, 35, 50, True]"
19886,637,20742,31028,18641,480,169,true,57498,false,10747,36417,68025,false,48422,5576,11306,870,376825,1,2065.45,50.12181282043457,"[8, 35, 50, True]"
15816,312,33852,36603,9534,32,127,true,29308,true,157406,12564,20146,true,52527,61790,34318,625,452329,3,2075.27,50.11603856086731,"[8, 35, 50, True]"
10509,523,26158,56412,92926,260,371,false,40899,false,285933,42482,90974,false,38874,45165,1007,106,25872,6,2169.69,50.12334632873535,"[8, 35, 50, True]"
16044,292,56427,25901,33300,125,440,false,9816,false,323682,21288,42219,false,65144,58176,43873,265,534217,10,2143.3,50.12711048126221,"[8, 35, 50, True]"
2278,164,12834,11727,64866,68,211,false,13926,true,428664,32644,75933,true,4209,13669,61531,458,578693,4,2251.47,50.116596698760986,"[8, 35, 50, True]"
8302,962,8253,16592,27623,401,497,true,46872,true,481173,29133,83313,false,28337,22704,20213,15,176651,2,1769.44,50.11145234107971,"[8, 35, 50, True]"
6349,787,223,651,52569,189,86,true,50865,true,209532,10664,4012,true,43448,32359,47510,926,295287,5,2293.43,50.11919140815735,"[8, 35, 50, True]"
5457,482,37656,21071,48088,212,251,false,2071,true,110660,56917,12791,true,14656,33635,55230,565,335052,9,1204.96,15.072063446044922,"[8, 40, 15, True]"
1631,14,45603,47437,74989,348,350,false,34798,false,417881,683,50779,true,9648,9785,19493,776,206816,8,1101.85,15.062495946884155,"[8, 40, 15, True]"
12280,803,48593,53868,80940,372,16,true,19009,false,577816,51756,32118,false,20235,47885,31928,356,78065,7,1046.8,15.071919918060303,"[8, 40, 15, True]"
