maxThreads,acceptCount,connectionTimeout,keepAliveTimeout,maxConnections,minSpareThreads,processorCache,enableLookups,asyncTimeout,disableUploadTimeout,connectionUploadTimeout,executorTerminationTimeoutMillis,compressionMinSize,tcpNoDelay,maxHttpHeaderSize,maxHttpRequestHeaderSize,maxHttpResponseHeaderSize,maxKeepAliveRequests,threadsMaxIdleTime,threadPriority,RPS,evaluated_time,fidelity_setting,corr
8520,95,20366,27983,9371,178,105,true,34583,true,178419,43651,6205,false,12264,58848,13228,941,462362,7,1008.72,10.067224979400635,"[8, 50, 10, True]",0.6606060606060605
11681,901,20366,27983,9371,255,23,false,4303,true,542213,32504,6205,true,8222,58848,24880,66,462362,7,983.59,10.06138801574707,"[8, 50, 10, True]",0.6606060606060605
11681,901,21568,44181,27783,255,451,false,34583,true,570003,33401,78636,true,25684,28437,24880,710,597000,7,971.04,10.066346645355225,"[8, 50, 10, True]",0.6606060606060605
11681,95,20366,44181,9371,178,105,true,34583,true,542213,43651,78636,false,12264,52351,13228,66,462362,7,968.36,10.058071374893188,"[8, 50, 10, True]",0.6606060606060605
8520,901,13105,36289,27783,255,226,true,4303,true,323393,8691,30798,true,21920,58848,5210,955,597000,7,963.84,10.058680534362793,"[8, 50, 10, True]",0.6606060606060605
8520,95,13105,44181,9371,255,105,true,45275,true,178419,43651,6205,true,12264,52351,13228,955,462362,7,954.51,10.05863618850708,"[8, 50, 10, True]",0.6606060606060605
11681,66,21568,45743,15993,378,451,true,7739,true,570003,33401,78636,true,25684,33706,2970,710,152322,5,948.79,10.054538011550903,"[8, 50, 10, True]",0.6606060606060605
11681,95,20366,27983,9371,178,105,false,34583,true,542213,43651,78636,false,12264,52351,13228,941,462362,7,937.32,10.05652403831482,"[8, 50, 10, True]",0.6606060606060605
10257,901,13105,44181,27783,255,451,true,4303,true,178419,43651,6205,true,8222,58848,5210,710,597000,7,936.7,10.066887140274048,"[8, 50, 10, True]",0.6606060606060605
11681,66,13105,45743,27783,255,226,true,7739,true,570003,35940,30798,true,21920,33706,2970,955,597000,5,935.79,10.053472518920898,"[8, 50, 10, True]",0.6606060606060605
8520,901,13105,36289,27783,255,451,true,4303,true,178419,43651,6205,true,8222,58848,5210,710,597000,7,933.88,10.060595512390137,"[8, 50, 10, True]",0.6606060606060605
11681,901,13105,44181,27783,255,451,true,45275,true,178419,43651,6205,true,21920,28437,5210,710,597000,7,932.42,10.055661678314209,"[8, 50, 10, True]",0.6606060606060605
8520,901,13105,27983,27783,255,419,true,45275,true,178419,43651,6205,true,21920,58848,5210,955,597000,7,931.6,10.053459405899048,"[8, 50, 10, True]",0.6606060606060605
9336,901,13105,27983,27783,255,23,false,4303,true,178419,43651,6205,true,8222,58848,24880,411,597000,7,931.44,10.063946008682251,"[8, 50, 10, True]",0.6606060606060605
8520,901,13105,36289,27783,255,226,true,4303,true,323393,43651,30798,true,21920,58848,5210,955,597000,7,930.53,10.053760528564453,"[8, 50, 10, True]",0.6606060606060605
8520,901,13105,44181,27783,255,451,true,45275,true,323393,43651,30798,true,21920,58848,5210,710,597000,5,927.87,10.06470537185669,"[8, 50, 10, True]",0.6606060606060605
11681,901,13105,44181,27783,255,273,false,34583,false,542213,28803,78636,true,8222,28437,24880,66,597000,7,926.37,10.054409503936768,"[8, 50, 10, True]",0.6606060606060605
8520,901,13105,36289,27783,255,226,true,4303,true,323393,43651,30798,true,21920,58848,7073,955,597000,7,925.99,10.057104587554932,"[8, 50, 10, True]",0.6606060606060605
8520,95,13105,27983,9371,178,105,true,34583,true,178419,43651,6205,true,12264,52351,13228,941,462362,7,924.76,10.060933113098145,"[8, 50, 10, True]",0.6606060606060605
9336,787,13105,27983,27783,255,23,false,4303,true,178419,43651,6205,true,8222,58848,24880,411,597000,7,923.6,10.061879873275757,"[8, 50, 10, True]",0.6606060606060605
