threads,connections,duration,post,spearman_corr,evaluated_time,front_level
8,50,10,True,0.7575757575757575,10.053695940971375,0
4,35,10,True,-0.1515151515151515,10.05402638912201,1
10,40,10,True,0.6363636363636362,10.054162240028381,1
8,35,55,True,0.6848484848484848,55.1233366727829,1
8,35,10,True,0.406060606060606,10.055340600013732,2
8,35,25,True,0.41818181818181815,25.086179399490355,2
8,45,55,True,0.49090909090909085,55.1267370223999,2
8,30,20,True,-0.10303030303030303,20.075091791152953,3
4,40,55,True,0.406060606060606,55.09778184890747,3
8,35,35,True,0.3939393939393939,35.10284259319305,3
