maxThreads,acceptCount,connectionTimeout,keepAliveTimeout,maxConnections,minSpareThreads,processorCache,enableLookups,asyncTimeout,disableUploadTimeout,connectionUploadTimeout,executorTerminationTimeoutMillis,compressionMinSize,tcpNoDelay,maxHttpHeaderSize,maxHttpRequestHeaderSize,maxHttpResponseHeaderSize,maxKeepAliveRequests,threadsMaxIdleTime,threadPriority,RPS,cost,fidelity
312,857,37374,53299,95679,382,228,true,51076,false,65888,28186,86799,false,101,1007,28580,945,599223,10,2719.59,180.13369512557983,"[8, 50, 180, True]"
14190,360,994,41882,20085,123,494,false,9399,true,345580,45495,52988,true,40819,23964,64729,576,224293,6,2698.86,180.11300206184387,"[8, 50, 180, True]"
8976,448,16396,1169,66019,47,430,true,40171,false,250822,49555,70173,false,10620,34235,40864,451,475441,9,2744.35,180.08796572685242,"[8, 50, 180, True]"
18465,921,31260,57940,44683,159,331,false,57226,false,552295,34598,65740,true,56668,62584,46062,300,11324,8,2750.82,180.10132336616516,"[8, 50, 180, True]"
5239,684,49747,9135,12840,310,92,true,25845,false,506762,199,18394,true,13939,45967,11358,33,148889,5,2623.33,180.11179566383362,"[8, 50, 180, True]"
2032,185,54942,30202,54494,53,3,true,42352,true,184422,20053,8174,true,23604,32556,55673,131,311681,1,2558.15,180.129252910614,"[8, 50, 180, True]"
12201,228,27434,29081,36956,250,192,false,2773,true,130707,36829,26141,true,35106,7359,18073,729,267247,4,2722.91,180.09806990623474,"[8, 50, 180, True]"
10512,596,22099,18443,4589,443,379,false,35443,false,403773,10632,93458,false,59876,43004,5814,821,66510,7,2659.31,180.10825037956238,"[8, 50, 180, True]"
6154,23,10988,13404,83706,290,115,true,20243,true,442745,56127,40482,false,29299,18085,38272,307,407705,2,2697.76,180.08621978759766,"[8, 50, 180, True]"
17983,778,42071,45824,72991,491,278,false,15756,true,31721,16287,33662,false,46913,55408,26042,662,536785,3,2704.77,180.13128662109375,"[8, 50, 180, True]"
312,857,37374,53299,95679,382,228,true,51076,false,65888,28186,86799,false,101,1007,28580,945,599223,10,2221.03,60.11915683746338,"[8, 45, 60, True]"
14190,360,994,41882,20085,123,494,false,9399,true,345580,45495,52988,true,40819,23964,64729,576,224293,6,2259.42,60.1226544380188,"[8, 45, 60, True]"
8976,448,16396,1169,66019,47,430,true,40171,false,250822,49555,70173,false,10620,34235,40864,451,475441,9,2288.02,60.12616944313049,"[8, 45, 60, True]"
18465,921,31260,57940,44683,159,331,false,57226,false,552295,34598,65740,true,56668,62584,46062,300,11324,8,2244.45,60.127378702163696,"[8, 45, 60, True]"
5239,684,49747,9135,12840,310,92,true,25845,false,506762,199,18394,true,13939,45967,11358,33,148889,5,2131.5,60.06430649757385,"[8, 45, 60, True]"
2032,185,54942,30202,54494,53,3,true,42352,true,184422,20053,8174,true,23604,32556,55673,131,311681,1,2011.67,60.12921094894409,"[8, 45, 60, True]"
12201,228,27434,29081,36956,250,192,false,2773,true,130707,36829,26141,true,35106,7359,18073,729,267247,4,2224.41,60.12129807472229,"[8, 45, 60, True]"
10512,596,22099,18443,4589,443,379,false,35443,false,403773,10632,93458,false,59876,43004,5814,821,66510,7,2074.34,60.12948155403137,"[8, 45, 60, True]"
6154,23,10988,13404,83706,290,115,true,20243,true,442745,56127,40482,false,29299,18085,38272,307,407705,2,2225.97,60.1246771812439,"[8, 45, 60, True]"
17983,778,42071,45824,72991,491,278,false,15756,true,31721,16287,33662,false,46913,55408,26042,662,536785,3,2209.6,60.12297344207764,"[8, 45, 60, True]"
