maxThreads,acceptCount,connectionTimeout,keepAliveTimeout,maxConnections,minSpareThreads,processorCache,enableLookups,asyncTimeout,disableUploadTimeout,connectionUploadTimeout,executorTerminationTimeoutMillis,compressionMinSize,tcpNoDelay,maxHttpHeaderSize,maxHttpRequestHeaderSize,maxHttpResponseHeaderSize,maxKeepAliveRequests,threadsMaxIdleTime,threadPriority,RPS,evaluated_time,fidelity_setting,corr
19606,692,30727,50209,47682,69,444,false,21307,false,237184,54828,87438,true,32865,34765,41140,455,189247,2,2784.66,180.11439561843872,"[8, 50, 180, True]",1
11475,580,52572,50209,74240,61,34,false,44590,false,557260,5703,73377,true,54583,53327,50917,455,189247,1,2757.97,180.12635040283203,"[8, 50, 180, True]",1
11361,693,6545,50209,43909,27,424,false,3609,false,557260,5703,6197,true,54583,43742,41140,455,189247,1,2742.47,180.10912537574768,"[8, 50, 180, True]",1
477,192,18841,9132,22347,75,147,false,18575,true,12745,38037,61936,true,10924,5274,14335,27,332290,5,2737.07,180.11927604675293,"[8, 50, 180, True]",1
6458,848,51114,3989,46273,18,377,false,19047,false,76743,57617,66231,false,28186,58978,26714,927,564593,9,2723.77,180.1236608028412,"[8, 50, 180, True]",1
16769,885,9321,33928,32999,35,264,false,32670,false,550743,15539,89778,false,43758,59911,44966,107,596573,2,2703.77,180.12568712234497,"[8, 50, 180, True]",1
17417,87,51114,36593,86065,18,377,true,19047,true,31518,24770,66231,false,7364,16212,8290,292,564593,9,2701.09,180.08624958992004,"[8, 50, 180, True]",1
19606,848,1988,3989,47682,21,195,false,21307,true,76743,54828,62164,true,32865,34765,41140,927,189247,3,2700.17,180.10459923744202,"[8, 50, 180, True]",1
11361,693,6545,16537,47682,69,444,false,31196,false,237184,5703,6197,true,8115,34765,31178,216,189247,10,2694.14,180.12480449676514,"[8, 50, 180, True]",1
15712,692,6545,51907,13228,27,444,false,28241,true,287964,15930,42083,true,8115,13518,41140,773,92453,10,2694.07,180.10822343826294,"[8, 50, 180, True]",1
6458,848,1988,3989,46273,21,195,false,52654,true,76743,46004,62164,true,28186,58978,26714,927,71535,9,2692.78,180.11899423599243,"[8, 50, 180, True]",1
6458,848,51114,3989,47682,18,377,false,19047,false,237184,34541,6197,false,32865,1597,41140,927,564593,9,2692.69,180.11121916770935,"[8, 50, 180, True]",1
11361,613,31462,51907,86821,78,444,false,31196,false,394550,35872,13857,false,8115,34765,2944,216,357037,10,2692.11,180.13049340248108,"[8, 50, 180, True]",1
11361,693,6545,50209,43909,87,424,false,56360,false,523774,10453,56335,true,54583,2510,45855,143,354709,8,2691.05,180.12379002571106,"[8, 50, 180, True]",1
9267,652,21310,49080,4627,221,447,false,48193,true,72139,2677,90278,false,29654,16500,4601,365,216305,1,2688.91,180.11461877822876,"[8, 50, 180, True]",1
19606,692,30727,50209,47682,27,444,false,21307,false,557260,54828,87438,true,54583,43742,41140,455,189247,1,2688.3,180.11893391609192,"[8, 50, 180, True]",1
6458,885,51114,3989,46273,18,377,false,19047,false,76743,15539,66231,false,43758,59911,44966,927,596573,9,2687.98,180.131272315979,"[8, 50, 180, True]",1
11475,692,6545,50209,47682,27,34,false,44590,false,557260,5703,87438,true,12973,43742,41140,617,249384,2,2686.76,180.12576580047607,"[8, 50, 180, True]",1
11361,692,31462,51907,13228,78,444,false,31196,false,287964,15930,42083,true,8115,34765,41140,216,92453,2,2686.48,180.13507890701294,"[8, 50, 180, True]",1
11361,470,6545,50209,30039,8,378,false,56360,false,523774,15724,56335,true,184,18889,37835,143,111204,3,2684.95,180.11850118637085,"[8, 50, 180, True]",1
