maxThreads,acceptCount,connectionTimeout,keepAliveTimeout,maxConnections,minSpareThreads,processorCache,enableLookups,asyncTimeout,disableUploadTimeout,connectionUploadTimeout,executorTerminationTimeoutMillis,compressionMinSize,tcpNoDelay,maxHttpHeaderSize,maxHttpRequestHeaderSize,maxHttpResponseHeaderSize,maxKeepAliveRequests,threadsMaxIdleTime,threadPriority,RPS,evaluated_time,fidelity_setting,corr
19606,692,27201,22730,47682,69,466,false,21307,true,237184,37247,87438,false,55688,31357,63546,617,249384,2,1930.4,35.108911991119385,"[8, 35, 35, True]",0.5393939393939393
11475,580,52572,50209,74240,61,34,false,44590,false,557260,5703,73377,true,54583,53327,50917,455,189247,1,1929.5,35.092941761016846,"[8, 35, 35, True]",0.5393939393939393
11361,994,6545,28719,95819,42,444,false,3896,true,116557,41945,42083,true,60587,22936,41140,357,59164,10,1920.9,35.10018062591553,"[8, 35, 35, True]",0.5393939393939393
11361,613,31462,51907,86821,78,444,false,31196,false,394550,35872,13857,false,8115,34765,2944,216,357037,10,1871.19,35.111530780792236,"[8, 35, 35, True]",0.5393939393939393
11361,994,6545,51907,43909,174,444,false,28241,false,287964,32993,42083,false,8115,34765,41140,651,357037,10,1869.49,35.097851276397705,"[8, 35, 35, True]",0.5393939393939393
110,909,10382,28719,95819,42,111,false,3896,true,116557,32175,83130,true,60587,22936,54529,357,59164,2,1854.87,35.1103675365448,"[8, 35, 35, True]",0.5393939393939393
11475,873,30246,50209,84724,116,34,false,48924,false,557260,5703,936,false,54583,8399,52881,455,511522,1,1838.61,35.09683179855347,"[8, 35, 35, True]",0.5393939393939393
11361,693,11901,3541,43909,401,444,false,50736,false,287964,32993,43751,false,36356,37006,41140,651,592005,10,1834.29,35.11863160133362,"[8, 35, 35, True]",0.5393939393939393
15712,259,48050,7195,13228,77,484,true,48654,true,526132,15930,40638,false,49503,40772,39528,773,92453,2,1831.91,35.10968375205994,"[8, 35, 35, True]",0.5393939393939393
11508,994,6545,13586,43909,174,415,false,28241,true,287964,32993,42083,false,43585,19336,41140,651,81265,6,1829.6,35.104706048965454,"[8, 35, 35, True]",0.5393939393939393
15712,692,33092,41843,57510,27,424,true,50294,false,526132,20878,6197,true,6539,43455,54528,506,92453,5,1828.61,35.10121750831604,"[8, 35, 35, True]",0.5393939393939393
16008,871,30246,41783,84724,22,39,true,22294,true,253077,47678,936,false,23532,8399,52881,499,511522,10,1826.01,35.10597586631775,"[8, 35, 35, True]",0.5393939393939393
16008,282,52572,41783,74240,22,39,true,22294,true,253077,47678,73377,true,23532,53327,50917,499,189247,10,1822.3,35.10649633407593,"[8, 35, 35, True]",0.5393939393939393
110,909,52572,28719,95819,22,39,true,22294,true,116557,32175,83130,true,23532,53327,50917,499,59164,2,1818.89,35.10274052619934,"[8, 35, 35, True]",0.5393939393939393
17403,909,52572,41783,95819,42,111,false,1560,true,253077,32175,83130,true,23532,53327,54529,357,189247,2,1818.33,35.10575532913208,"[8, 35, 35, True]",0.5393939393939393
11361,693,11901,28719,95819,18,394,false,50736,true,116557,41945,42083,false,60587,37006,41140,222,592005,10,1816.43,35.09700155258179,"[8, 35, 35, True]",0.5393939393939393
19606,815,27201,20937,47682,258,466,false,49277,true,481734,37247,50243,true,203,31357,63546,975,41789,2,1815.11,35.11268496513367,"[8, 35, 35, True]",0.5393939393939393
11508,613,31462,13586,86821,78,415,false,31196,true,394550,35872,13857,false,43585,19336,2944,216,81265,6,1811.35,35.11408185958862,"[8, 35, 35, True]",0.5393939393939393
11902,692,33092,41843,57510,27,424,true,50294,true,415560,20878,6197,true,6539,43742,42901,506,486374,1,1811.13,35.11424422264099,"[8, 35, 35, True]",0.5393939393939393
11902,873,30246,50209,84724,27,424,true,50294,true,557260,5703,936,true,6539,43742,52881,506,511522,1,1809.16,35.0970823764801,"[8, 35, 35, True]",0.5393939393939393
