maxThreads,acceptCount,connectionTimeout,keepAliveTimeout,maxConnections,minSpareThreads,processorCache,enableLookups,asyncTimeout,disableUploadTimeout,connectionUploadTimeout,executorTerminationTimeoutMillis,compressionMinSize,tcpNoDelay,maxHttpHeaderSize,maxHttpRequestHeaderSize,maxHttpResponseHeaderSize,maxKeepAliveRequests,threadsMaxIdleTime,threadPriority,RPS,cost,fidelity
1591,899,57215,38980,79198,29,236,true,39356,true,299441,1191,20639,true,5499,7846,3129,168,440189,9,2627.54,180.1223177909851,"[8, 50, 180, True]"
12873,290,33033,54911,52009,480,15,false,25977,false,502431,53835,61429,true,15278,23559,14936,568,518587,6,2618.46,180.11653661727905,"[8, 50, 180, True]"
3481,848,50994,31753,22875,230,323,false,12687,false,592204,40223,89705,false,53636,14246,19471,299,156723,8,2611.68,180.1129024028778,"[8, 50, 180, True]"
16315,49,7513,22752,1849,81,288,false,52183,true,62267,32621,38146,true,63222,53013,32229,664,262464,3,2637.02,180.11784386634827,"[8, 50, 180, True]"
10400,703,3956,49128,34463,285,91,true,55493,false,136224,49414,11154,true,32593,33356,62679,6,97780,7,2281.21,180.11903309822083,"[8, 50, 180, True]"
6746,241,28245,20296,69732,407,176,true,30756,false,172766,19062,81998,false,47831,44823,33118,853,343268,1,2608.88,180.10146069526672,"[8, 50, 180, True]"
18099,512,18663,6376,37581,373,443,false,2538,true,348473,25508,67933,false,20648,28562,43189,921,68181,2,2639.86,180.10919547080994,"[8, 50, 180, True]"
8510,393,42343,14536,91876,188,397,true,18535,true,403012,10609,37418,false,35060,62839,52253,381,547710,4,2640.88,180.1041295528412,"[8, 50, 180, True]"
8132,455,45424,19956,88063,150,326,false,16343,true,421958,16428,27350,true,47805,59703,60155,514,534131,4,2687.95,180.09710335731506,"[8, 50, 180, True]"
7507,407,34875,9715,81035,127,373,true,24037,false,479212,1285,30899,false,42414,60540,57390,346,532944,4,2615.32,180.11353182792664,"[8, 50, 180, True]"
9390,467,36271,14271,91833,211,419,false,20792,false,363609,8603,32715,false,45154,54013,51699,330,546247,5,2628.36,180.09594106674194,"[8, 50, 180, True]"
8059,352,43816,13160,82611,184,354,true,22489,true,371097,5143,24688,true,34721,58224,46354,554,540506,5,2638.07,180.12333703041077,"[8, 50, 180, True]"
8942,338,38038,15421,90239,160,438,true,15609,false,426778,14542,26323,false,34293,54759,50107,483,524882,3,2632.62,180.12071466445923,"[8, 50, 180, True]"
10073,374,41250,17208,86052,227,406,false,24792,true,455457,10368,38074,true,40856,62727,54295,433,518782,6,2602.6,180.12121415138245,"[8, 50, 180, True]"
7188,293,48190,6435,79756,82,344,false,18131,false,395626,6314,22458,true,37058,57082,45547,453,537323,4,2630.65,180.08740758895874,"[8, 50, 180, True]"
9705,496,50359,10319,84706,102,395,true,14294,true,486868,18497,35216,false,39179,55919,60345,397,526695,5,2605.63,180.11379027366638,"[8, 50, 180, True]"
7742,511,49013,15816,88215,91,352,false,15253,true,487064,14237,21971,false,36189,56298,56187,535,540520,5,2638.54,180.0881564617157,"[8, 50, 180, True]"
7148,492,47936,15251,82808,149,368,true,17315,true,425341,11883,23290,true,43388,58217,53085,559,524411,3,2652.12,180.10856199264526,"[8, 50, 180, True]"
