maxThreads,acceptCount,connectionTimeout,keepAliveTimeout,maxConnections,minSpareThreads,processorCache,enableLookups,asyncTimeout,disableUploadTimeout,connectionUploadTimeout,executorTerminationTimeoutMillis,compressionMinSize,tcpNoDelay,maxHttpHeaderSize,maxHttpRequestHeaderSize,maxHttpResponseHeaderSize,maxKeepAliveRequests,threadsMaxIdleTime,threadPriority,RPS,cost,fidelity
13263,977,819,36280,30648,277,10,true,46494,true,63535,56280,75740,false,33246,52386,56075,890,135730,6,721.24,10.086647510528564,"[8, 50, 10, True]"
15043,516,35226,9838,74982,90,467,true,16630,false,523354,33125,60105,true,30007,24018,53977,403,379930,7,700.07,10.065511465072632,"[8, 50, 10, True]"
18822,193,44225,19342,23486,420,190,false,53745,false,185323,33043,30958,true,63915,28004,36014,202,332601,4,776.14,10.064548969268799,"[8, 50, 10, True]"
15976,843,16036,3323,69283,196,131,false,9637,true,45824,56079,89498,true,42658,3270,47503,44,172785,3,905.35,10.070589065551758,"[8, 50, 10, True]"
17900,95,3484,54264,21673,407,359,false,15914,true,158927,32895,72716,false,27213,13919,30889,60,357657,10,764.67,10.056492567062378,"[8, 50, 10, True]"
2605,663,37624,11652,86061,261,219,false,50271,false,370120,46677,50784,false,43281,43141,54288,669,25366,5,899.67,10.071427345275879,"[8, 50, 10, True]"
13917,878,19870,1793,42031,348,163,true,52928,false,321,52532,5980,true,11203,61254,3649,442,146517,1,834.0,10.07713270187378,"[8, 50, 10, True]"
18401,967,8008,14603,43230,227,392,true,52248,false,171371,22068,14353,true,55185,59771,39420,138,253715,1,843.72,10.073434352874756,"[8, 50, 10, True]"
75,842,13922,24777,66498,281,1,false,26602,false,543314,152,81216,false,57817,21159,45409,450,206615,8,740.98,10.06723928451538,"[8, 50, 10, True]"
19321,782,14118,12826,62510,313,161,false,23689,false,546147,55819,3240,false,8937,30522,35365,495,338472,9,826.47,10.062766790390015,"[8, 50, 10, True]"
8036,305,2738,20090,94586,252,189,true,39783,true,82140,13387,68459,false,8351,37030,47657,615,472923,10,864.83,10.061468362808228,"[8, 50, 10, True]"
6953,162,55432,38175,97614,16,41,true,43257,false,157318,47668,69083,true,50222,21368,6476,686,58631,8,729.05,10.063392400741577,"[8, 50, 10, True]"
5465,838,3422,9115,64462,424,14,false,59783,false,352571,16784,641,false,28456,26396,32049,64,153651,6,661.44,10.068472623825073,"[8, 50, 10, True]"
9089,3,29058,17476,89320,467,346,false,54021,false,206976,39252,15352,false,1402,53209,60498,27,323754,5,800.14,10.082558155059814,"[8, 50, 10, True]"
19188,51,14400,1281,61546,151,454,false,28871,false,333800,56081,8523,false,53910,31421,46827,469,386678,7,827.71,10.056328773498535,"[8, 50, 10, True]"
9498,748,34459,25396,86355,437,139,true,24610,false,346645,36080,60620,true,49760,14069,35441,814,141884,9,847.51,10.071545839309692,"[8, 50, 10, True]"
15976,843,16036,3323,69283,196,131,false,9637,true,45824,56079,89498,true,42658,3270,47503,44,172785,3,1149.15,20.09916353225708,"[8, 50, 20, True]"
2605,663,37624,11652,86061,261,219,false,50271,false,370120,46677,50784,false,43281,43141,54288,669,25366,5,1223.82,20.091153621673584,"[8, 50, 20, True]"
8036,305,2738,20090,94586,252,189,true,39783,true,82140,13387,68459,false,8351,37030,47657,615,472923,10,1300.09,20.08923888206482,"[8, 50, 20, True]"
9498,748,34459,25396,86355,437,139,true,24610,false,346645,36080,60620,true,49760,14069,35441,814,141884,9,1250.33,20.09758996963501,"[8, 50, 20, True]"
18401,967,8008,14603,43230,227,392,true,52248,false,171371,22068,14353,true,55185,59771,39420,138,253715,1,1154.86,20.085982084274292,"[8, 50, 20, True]"
13917,878,19870,1793,42031,348,163,true,52928,false,321,52532,5980,true,11203,61254,3649,442,146517,1,1227.54,20.095105171203613,"[8, 50, 20, True]"
19188,51,14400,1281,61546,151,454,false,28871,false,333800,56081,8523,false,53910,31421,46827,469,386678,7,1190.37,20.099474668502808,"[8, 50, 20, True]"
19321,782,14118,12826,62510,313,161,false,23689,false,546147,55819,3240,false,8937,30522,35365,495,338472,9,1198.71,20.099785804748535,"[8, 50, 20, True]"
8036,305,2738,20090,94586,252,189,true,39783,true,82140,13387,68459,false,8351,37030,47657,615,472923,10,1800.51,40.12853002548218,"[8, 50, 40, True]"
9498,748,34459,25396,86355,437,139,true,24610,false,346645,36080,60620,true,49760,14069,35441,814,141884,9,1783.79,40.12820839881897,"[8, 50, 40, True]"
13917,878,19870,1793,42031,348,163,true,52928,false,321,52532,5980,true,11203,61254,3649,442,146517,1,1826.46,40.12866830825806,"[8, 50, 40, True]"
2605,663,37624,11652,86061,261,219,false,50271,false,370120,46677,50784,false,43281,43141,54288,669,25366,5,1603.12,40.12918710708618,"[8, 50, 40, True]"
13917,878,19870,1793,42031,348,163,true,52928,false,321,52532,5980,true,11203,61254,3649,442,146517,1,2372.74,90.12777495384216,"[8, 50, 90, True]"
8036,305,2738,20090,94586,252,189,true,39783,true,82140,13387,68459,false,8351,37030,47657,615,472923,10,2391.69,90.13222050666809,"[8, 50, 90, True]"
8036,305,2738,20090,94586,252,189,true,39783,true,82140,13387,68459,false,8351,37030,47657,615,472923,10,2562.7,180.1199643611908,"[8, 50, 180, True]"
6354,803,47417,57838,78965,433,409,true,52539,true,177648,24014,42553,true,29791,22731,17707,773,452016,4,1167.8,20.097606658935547,"[8, 50, 20, True]"
6941,916,7646,18077,1312,265,199,true,16790,false,444040,26347,1327,false,17828,51308,2169,797,573285,7,1173.56,20.098317623138428,"[8, 50, 20, True]"
17994,503,57610,16716,1513,335,350,false,2608,false,474119,40156,27754,true,59275,62352,15888,954,269952,6,1241.33,20.095677375793457,"[8, 50, 20, True]"
13552,954,32279,41952,61774,74,263,false,54585,false,139083,53051,42674,false,8163,14866,55464,683,63317,8,1275.75,20.100287437438965,"[8, 50, 20, True]"
17797,641,23441,32678,69050,457,439,false,2921,true,141873,17947,74007,false,20196,60245,54979,774,264668,2,1211.48,20.09507441520691,"[8, 50, 20, True]"
