maxThreads,acceptCount,connectionTimeout,keepAliveTimeout,maxConnections,minSpareThreads,processorCache,enableLookups,asyncTimeout,disableUploadTimeout,connectionUploadTimeout,executorTerminationTimeoutMillis,compressionMinSize,tcpNoDelay,maxHttpHeaderSize,maxHttpRequestHeaderSize,maxHttpResponseHeaderSize,maxKeepAliveRequests,threadsMaxIdleTime,threadPriority,RPS,cost,fidelity
7742,771,42591,9582,21937,288,92,false,7001,true,409148,31856,7598,true,1252,8085,2033,858,334345,5,825.29,10.08035683631897,"[8, 50, 10, True]"
10090,84,28949,44520,85929,143,146,false,52433,true,457618,31051,85140,false,17113,52105,14613,513,396566,3,918.33,10.074497938156128,"[8, 50, 10, True]"
15523,237,32105,41500,8479,125,373,false,17539,true,573966,32679,12711,true,27746,26342,45868,484,74291,2,726.94,10.068089008331299,"[8, 50, 10, True]"
14707,619,9315,2283,70290,402,70,false,11591,false,351076,15024,78531,false,55375,46257,17612,316,334044,8,735.99,10.074293375015259,"[8, 50, 10, True]"
14997,223,10563,34498,53919,382,28,true,6176,true,125595,57481,84191,true,53507,22813,65083,941,565104,6,744.54,10.073237895965576,"[8, 50, 10, True]"
13466,106,18931,20945,45027,157,153,false,46386,false,16357,21063,68458,true,14091,11349,16301,959,297298,6,877.31,10.063676357269287,"[8, 50, 10, True]"
19828,162,26199,11217,66941,425,292,true,10378,true,36736,58753,99009,false,49391,13028,9478,197,284469,4,767.19,10.067193984985352,"[8, 50, 10, True]"
18958,935,40067,46778,91025,279,166,false,31838,false,130111,33513,27319,false,6738,35911,52167,173,445465,10,735.39,10.073932409286499,"[8, 50, 10, True]"
16562,190,49853,24379,87272,402,494,true,46460,true,203982,2630,61503,true,36709,37343,61569,894,586886,4,803.72,10.063711643218994,"[8, 50, 10, True]"
10995,772,36635,23165,8108,208,500,false,3647,true,120409,17066,87273,true,47370,23603,30278,332,141728,4,820.58,10.064360857009888,"[8, 50, 10, True]"
4355,920,8106,8578,75462,35,398,true,53077,true,80535,47668,3992,false,62881,17508,47188,995,164643,4,816.36,10.064820528030396,"[8, 50, 10, True]"
