maxThreads,acceptCount,connectionTimeout,keepAliveTimeout,maxConnections,minSpareThreads,processorCache,enableLookups,asyncTimeout,disableUploadTimeout,connectionUploadTimeout,executorTerminationTimeoutMillis,compressionMinSize,tcpNoDelay,maxHttpHeaderSize,maxHttpRequestHeaderSize,maxHttpResponseHeaderSize,maxKeepAliveRequests,threadsMaxIdleTime,threadPriority,RPS,cost,fidelity
7439,527,15831,16339,86495,185,397,true,12117,false,272408,33908,93253,true,33736,22628,7390,669,536438,4,2613.01,180.11915016174316,"[8, 50, 180, True]"
3375,945,11939,26965,147,330,174,false,44655,false,522093,47543,95904,true,43863,23905,2241,911,441553,2,2625.53,180.12480449676514,"[8, 50, 180, True]"
2776,523,12581,50694,50181,111,362,true,54446,true,113039,21680,76432,true,28510,64270,54179,470,439955,5,2642.14,180.092054605484,"[8, 50, 180, True]"
2532,725,21879,47534,62797,117,348,true,27539,false,5671,32174,98166,false,56082,42476,29111,50,598238,9,2630.27,180.11571669578552,"[8, 50, 180, True]"
7904,842,13807,47144,73415,408,286,false,20772,true,370269,28617,95261,false,40281,40835,37914,907,513089,6,2650.21,180.1132423877716,"[8, 50, 180, True]"
2045,38,6269,54234,53232,296,397,true,26443,true,586493,52676,30260,true,6338,24208,27215,130,103315,10,2649.3,180.11994695663452,"[8, 50, 180, True]"
2541,640,2208,52719,64163,236,118,true,24418,true,110652,1677,71214,true,37768,63239,46600,461,394852,5,2648.75,180.12334942817688,"[8, 50, 180, True]"
13166,582,29127,51331,94200,402,411,true,44662,false,353529,4782,65542,true,12315,48693,9671,572,306318,3,2551.09,180.08697319030762,"[8, 50, 180, True]"
16372,19,48512,6893,88995,159,33,true,1465,true,396776,23498,33314,true,47210,35326,42479,663,481599,4,2683.02,180.1230444908142,"[8, 50, 180, True]"
15082,466,5073,48137,85488,102,407,false,19143,false,173094,33469,59732,true,600,31940,25048,410,131785,1,2626.01,180.11369371414185,"[8, 50, 180, True]"
16795,177,28842,38598,39578,399,75,false,54231,true,61938,1796,68790,true,48020,31637,1609,970,181924,7,2625.48,180.1288058757782,"[8, 50, 180, True]"
11854,975,24560,1630,31221,405,373,true,4697,true,511963,5439,31890,false,27770,27131,19057,750,349691,6,2599.7,180.07320833206177,"[8, 50, 180, True]"
13661,259,38069,16600,44701,370,115,true,49183,true,297115,30897,91176,true,27390,26973,34764,346,592794,6,2649.2,180.1201663017273,"[8, 50, 180, True]"
4419,366,51112,12911,41000,215,304,true,15864,true,435218,41561,94503,true,37451,4097,26846,466,520195,1,2621.86,180.12307143211365,"[8, 50, 180, True]"
11722,528,3612,10038,67592,223,23,false,48919,true,322783,37649,49957,true,59129,36063,26565,874,536099,7,2614.04,180.08854866027832,"[8, 50, 180, True]"
3371,107,18868,45476,51864,249,171,false,59479,false,88173,16019,84696,false,34000,47219,61777,473,56657,5,2678.03,180.11400151252747,"[8, 50, 180, True]"
11675,509,59082,50723,64771,106,223,true,27968,true,577964,41353,92432,true,5896,22263,50503,224,527937,9,2651.17,180.11929726600647,"[8, 50, 180, True]"
12685,158,38012,49438,67133,441,393,false,19813,false,17455,26456,9819,false,32493,56760,11513,309,48428,3,2615.93,180.12432622909546,"[8, 50, 180, True]"
12981,1000,29979,43786,58598,201,5,false,23389,false,191939,11050,8186,false,64037,57395,54141,106,100579,1,2582.09,180.11937379837036,"[8, 50, 180, True]"
757,655,16891,58046,63803,187,141,false,9638,false,377578,55283,16111,true,11938,7728,33784,69,495016,3,2635.54,180.12001824378967,"[8, 50, 180, True]"
11675,509,6269,50723,64771,106,223,false,26443,true,577964,52676,30260,true,1636,22263,50503,130,103315,10,2604.81,180.1121792793274,"[8, 50, 180, True]"
2045,38,59082,54234,53232,296,397,true,27968,true,586493,41353,92432,true,5896,24208,27215,224,527937,9,2645.46,180.11846566200256,"[8, 50, 180, True]"
7904,842,48512,6893,88995,408,286,true,1465,true,370269,23498,95261,true,47210,40835,37914,663,513089,4,2616.55,180.1173176765442,"[8, 50, 180, True]"
16372,19,13807,47144,73415,159,33,false,20772,true,396776,28617,33314,false,40281,35326,42479,907,481599,6,2659.45,180.12440824508667,"[8, 50, 180, True]"
4419,366,5073,48137,85488,215,304,false,15864,false,435218,41561,59732,true,37451,31940,26846,410,520195,1,2648.37,180.12023210525513,"[8, 50, 180, True]"
15082,466,51112,12911,41000,102,407,true,19143,true,173094,33469,94503,true,600,4097,25048,466,131785,1,2678.1,180.11732721328735,"[8, 50, 180, True]"
13661,259,38069,16600,62797,117,348,true,27539,false,297115,30897,91176,true,56082,42476,13113,50,598238,6,2649.74,180.10416626930237,"[8, 50, 180, True]"
2532,725,21879,47534,44701,370,115,true,49183,true,5671,32174,98166,true,27390,26973,29111,277,592794,9,2647.76,180.0917284488678,"[8, 50, 180, True]"
13661,805,18868,16600,51864,370,115,true,59479,true,88173,30897,91176,true,27390,47219,34764,796,56657,5,2587.08,180.11225295066833,"[8, 50, 180, True]"
3371,259,38069,45476,44701,249,171,false,49183,false,297115,16019,31726,false,34000,26973,61777,473,592794,6,2644.31,180.08038663864136,"[8, 50, 180, True]"
15082,177,5073,48137,85488,473,407,false,19143,true,61938,33469,68790,true,600,31637,25048,970,181924,1,2624.78,180.11799716949463,"[8, 50, 180, True]"
16795,466,28842,38598,39578,399,75,false,54231,false,173094,1796,59732,true,48020,31940,1609,410,131785,7,2647.37,180.12123560905457,"[8, 50, 180, True]"
9165,107,24560,45476,51864,249,15,false,59479,false,88173,5439,84696,false,27770,27131,61777,750,56657,5,2628.98,180.10515213012695,"[8, 50, 180, True]"
3371,975,18868,1630,31221,405,373,true,4697,true,511963,16019,31890,true,34000,47219,19057,473,349691,6,2571.74,180.11530923843384,"[8, 50, 180, True]"
13661,38,38069,54234,53232,370,418,true,26443,true,423008,30897,33882,true,27390,46144,34764,130,592794,6,2593.33,180.08204889297485,"[8, 50, 180, True]"
2045,259,6269,16600,44701,296,397,true,49183,true,297115,8993,30260,true,6338,24208,27215,346,103315,10,2603.11,180.10114526748657,"[8, 50, 180, True]"
757,528,3612,10038,67592,223,141,false,48919,true,97550,55283,49957,true,59129,36063,33784,874,536099,3,2684.77,180.11895394325256,"[8, 50, 180, True]"
11722,655,16891,58046,63803,187,23,false,36600,false,322783,37649,16111,true,11938,7728,26565,69,495016,7,2636.16,180.1239902973175,"[8, 50, 180, True]"
13661,528,38069,53805,67592,370,23,false,48919,true,297115,37649,49957,true,59129,26973,34764,874,592794,7,2607.48,180.0773413181305,"[8, 50, 180, True]"
11722,259,3612,10038,44701,223,115,true,49183,true,322783,30897,91176,true,27390,36063,26565,346,416768,6,2648.14,180.12613821029663,"[8, 50, 180, True]"
16372,523,48512,50694,50181,159,362,true,54446,true,396776,21680,33314,true,47210,64270,42479,470,481599,5,2669.46,180.106290102005,"[8, 50, 180, True]"
2776,19,12581,6893,88995,111,33,true,1465,true,113039,23498,76432,true,28510,35326,54179,663,439955,4,2679.71,180.08976650238037,"[8, 50, 180, True]"
19566,38,3612,10038,53232,223,115,true,26443,true,586493,30897,91176,true,27390,36063,28223,26,416768,10,2618.03,180.12262797355652,"[8, 50, 180, True]"
2045,259,6269,54234,44701,296,397,true,49183,true,322783,52676,30260,true,6338,24208,27215,130,103315,6,2625.21,180.11163234710693,"[8, 50, 180, True]"
16372,509,48941,50723,64771,159,33,true,1465,true,396776,23498,33314,true,47210,35326,42479,224,527937,4,2571.26,180.10190844535828,"[8, 50, 180, True]"
11675,19,59082,6893,88995,106,223,true,27968,true,577964,41353,92432,true,5896,22263,50503,663,481599,9,2684.14,180.11147046089172,"[8, 50, 180, True]"
16885,528,13807,47144,67592,223,33,false,48919,true,270196,28617,33314,true,59129,65422,42479,907,536099,3,2668.19,180.1009554862976,"[8, 50, 180, True]"
757,19,3612,10038,73415,159,141,false,20772,true,396776,55283,49957,true,40281,35326,17066,874,481599,6,2712.75,180.10210156440735,"[8, 50, 180, True]"
3371,640,2208,45476,64163,236,118,false,24418,false,110652,16019,71214,true,34000,47219,61777,461,394852,1,2644.64,180.1254632472992,"[8, 50, 180, True]"
2541,107,18868,27403,51864,249,171,true,59479,true,88173,1677,84696,false,37768,63239,19180,473,56657,5,2625.09,180.119726896286,"[8, 50, 180, True]"
3371,466,51112,45476,51864,102,407,false,19143,false,173094,16019,84696,true,34000,4097,61777,466,131785,5,2644.96,180.1030933856964,"[8, 50, 180, True]"
15082,107,18868,11510,1119,249,171,true,42544,true,88173,33469,94503,false,600,47219,25048,548,56657,1,2605.59,180.1213834285736,"[8, 50, 180, True]"
2045,366,5073,48137,85488,296,397,false,15864,false,586493,41561,59732,true,37451,31940,26846,410,527937,9,2653.93,180.07033681869507,"[8, 50, 180, True]"
4419,38,59082,54234,53232,215,304,true,27968,true,435218,41353,92432,true,5896,24208,27215,224,520195,1,2629.95,180.122004032135,"[8, 50, 180, True]"
13661,259,38069,16600,62797,370,348,true,43767,true,297115,30897,91176,true,27390,42476,13113,50,592794,6,2594.06,180.11567282676697,"[8, 50, 180, True]"
13661,259,38069,16600,44701,117,115,true,27539,false,297115,30897,91176,true,56082,26973,34764,346,598238,6,2667.24,180.08301615715027,"[8, 50, 180, True]"
15082,19,48512,6893,31024,102,407,true,19143,true,396776,23498,33314,true,47210,35326,25048,466,481599,4,2630.65,180.12058901786804,"[8, 50, 180, True]"
16372,466,51112,12911,88995,159,33,true,1465,true,173094,33469,49113,true,600,4097,42479,663,131785,1,2664.73,180.0903537273407,"[8, 50, 180, True]"
15082,466,51112,12911,76968,102,407,true,19143,true,173094,33469,94503,true,600,4097,25048,466,131785,1,2681.88,180.12282133102417,"[8, 50, 180, True]"
15082,466,51112,16600,62797,398,348,true,19143,false,297115,33469,94503,true,56082,52579,57873,50,131785,1,2627.58,180.12232637405396,"[8, 50, 180, True]"
7904,509,13807,50723,64771,408,223,false,20772,true,370269,28617,92432,false,40281,40835,50503,224,527937,6,2593.89,180.12275791168213,"[8, 50, 180, True]"
11675,842,59082,47144,73415,106,286,true,27968,true,84540,41353,95261,true,5896,22263,37914,907,513089,9,2623.38,180.04470443725586,"[8, 50, 180, True]"
16372,19,3612,12911,73415,159,141,true,20772,true,396776,33469,49957,true,600,35326,42479,663,481599,6,2632.59,180.10317516326904,"[8, 50, 180, True]"
757,466,51112,10038,88995,159,33,false,1465,true,173094,55283,49113,true,40281,874,17066,874,131785,1,2672.43,180.11975026130676,"[8, 50, 180, True]"
15082,466,51112,12911,41000,102,407,true,18170,true,173094,33469,94503,true,600,4097,25048,466,131785,1,2673.38,180.12133622169495,"[8, 50, 180, True]"
757,528,42757,10038,67592,223,141,false,48919,true,97550,55283,49957,true,59129,36063,33784,874,349724,3,2668.18,180.12037301063538,"[8, 50, 180, True]"
7904,842,12581,47144,73415,408,33,true,1465,true,370269,23498,76432,true,40281,35326,54179,907,513089,4,2613.58,180.1128044128418,"[8, 50, 180, True]"
2776,19,13807,6893,88995,111,286,false,20772,true,113039,28617,95261,false,28510,40835,37914,663,439955,6,2743.58,180.11361646652222,"[8, 50, 180, True]"
2045,19,12581,6893,88995,296,397,true,5315,true,113039,41561,59732,true,28510,31940,26846,663,59219,4,2596.03,180.07658290863037,"[8, 50, 180, True]"
2776,366,5073,48137,85488,111,33,false,15864,false,586493,23498,76432,true,37451,35326,54179,410,527937,9,2655.38,180.12333917617798,"[8, 50, 180, True]"
15082,466,35081,12911,41000,102,407,true,19143,true,173094,33469,94503,true,600,4097,25048,466,131785,1,2681.8,180.1139886379242,"[8, 50, 180, True]"
11675,19,38069,16600,88995,117,115,true,27968,false,297115,41353,91176,true,5896,22263,50503,425,481599,9,2632.34,180.1068296432495,"[8, 50, 180, True]"
13661,259,59082,6893,44701,106,223,true,27539,true,577964,30897,92432,true,56082,26973,34764,346,598238,6,2704.25,180.096834897995,"[8, 50, 180, True]"
3371,466,18868,45476,76968,249,407,true,59479,true,88173,16019,94503,true,24793,47219,25048,466,131785,5,2676.04,180.07658314704895,"[8, 50, 180, True]"
15082,107,51112,12911,51864,102,171,false,19143,false,173094,33469,84696,false,600,4097,61777,473,56657,1,2624.18,180.12293910980225,"[8, 50, 180, True]"
757,19,3612,6893,67592,291,141,true,11677,true,97550,23498,33314,true,47210,37537,33784,663,536099,4,2625.4,180.11506819725037,"[8, 50, 180, True]"
16372,528,48512,10038,66243,159,33,false,48919,true,396776,55283,49957,true,59129,36063,42479,275,481599,10,2653.16,180.12251448631287,"[8, 50, 180, True]"
757,466,3612,12911,88995,159,33,true,1465,true,173094,55283,49957,true,40281,4097,17066,663,131785,1,2667.0,180.11387848854065,"[8, 50, 180, True]"
16372,19,51112,10038,73415,159,141,false,20772,false,396776,33469,49113,true,600,35326,42479,874,481599,6,2615.45,180.1247763633728,"[8, 50, 180, True]"
15082,528,51112,10038,67592,223,141,false,48919,true,173094,55283,49957,true,12324,4097,33784,874,536099,1,2661.4,180.08968138694763,"[8, 50, 180, True]"
2776,19,12581,6893,88995,1,223,false,27968,true,113039,23498,76432,true,28510,35326,50503,663,439955,4,2724.34,180.12102103233337,"[8, 50, 180, True]"
11675,19,59082,6893,88995,111,33,true,1465,true,577964,41353,92432,true,5896,22263,54179,663,481599,9,2693.83,180.11654686927795,"[8, 50, 180, True]"
757,466,51112,12911,93144,102,33,false,1465,true,173094,33469,94503,true,40281,874,25048,874,131785,1,2669.67,180.1221899986267,"[8, 50, 180, True]"
15082,466,54604,10038,41000,159,407,true,18170,true,173094,55283,49113,true,600,4097,17066,466,131785,1,2635.47,180.11574006080627,"[8, 50, 180, True]"
10406,466,51112,12911,41000,230,407,true,19143,true,173094,33469,94503,true,600,4097,25048,674,131785,1,2589.91,180.1074357032776,"[8, 50, 180, True]"
757,804,51112,10038,11107,159,33,false,1465,true,173094,55283,49113,true,40281,874,17066,874,131785,1,2634.06,180.12050485610962,"[8, 50, 180, True]"
