maxThreads,acceptCount,connectionTimeout,keepAliveTimeout,maxConnections,minSpareThreads,processorCache,enableLookups,asyncTimeout,disableUploadTimeout,connectionUploadTimeout,executorTerminationTimeoutMillis,compressionMinSize,tcpNoDelay,maxHttpHeaderSize,maxHttpRequestHeaderSize,maxHttpResponseHeaderSize,maxKeepAliveRequests,threadsMaxIdleTime,threadPriority,RPS,cost,fidelity
5269,645,24558,39065,72636,28,278,true,22841,true,46861,49409,69341,false,28733,38587,11454,398,84975,5,2678.67,180.10781335830688,"[8, 50, 180, True]"
13456,139,45067,3713,42386,362,3,false,44939,false,450002,4561,45354,true,38608,26221,62090,976,495331,6,2495.16,180.07098984718323,"[8, 50, 180, True]"
18209,988,11234,59176,11814,444,500,true,51694,false,405283,17314,16020,false,54472,54820,30890,501,221908,8,2592.3,180.07022142410278,"[8, 50, 180, True]"
490,478,31732,19924,79416,173,220,false,529,true,297857,31968,92423,true,12843,9972,42654,111,397783,3,2672.13,180.1219916343689,"[8, 50, 180, True]"
4538,805,59383,24848,99251,75,381,false,54313,false,349754,12485,829,false,3767,65005,50928,211,313194,1,2683.84,180.12730050086975,"[8, 50, 180, True]"
16662,295,20117,45819,16954,284,149,true,13464,true,165859,57421,77941,true,59484,3387,6360,663,268871,9,2667.14,180.11760020256042,"[8, 50, 180, True]"
11283,578,43703,11444,35100,397,348,false,21153,true,98874,40859,60399,false,43596,48498,37628,814,598379,7,2612.98,180.12989115715027,"[8, 50, 180, True]"
9940,72,4448,36015,54946,250,119,true,31068,false,585516,26234,37119,true,19617,19878,19660,299,19558,3,2662.41,180.1335597038269,"[8, 50, 180, True]"
8239,881,38112,48878,46698,152,428,false,56932,false,336967,34392,26294,false,27055,4611,34113,596,352410,8,2675.93,180.1294240951538,"[8, 50, 180, True]"
10481,406,2365,28585,63661,488,168,true,10347,true,216171,19460,52650,true,36676,58069,23415,19,228024,3,2610.46,180.08600115776062,"[8, 50, 180, True]"
15238,721,53834,32428,81355,320,336,false,18534,true,114405,2268,85866,false,52564,21148,53589,490,554767,4,2620.72,180.09889364242554,"[8, 50, 180, True]"
3466,242,18106,8234,2038,46,72,true,34184,false,532456,46896,11832,true,11193,41548,3939,880,64797,6,2664.12,180.09478664398193,"[8, 50, 180, True]"
1255,537,12892,6597,18916,198,296,true,27223,true,21111,27472,94062,false,5925,31061,28433,785,130630,7,2692.11,180.1237714290619,"[8, 50, 180, True]"
19950,59,37397,42509,89502,410,48,false,40058,false,513277,42316,20832,true,61896,35203,45351,332,451565,4,2636.02,180.12157034873962,"[8, 50, 180, True]"
14567,814,26291,16630,59235,274,450,true,47311,false,426747,55816,40743,false,46048,14794,15109,177,181237,2,2656.96,180.12190079689026,"[8, 50, 180, True]"
6652,340,50777,56142,26100,124,206,false,5410,true,238864,11158,67905,true,21811,51486,58675,692,436570,9,2670.04,180.10441613197327,"[8, 50, 180, True]"
7358,863,476,14576,75995,423,27,false,46276,false,195595,58662,63623,false,482,17650,52053,38,98188,8,2676.77,180.10549926757812,"[8, 50, 180, True]"
13866,353,39970,35470,9376,212,252,true,6504,true,301267,14048,40343,true,59151,46118,5475,585,522532,3,2671.2,180.1280026435852,"[8, 50, 180, True]"
19088,520,16214,23666,39557,107,249,false,28255,true,554022,22817,22801,false,42265,1135,40769,924,194636,5,2692.52,180.10148644447327,"[8, 50, 180, True]"
2111,14,55697,48167,68824,256,469,true,38968,false,149118,37705,99912,true,17398,62649,16759,439,384646,6,2668.57,180.12554335594177,"[8, 50, 180, True]"
3074,703,35536,56843,52117,470,132,true,15878,true,500831,6974,6744,false,32618,12200,8453,352,318787,7,2650.19,180.07849645614624,"[8, 50, 180, True]"
