maxThreads,acceptCount,connectionTimeout,keepAliveTimeout,maxConnections,minSpareThreads,processorCache,enableLookups,asyncTimeout,disableUploadTimeout,connectionUploadTimeout,executorTerminationTimeoutMillis,compressionMinSize,tcpNoDelay,maxHttpHeaderSize,maxHttpRequestHeaderSize,maxHttpResponseHeaderSize,maxKeepAliveRequests,threadsMaxIdleTime,threadPriority,RPS,cost,fidelity
7400,246,24799,23003,2583,32,72,true,47284,true,322847,37114,24776,true,11750,52996,15724,790,573856,7,769.98,10.062241554260254,"[8, 50, 10, True]"
10458,724,50320,10836,56432,382,225,true,43926,false,47583,40596,65925,true,34020,17648,50295,602,525852,9,715.53,10.051316738128662,"[8, 50, 10, True]"
15119,849,46108,44973,79993,273,309,true,13287,true,544774,19404,49232,true,55351,36380,41362,447,316979,6,810.42,10.054087162017822,"[8, 50, 10, True]"
1196,295,11616,32140,41538,217,131,false,36765,true,450611,48426,36773,false,25815,8969,48336,311,368657,2,804.61,10.059238195419312,"[8, 50, 10, True]"
8520,967,26760,29171,6736,413,53,true,16227,true,92542,28338,42644,false,12624,996,58826,316,257900,10,854.77,10.057391881942749,"[8, 50, 10, True]"
4083,81,6142,48707,30871,467,327,false,53554,false,568173,23426,30993,false,42838,42308,30243,60,88063,4,828.9,10.058818340301514,"[8, 50, 10, True]"
11975,643,53640,19241,32189,367,478,false,39923,false,427334,7954,9961,false,4751,54308,56583,724,478345,1,765.56,10.055493593215942,"[8, 50, 10, True]"
3661,583,15574,54933,97542,8,438,false,5832,false,373258,11969,92557,false,3434,39006,3369,983,153710,5,850.16,10.055022716522217,"[8, 50, 10, True]"
8918,389,2209,7263,22127,293,394,true,10646,true,245450,57289,77737,true,47130,5208,62125,907,514614,5,737.76,10.056344032287598,"[8, 50, 10, True]"
19642,34,57590,37877,88749,340,158,true,52165,false,214326,361,99711,true,17893,32493,18839,95,128606,6,904.3,10.062018632888794,"[8, 50, 10, True]"
2005,902,35513,17515,73578,242,409,false,21810,true,513073,49129,74455,false,38882,60050,26494,849,216947,7,833.16,10.051283836364746,"[8, 50, 10, True]"
14418,766,43940,3479,81325,121,196,false,24578,false,299312,42316,53350,true,23819,63329,32832,171,53318,3,785.39,10.055620670318604,"[8, 50, 10, True]"
13045,163,8330,50461,51107,66,265,true,58135,false,10832,32896,82381,false,29180,47966,4109,530,263806,3,809.79,10.049736261367798,"[8, 50, 10, True]"
18116,504,21253,36370,15312,159,16,false,26875,true,388879,18024,2307,true,51644,23748,22696,202,378139,9,826.68,10.061741828918457,"[8, 50, 10, True]"
17396,466,33721,57602,43971,128,95,true,31281,true,136066,7110,13812,true,65112,27591,9150,680,27785,9,866.54,10.070309162139893,"[8, 50, 10, True]"
5410,329,38212,13725,66750,493,360,false,3308,false,164744,55863,58563,false,58465,13328,39632,410,434203,1,847.44,10.06592345237732,"[8, 50, 10, True]"
19642,34,57590,37877,88749,340,158,true,52165,false,214326,361,99711,true,17893,32493,18839,95,128606,6,1208.13,20.093220710754395,"[8, 50, 20, True]"
17396,466,33721,57602,43971,128,95,true,31281,true,136066,7110,13812,true,65112,27591,9150,680,27785,9,1276.71,20.090795516967773,"[8, 50, 20, True]"
8520,967,26760,29171,6736,413,53,true,16227,true,92542,28338,42644,false,12624,996,58826,316,257900,10,1234.37,20.08210062980652,"[8, 50, 20, True]"
3661,583,15574,54933,97542,8,438,false,5832,false,373258,11969,92557,false,3434,39006,3369,983,153710,5,1453.56,20.094238758087158,"[8, 50, 20, True]"
5410,329,38212,13725,66750,493,360,false,3308,false,164744,55863,58563,false,58465,13328,39632,410,434203,1,1252.09,20.089632272720337,"[8, 50, 20, True]"
2005,902,35513,17515,73578,242,409,false,21810,true,513073,49129,74455,false,38882,60050,26494,849,216947,7,1199.39,20.091137409210205,"[8, 50, 20, True]"
4083,81,6142,48707,30871,467,327,false,53554,false,568173,23426,30993,false,42838,42308,30243,60,88063,4,1294.49,20.088285207748413,"[8, 50, 20, True]"
