maxThreads,acceptCount,connectionTimeout,keepAliveTimeout,maxConnections,minSpareThreads,processorCache,enableLookups,asyncTimeout,disableUploadTimeout,connectionUploadTimeout,executorTerminationTimeoutMillis,compressionMinSize,tcpNoDelay,maxHttpHeaderSize,maxHttpRequestHeaderSize,maxHttpResponseHeaderSize,maxKeepAliveRequests,threadsMaxIdleTime,threadPriority,RPS,cost,fidelity
6082,965,56381,56164,3291,443,74,false,55347,true,30980,56407,27832,true,24112,15183,283,193,340113,2,757.07,10.051870822906494,"[8, 50, 10, True]"
17337,601,23918,38101,96445,225,167,false,47700,true,169372,50381,73507,false,52395,64552,50647,487,283016,5,780.88,10.052874088287354,"[8, 50, 10, True]"
14173,187,5053,48634,53187,330,431,false,11646,true,559595,36685,57236,true,27229,5711,16114,326,450314,8,751.89,10.045447587966919,"[8, 50, 10, True]"
11597,673,37871,5999,85462,97,328,false,17664,false,240909,1368,87471,false,41546,20572,24072,590,147532,8,775.01,10.063095331192017,"[8, 50, 10, True]"
17750,395,36596,17278,24413,138,237,true,35876,false,471641,27774,19192,false,61190,36530,33900,847,52447,4,856.1,10.042255401611328,"[8, 50, 10, True]"
8702,366,17668,13583,63770,20,279,true,43445,false,347829,38250,9517,false,6718,32182,46756,952,183703,1,768.01,10.053226709365845,"[8, 50, 10, True]"
2922,753,46189,31977,35399,410,472,true,4552,true,132773,20908,45151,true,38805,52733,57621,87,597648,7,813.92,10.049769163131714,"[8, 50, 10, True]"
702,74,10958,22897,38217,262,46,true,27742,false,438993,7594,93665,true,9554,42635,25128,709,380181,10,842.41,10.045939445495605,"[8, 50, 10, True]"
200,100,20000,20000,8192,10,200,false,30000,true,300000,5000,2048,false,8192,8192,8192,100,60000,4,738.0,10.052241802215576,"[8, 50, 10, True]"
200,100,20000,20000,8192,10,200,false,30000,true,300000,5000,2048,true,8192,8192,8192,100,60000,5,859.69,10.043713331222534,"[8, 50, 10, True]"
200,100,20000,20000,8192,9,200,false,30000,true,300000,5000,2048,false,8192,8192,8192,100,60000,5,854.42,10.049004793167114,"[8, 50, 10, True]"
200,100,20000,20000,8192,10,200,false,30000,true,300000,5000,2048,true,8192,8191,8192,100,60000,5,872.92,10.047258853912354,"[8, 50, 10, True]"
200,100,20000,20000,8192,10,200,false,30000,true,300000,5000,2048,true,8192,8192,8192,100,60000,5,839.43,10.05689787864685,"[8, 50, 10, True]"
200,100,20000,20000,8192,10,200,false,30000,false,300000,5000,2048,true,8192,8192,8192,101,60000,5,801.96,10.04852294921875,"[8, 50, 10, True]"
200,100,20000,20000,8192,10,200,false,30000,true,300000,5000,2048,false,8192,8192,8192,100,60000,5,777.79,10.051826000213623,"[8, 50, 10, True]"
200,100,20000,20000,8192,10,201,false,30000,false,300000,5000,2048,true,8192,8192,8192,100,60000,5,731.32,10.04245114326477,"[8, 50, 10, True]"
200,100,20000,20000,8192,10,200,false,30000,true,300000,5000,2048,true,8192,8191,8192,100,60000,5,1215.46,20.076979637145996,"[8, 50, 20, True]"
200,100,20000,20000,8192,10,200,false,30000,true,300000,5000,2048,true,8192,8192,8192,100,60000,5,1273.7,20.07101821899414,"[8, 50, 20, True]"
17750,395,36596,17278,24413,138,237,true,35876,false,471641,27774,19192,false,61190,36530,33900,847,52447,4,1258.62,20.073671340942383,"[8, 50, 20, True]"
200,100,20000,20000,8192,9,200,false,30000,true,300000,5000,2048,false,8192,8192,8192,100,60000,5,1285.1,20.080271244049072,"[8, 50, 20, True]"
702,74,10958,22897,38217,262,46,true,27742,false,438993,7594,93665,true,9554,42635,25128,709,380181,10,1291.21,20.07668972015381,"[8, 50, 20, True]"
200,100,20000,20000,8192,10,200,false,30000,true,300000,5000,2048,true,8192,8192,8192,100,60000,5,1292.22,20.08182430267334,"[8, 50, 20, True]"
2922,753,46189,31977,35399,410,472,true,4552,true,132773,20908,45151,true,38805,52733,57621,87,597648,7,1180.32,20.074286460876465,"[8, 50, 20, True]"
200,100,20000,20000,8192,10,200,false,30000,false,300000,5000,2048,true,8192,8192,8192,101,60000,5,1306.09,20.067644834518433,"[8, 50, 20, True]"
200,100,20000,20000,8192,10,200,false,30000,false,300000,5000,2048,true,8192,8192,8192,101,60000,5,1918.9,40.10546803474426,"[8, 50, 40, True]"
200,100,20000,20000,8192,10,200,false,30000,true,300000,5000,2048,true,8192,8192,8192,100,60000,5,1922.56,40.10084629058838,"[8, 50, 40, True]"
702,74,10958,22897,38217,262,46,true,27742,false,438993,7594,93665,true,9554,42635,25128,709,380181,10,1846.95,40.11552548408508,"[8, 50, 40, True]"
200,100,20000,20000,8192,9,200,false,30000,true,300000,5000,2048,false,8192,8192,8192,100,60000,5,1876.19,40.101426124572754,"[8, 50, 40, True]"
200,100,20000,20000,8192,10,200,false,30000,true,300000,5000,2048,true,8192,8192,8192,100,60000,5,2519.81,90.1075656414032,"[8, 50, 90, True]"
200,100,20000,20000,8192,10,200,false,30000,false,300000,5000,2048,true,8192,8192,8192,101,60000,5,2428.36,90.08877849578857,"[8, 50, 90, True]"
200,100,20000,20000,8192,10,200,false,30000,true,300000,5000,2048,true,8192,8192,8192,100,60000,5,2710.71,180.106924533844,"[8, 50, 180, True]"
12902,840,20636,15233,10945,144,383,true,7738,true,324805,38834,50265,false,7618,5701,40093,232,225693,5,1252.47,20.060025453567505,"[8, 50, 20, True]"
16578,195,51287,53771,61410,236,80,false,36450,false,573737,16980,24176,true,38950,63659,2815,591,503604,7,1208.35,20.072980403900146,"[8, 50, 20, True]"
692,641,18522,27109,88955,381,256,true,58603,false,111514,47711,77170,false,64096,28235,52086,824,19464,1,1261.52,20.068782091140747,"[8, 50, 20, True]"
200,100,20000,20000,8191,10,200,false,30000,false,300000,5000,2048,false,8192,8192,8192,101,60000,5,1325.85,20.081136465072632,"[8, 50, 20, True]"
200,100,20000,20000,8192,10,200,false,30000,true,300000,5000,2048,true,8192,8192,8192,100,60000,5,1263.42,20.06780743598938,"[8, 50, 20, True]"
200,100,20000,20000,8192,10,200,false,30000,false,300000,5000,2048,true,8192,8192,8192,100,60000,5,1205.38,20.07729744911194,"[8, 50, 20, True]"
200,101,20000,20000,8192,10,200,true,30000,false,300000,5000,2048,false,8192,8192,8192,100,60000,5,1216.89,20.07341742515564,"[8, 50, 20, True]"
200,100,20000,20000,8192,10,200,false,30000,true,300000,5000,2048,true,8192,8192,8192,100,60000,5,1300.67,20.078301429748535,"[8, 50, 20, True]"
200,100,20000,20000,8192,10,200,false,30000,false,300000,5000,2048,false,8192,8192,8192,100,60000,5,1383.12,20.07630968093872,"[8, 50, 20, True]"
200,100,20000,20000,8192,10,200,false,30000,true,300000,5000,2048,false,8192,8192,8192,100,60000,5,1248.22,20.078456163406372,"[8, 50, 20, True]"
200,100,20000,20000,8192,10,200,false,30000,false,300000,5000,2048,false,8192,8192,8192,100,60000,5,1815.71,40.10316562652588,"[8, 50, 40, True]"
200,100,20000,20000,8191,10,200,false,30000,false,300000,5000,2048,false,8192,8192,8192,101,60000,5,1789.67,40.11492657661438,"[8, 50, 40, True]"
200,100,20000,20000,8192,10,200,false,30000,true,300000,5000,2048,true,8192,8192,8192,100,60000,5,1868.96,40.11091589927673,"[8, 50, 40, True]"
200,100,20000,20000,8192,10,200,false,30000,true,300000,5000,2048,true,8192,8192,8192,100,60000,5,1911.67,40.110196113586426,"[8, 50, 40, True]"
692,641,18522,27109,88955,381,256,true,58603,false,111514,47711,77170,false,64096,28235,52086,824,19464,1,1846.1,40.116151571273804,"[8, 50, 40, True]"
200,100,20000,20000,8192,10,200,false,30000,true,300000,5000,2048,true,8192,8192,8192,100,60000,5,2557.49,90.09362030029297,"[8, 50, 90, True]"
200,100,20000,20000,8192,10,200,false,30000,true,300000,5000,2048,true,8192,8192,8192,100,60000,5,2477.14,90.09127235412598,"[8, 50, 90, True]"
200,100,20000,20000,8192,10,200,false,30000,true,300000,5000,2048,true,8192,8192,8192,100,60000,5,2719.45,180.12270522117615,"[8, 50, 180, True]"
10085,446,5014,1791,8913,442,470,true,3333,false,31289,15965,12758,false,44079,25651,62270,952,465207,5,1758.37,40.10174322128296,"[8, 50, 40, True]"
