maxThreads,acceptCount,connectionTimeout,keepAliveTimeout,maxConnections,minSpareThreads,processorCache,enableLookups,asyncTimeout,disableUploadTimeout,connectionUploadTimeout,executorTerminationTimeoutMillis,compressionMinSize,tcpNoDelay,maxHttpHeaderSize,maxHttpRequestHeaderSize,maxHttpResponseHeaderSize,maxKeepAliveRequests,threadsMaxIdleTime,threadPriority,RPS,cost,fidelity
12775,27,1890,22611,75505,98,134,true,19093,false,319475,3935,69515,false,4206,2815,14961,314,487704,4,2691.97,180.1059911251068,"[8, 50, 180, True]"
15967,259,42644,47638,97263,280,54,false,4896,true,215157,10694,2776,true,37048,43608,40154,805,549686,9,2688.96,180.11736464500427,"[8, 50, 180, True]"
2342,434,34784,9448,35288,451,86,true,52205,false,179223,57508,93086,true,51570,30716,44065,554,474517,7,2607.97,180.08490872383118,"[8, 50, 180, True]"
2291,563,14703,152,25573,274,266,true,59603,true,505662,34023,77655,true,62946,1334,21850,512,250344,8,2671.35,180.08360028266907,"[8, 50, 180, True]"
17002,291,52139,13741,58872,153,238,true,2611,false,23253,56997,23772,true,51212,14010,44448,4,552453,6,2068.02,180.11710262298584,"[8, 50, 180, True]"
1782,527,9759,50594,52243,366,271,false,32511,false,509436,35106,14173,true,17481,33346,16052,599,423573,7,2664.1,180.12908411026,"[8, 50, 180, True]"
611,77,31771,41151,35387,395,172,false,47965,true,240008,20564,60459,true,19965,22230,37063,818,321747,1,2653.15,180.123765707016,"[8, 50, 180, True]"
17882,63,21081,3515,16491,312,263,false,38160,false,503369,55716,68992,false,39197,1849,47910,983,387111,9,2657.39,180.0809235572815,"[8, 50, 180, True]"
17210,505,43808,53269,3238,377,6,false,19753,true,559686,30654,51802,true,42838,3786,32022,486,183851,8,2572.1,180.1305902004242,"[8, 50, 180, True]"
12267,997,1536,2087,60453,335,17,false,30049,false,192384,12395,75223,false,54134,14224,55773,162,505079,7,2633.39,180.1245334148407,"[8, 50, 180, True]"
8729,133,11992,39347,94394,113,444,true,1306,false,378940,12449,4531,false,36077,4823,9365,541,573667,2,2671.99,180.0634949207306,"[8, 50, 180, True]"
11126,109,23118,48555,71764,69,428,true,22230,true,422956,9683,46286,true,17721,31489,36687,40,525570,9,2719.07,180.12830328941345,"[8, 50, 180, True]"
15668,30,15107,4461,24276,44,310,false,18903,false,85906,59005,7845,true,33850,31320,11809,47,272176,2,2721.19,180.0761158466339,"[8, 50, 180, True]"
2280,259,5849,47451,87449,295,497,false,19490,false,440725,35435,29250,true,10315,61459,53633,11,370220,5,2349.18,180.1215581893921,"[8, 50, 180, True]"
640,425,51117,15596,89694,227,418,false,203,false,445240,10838,76197,false,31897,7257,16303,49,21735,5,2629.4,180.13163900375366,"[8, 50, 180, True]"
17447,223,44987,45679,68840,80,172,false,42003,true,48242,8474,32928,false,23176,9175,10287,495,43553,3,2703.17,180.11854028701782,"[8, 50, 180, True]"
11766,142,59590,8590,52478,35,215,false,53410,false,95254,39870,45541,false,41764,38597,55335,725,187523,3,2722.42,180.10987758636475,"[8, 50, 180, True]"
17697,782,30196,11960,69738,21,68,true,32299,false,29350,20571,9103,false,15942,24139,22615,903,269937,3,2701.51,180.10965299606323,"[8, 50, 180, True]"
10993,239,1140,29265,96640,99,278,false,39839,false,453,15986,18129,false,40081,48741,10207,941,313691,4,2690.01,180.1236789226532,"[8, 50, 180, True]"
11135,618,54013,22238,3250,23,432,true,17444,false,98636,19689,28621,false,45282,64004,57314,239,505864,2,2694.06,180.12972569465637,"[8, 50, 180, True]"
15765,730,8475,4633,12774,83,77,true,44787,false,28975,24893,36649,false,9974,50047,52064,215,204197,7,2632.62,180.11464309692383,"[8, 50, 180, True]"
5555,201,38648,43094,5509,202,140,false,12448,true,21506,10255,22583,false,16800,17106,34965,318,554419,3,2690.23,180.0836696624756,"[8, 50, 180, True]"
12796,909,48709,50933,12383,20,500,false,5863,true,68114,55704,26866,false,42973,41377,62189,386,258362,6,2706.76,180.123943567276,"[8, 50, 180, True]"
1798,533,27015,19532,15404,43,441,false,49397,true,582582,28681,20306,true,14308,24816,52198,29,333262,8,2615.04,180.06731796264648,"[8, 50, 180, True]"
9771,36,50173,3040,91435,498,14,false,42069,false,313817,48667,71479,false,18539,27899,41764,23,539143,2,2592.06,180.10830330848694,"[8, 50, 180, True]"
6171,781,54011,26023,42372,172,500,false,11727,false,86945,26485,45359,false,22581,57510,59379,831,71941,5,2641.74,180.12826538085938,"[8, 50, 180, True]"
7034,234,19726,34356,50107,129,416,true,26413,false,503242,8029,44979,false,16447,48807,13397,23,139331,7,2648.67,180.16804718971252,"[8, 50, 180, True]"
10389,232,13699,6152,85694,168,0,false,820,false,118108,58817,25031,true,45493,8,45223,806,398179,2,0.0,7.62939453125e-06,"[8, 50, 180, True]"
3183,806,38870,44723,84640,395,3,true,14250,true,355851,26087,80547,true,12092,37735,22819,294,173764,4,0.0,1.6689300537109375e-06,"[8, 50, 180, True]"
6240,147,21084,56353,59686,37,104,false,45554,true,545849,6158,28597,false,45367,326,26606,68,499348,9,2745.93,180.11944961547852,"[8, 50, 180, True]"
17598,67,46884,54892,49085,59,278,true,16810,false,166348,24992,36746,true,33006,108,33087,289,163802,1,0.0,3.814697265625e-06,"[8, 50, 180, True]"
13994,100,6179,55345,47623,7,326,false,55210,false,300866,10507,83099,true,12071,35131,20015,63,359,1,0.0,2.86102294921875e-06,"[8, 50, 180, True]"
10115,69,22834,57024,67024,5,480,false,39309,true,311234,53289,5278,true,45610,50308,16805,399,224743,4,2764.7,180.11025023460388,"[8, 50, 180, True]"
10392,309,12029,13587,72206,13,440,true,7020,false,154096,29891,9032,false,14056,352,5955,480,235279,2,2734.86,180.10450911521912,"[8, 50, 180, True]"
16459,59,48122,3549,38044,8,38,true,23468,false,304391,51080,23634,true,47960,38218,8803,162,7300,5,2604.88,180.1055829524994,"[8, 50, 180, True]"
10328,6,35769,57878,98339,31,280,false,17638,false,300438,4752,12945,false,43673,52402,58161,287,107260,7,2738.79,180.08627128601074,"[8, 50, 180, True]"
10247,622,43020,37496,87494,25,139,false,53417,true,75037,51385,13805,true,17366,2676,45129,510,748,4,2812.95,180.08086252212524,"[8, 50, 180, True]"
12342,562,24374,36390,43264,37,429,true,58372,true,499053,27447,8868,false,40844,25938,1467,254,318,8,2729.56,180.09220147132874,"[8, 50, 180, True]"
2998,610,50945,51427,96538,21,152,false,35774,false,458999,19014,5943,true,19635,38684,26619,551,81626,1,2706.82,180.12145400047302,"[8, 50, 180, True]"
7675,356,47089,36409,46868,21,310,true,48751,true,519496,56451,8600,true,5784,6299,62698,119,350,1,2700.14,180.124906539917,"[8, 50, 180, True]"
2515,709,28714,57659,25020,1,363,false,56572,false,166618,20268,13728,true,31490,34153,10442,52,270295,2,2796.52,180.1094536781311,"[8, 50, 180, True]"
417,841,2478,58796,58006,5,376,true,9024,false,261496,18164,70973,false,16659,275,32818,459,533241,8,2697.59,180.1124551296234,"[8, 50, 180, True]"
14758,71,29131,55188,46308,21,327,true,56626,false,10023,18130,42923,true,2218,64952,46038,719,192019,1,2729.51,180.12710547447205,"[8, 50, 180, True]"
12280,549,14628,21379,22103,27,373,false,2904,true,263444,10167,10077,true,62857,193,52994,542,77932,8,2704.51,180.08826231956482,"[8, 50, 180, True]"
18092,944,55562,30770,20696,34,397,true,50271,true,78861,42973,79344,true,27719,44874,48717,769,455493,5,2689.02,180.11517786979675,"[8, 50, 180, True]"
1186,22,36436,16962,46578,5,322,false,19465,true,444228,19982,80369,true,41622,10279,16439,613,439109,2,2676.3,180.08989214897156,"[8, 50, 180, True]"
