maxThreads,acceptCount,connectionTimeout,keepAliveTimeout,maxConnections,minSpareThreads,processorCache,enableLookups,asyncTimeout,disableUploadTimeout,connectionUploadTimeout,executorTerminationTimeoutMillis,compressionMinSize,tcpNoDelay,maxHttpHeaderSize,maxHttpRequestHeaderSize,maxHttpResponseHeaderSize,maxKeepAliveRequests,threadsMaxIdleTime,threadPriority,RPS,cost,fidelity
501,228,13857,35577,60791,232,299,true,40752,true,350220,30134,87335,true,52815,6743,64376,100,146225,10,2653.91,180.1390597820282,"[8, 50, 180, True]"
18396,888,40484,47457,66232,267,259,false,13033,false,352182,20708,11882,true,43014,639,45325,727,516422,7,2712.26,180.08490133285522,"[8, 50, 180, True]"
4519,87,5885,22461,11674,362,86,false,47060,false,566803,54040,54152,true,38907,24335,61408,803,479807,1,2708.45,180.1208746433258,"[8, 50, 180, True]"
10019,108,4990,38253,31250,27,281,false,43703,true,351279,36540,27991,false,56392,21502,12892,841,28184,7,2731.88,180.09359335899353,"[8, 50, 180, True]"
15024,397,47818,20276,57134,237,450,false,10072,true,591688,9199,55670,true,59775,5768,9070,580,213806,5,2743.49,180.12915968894958,"[8, 50, 180, True]"
1808,31,116,27987,83701,98,318,true,5855,false,432710,52283,88708,false,6713,44181,21767,164,435962,3,2677.53,180.13078093528748,"[8, 50, 180, True]"
6756,485,39868,18649,63082,113,254,true,6277,true,202458,59861,4329,true,56925,60578,56312,863,480564,5,2696.14,180.12897086143494,"[8, 50, 180, True]"
1011,869,7977,54123,81089,175,140,true,35421,true,576307,22217,11795,true,41380,18673,22927,246,13407,2,2705.85,180.12519001960754,"[8, 50, 180, True]"
9245,572,23744,31256,27249,41,383,false,14202,true,146950,22778,89634,true,37982,55956,45889,618,438050,5,2691.85,180.12198281288147,"[8, 50, 180, True]"
18791,371,34598,45806,97611,44,236,true,56104,false,2814,6425,83755,true,44517,63753,54631,131,378694,9,2657.05,180.11163091659546,"[8, 50, 180, True]"
19164,166,51092,27630,1131,368,433,false,4153,true,443075,31293,61977,false,60146,5989,47261,556,52994,5,2680.93,180.10720992088318,"[8, 50, 180, True]"
11732,135,26934,18001,37142,40,475,true,55679,true,226594,19491,26781,true,6288,33661,1367,263,256001,2,2686.08,180.12825441360474,"[8, 50, 180, True]"
3317,684,33506,35220,87257,138,378,false,17991,true,525828,53400,86571,false,55562,2554,6430,990,146895,3,2706.52,180.11007475852966,"[8, 50, 180, True]"
12959,213,48424,29068,78628,148,400,true,760,true,32025,28133,11232,false,59935,30455,24731,894,406301,9,2719.66,180.08919501304626,"[8, 50, 180, True]"
10759,141,49283,30847,86670,11,393,false,44455,false,149962,4784,29837,false,56824,7286,11154,931,244697,2,2688.58,180.0868706703186,"[8, 50, 180, True]"
19141,297,40057,49975,22804,478,447,true,36762,false,581858,26085,96383,false,26909,5082,37605,863,254183,9,2669.6,180.1275098323822,"[8, 50, 180, True]"
17520,577,37671,51897,4763,450,38,false,13799,true,295827,623,50004,true,20932,37079,30155,640,80250,7,2646.39,180.11048436164856,"[8, 50, 180, True]"
6293,242,11291,3403,17393,30,177,false,52626,false,409612,56854,30504,true,64240,42055,26674,464,199105,10,2732.83,180.13009524345398,"[8, 50, 180, True]"
15133,705,49378,50460,2635,93,144,false,27086,false,574177,11675,10361,false,65331,25394,53665,598,131697,5,2709.66,180.12887859344482,"[8, 50, 180, True]"
8172,834,28317,42304,1235,166,185,false,508,true,443758,20596,44575,false,61163,19682,2121,348,440315,10,2686.14,180.12713146209717,"[8, 50, 180, True]"
16705,487,47733,8426,92271,1,76,true,33321,false,594216,6181,23740,true,59858,18755,25794,944,209091,6,2741.52,180.1267740726471,"[8, 50, 180, True]"
4604,685,12681,25535,59910,314,57,true,53957,true,591395,53100,66020,false,58925,7736,15208,429,123564,10,2690.04,180.116135597229,"[8, 50, 180, True]"
14463,282,240,34781,9047,67,291,false,7938,false,206163,14667,20068,true,63595,639,26091,297,302339,9,2693.89,180.10870623588562,"[8, 50, 180, True]"
13119,4,52679,8418,36372,385,160,true,48285,true,598970,32416,78373,false,13921,1963,65365,977,486490,1,2671.95,180.12090682983398,"[8, 50, 180, True]"
15736,261,26223,56295,72952,44,438,true,8915,true,577617,705,11155,false,57724,38163,23519,846,53044,4,2757.38,180.12940049171448,"[8, 50, 180, True]"
3512,159,17779,50910,10729,430,495,false,58058,false,596097,6775,56288,false,49900,15669,32856,655,127020,5,2612.67,180.12616157531738,"[8, 50, 180, True]"
19165,179,53099,8178,43787,310,493,true,36863,true,551487,6327,21818,true,40936,34843,46934,238,103421,5,2636.43,180.11722135543823,"[8, 50, 180, True]"
10031,560,21143,15439,19307,234,481,false,4259,true,384636,7965,12725,true,59741,48419,616,735,2790,6,2737.97,180.1151864528656,"[8, 50, 180, True]"
