maxThreads,acceptCount,connectionTimeout,keepAliveTimeout,maxConnections,minSpareThreads,processorCache,enableLookups,asyncTimeout,disableUploadTimeout,connectionUploadTimeout,executorTerminationTimeoutMillis,compressionMinSize,tcpNoDelay,maxHttpHeaderSize,maxHttpRequestHeaderSize,maxHttpResponseHeaderSize,maxKeepAliveRequests,threadsMaxIdleTime,threadPriority,RPS,cost,fidelity
452,198,24672,59890,78028,246,455,false,17576,false,25358,21826,13452,true,20634,43122,20926,130,193428,5,2645.18,180.10694980621338,"[8, 50, 180, True]"
19188,893,33722,53148,94690,403,26,false,38222,false,416794,22008,47100,false,25129,16635,9039,589,594455,10,2620.09,180.11953043937683,"[8, 50, 180, True]"
16172,189,36567,20896,78787,65,375,true,7041,true,356453,21270,48062,false,13646,24332,27826,648,407175,2,2626.05,180.1248688697815,"[8, 50, 180, True]"
15937,531,18229,14439,24554,48,339,false,26173,true,200044,6461,89966,false,52076,57323,48048,432,368580,7,2706.9,180.12179374694824,"[8, 50, 180, True]"
9733,612,12291,51037,30060,120,263,false,150,true,213447,40399,54596,true,27294,47112,58537,280,251234,6,2659.51,180.12019681930542,"[8, 50, 180, True]"
18943,534,21874,44506,55967,449,70,true,11267,true,173638,24219,81073,true,22252,54702,15759,935,364756,5,2611.16,180.07175731658936,"[8, 50, 180, True]"
12803,306,30273,53812,84684,126,357,false,47306,false,210597,17294,54928,false,12029,64438,15899,600,10177,7,2635.83,180.1160271167755,"[8, 50, 180, True]"
7167,605,40862,4317,70228,362,326,false,20520,true,348511,42585,34375,false,13959,13676,6581,645,252267,5,2623.1,180.11594772338867,"[8, 50, 180, True]"
3148,747,33209,26951,70072,199,221,false,41999,true,67197,30934,30138,true,43026,63126,35834,414,348672,6,2660.31,180.1054368019104,"[8, 50, 180, True]"
4627,79,59399,3132,89915,385,340,false,54163,true,416153,57583,55713,true,48933,49471,54319,771,36461,4,2585.06,180.10405802726746,"[8, 50, 180, True]"
8990,750,41322,35824,35502,190,65,false,1877,true,140469,46177,95605,false,56137,57804,19822,871,343499,8,2650.29,180.11198616027832,"[8, 50, 180, True]"
14151,918,28058,47942,78791,464,326,true,49326,false,180977,41392,14202,false,23237,21391,47272,689,9616,3,2623.06,180.1254484653473,"[8, 50, 180, True]"
11188,743,18970,9237,64958,383,349,false,55240,true,177803,27332,7262,true,33910,3274,26399,20,478708,4,2669.58,180.0987548828125,"[8, 50, 180, True]"
8462,442,49889,29259,57400,138,56,true,44532,true,3497,24672,6179,false,51890,26091,22028,538,445152,8,2585.72,180.1165852546692,"[8, 50, 180, True]"
6496,894,29365,42802,3064,493,449,false,2165,false,25537,8694,48147,false,41938,9736,48392,143,352208,9,2597.26,180.10820841789246,"[8, 50, 180, True]"
13760,982,55558,14993,53550,461,157,true,54257,false,383572,34577,34145,true,5127,27453,59415,384,351574,1,2600.74,180.11827158927917,"[8, 50, 180, True]"
3960,662,17074,22665,26336,384,296,true,44041,false,219788,4350,8521,false,35159,53185,30249,978,239512,4,2638.39,180.06075191497803,"[8, 50, 180, True]"
18155,491,9193,25388,50373,362,38,false,43835,false,185718,54420,8623,true,10587,57932,32314,37,25335,1,2592.74,180.11777877807617,"[8, 50, 180, True]"
14998,27,6231,51829,66004,104,393,true,26100,false,204568,52304,4623,true,64769,10204,43581,951,165441,8,2693.04,180.12050223350525,"[8, 50, 180, True]"
896,118,45198,48874,13611,258,23,true,11286,true,547227,50424,87141,false,37377,62681,57683,490,239410,2,2580.15,180.11536264419556,"[8, 50, 180, True]"
