8x8dct,analyse,aq-mode,aq-strength,b-adapt,bframes,cabac,chroma-qp-offset,crf,deblock,direct,fast-pskip,keyint,lookahead-threads,me,merange,mixed-refs,mbtree,nal-hrd,open-gop,run_time,encode_time,avg_cpu_util,output_file_mb,bitrate_kbps,encode_fps,cost,fidelity
0,p4x4,1,0.13109598584415433,2,1,0,4,23.175440205486872,4:-4,spatial,0,82,0,esa,53,1,0,cbr,0,30.02,30.02,1277.181879,32.962293,13848.468149,40.53,30.389476537704468,"['Action', '1080p', 60, '20s']"
1,p8x8,0,0.532648339553409,1,11,0,0,34.92194764000967,-6:6,spatial,0,16,3,dia,37,0,0,none,0,12.3,12.3,727.804878,11.350005,4768.484595,98.69,12.510713338851929,"['Action', '1080p', 60, '20s']"
0,none,0,1.3077292675376315,1,8,1,-9,30.86984646544039,5:-5,spatial,1,330,3,esa,50,1,1,cbr,1,33.25,33.25,1279.18797,16.534598,6946.690902,36.16,33.41614103317261,"['Action', '1080p', 60, '20s']"
0,"p8x8,b8x8,i8x8,i4x4",2,1.5049485219019325,1,8,0,-11,47.30487948185424,-1:1,none,1,200,4,tesa,10,1,0,cbr,1,17.39,17.39,1388.326624,4.270919,1794.343743,69.53,17.59657573699951,"['Action', '1080p', 60, '20s']"
1,all,1,1.8088175629036942,1,2,1,-4,41.31826834454635,4:-4,none,1,92,4,hex,60,1,0,cbr,1,12.33,12.33,1078.751014,5.943259,2496.945134,98.03,12.537547826766968,"['Action', '1080p', 60, '20s']"
0,all,2,1.9712741684807236,0,0,1,5,6.5101130561578096,6:6,auto,1,207,1,tesa,56,1,1,none,0,262.37,262.37,604.043907,127.949106,53755.336131,4.57,262.59593963623047,"['Action', '1080p', 60, '20s']"
1,none,3,1.245058582450352,0,5,1,2,9.979694322239318,2:-2,temporal,1,374,3,esa,7,0,0,none,1,15.79,15.79,1352.754908,121.326668,50973.047029,76.88,16.00235390663147,"['Action', '1080p', 60, '20s']"
0,none,2,0.9476684829932114,0,16,0,1,14.96367219884959,-2:2,spatial,0,431,1,dia,26,0,0,vbr,1,20.03,20.03,705.092361,94.801841,39829.155262,60.35,20.2401340007782,"['Action', '1080p', 60, '20s']"
1,all,3,1.7313708547244404,1,5,0,-8,26.08814385243438,6:6,auto,0,168,2,hex,43,1,1,vbr,1,16.68,16.68,1080.335731,23.367388,9817.354895,72.32,16.85714626312256,"['Action', '1080p', 60, '20s']"
1,p8x8,0,1.1313379638934231,1,4,0,-3,29.149893285258425,-3:3,spatial,0,161,0,hex,59,1,1,cbr,1,12.48,12.48,946.714744,18.131584,7617.633529,97.24,12.719642162322998,"['Action', '1080p', 60, '20s']"
1,p8x8,3,0.41460272558922473,2,12,0,-7,49.8779019809361,2:-2,auto,0,395,2,umh,39,0,1,cbr,1,66.94,66.94,288.571855,2.226727,935.516378,17.93,67.114750623703,"['Action', '1080p', 60, '20s']"
1,"p8x8,b8x8,i8x8,i4x4",3,0.9060409912231653,2,10,1,1,3.941111634976385,-2:2,temporal,0,120,0,tesa,14,1,0,vbr,0,60.12,60.12,1220.309381,145.715234,61219.430163,19.99,60.33298087120056,"['Action', '1080p', 60, '20s']"
0,all,2,0.03224918700175944,2,12,1,-6,25.459375861394623,5:5,temporal,1,444,2,tesa,49,1,1,none,0,158.62,158.62,896.46955,25.886178,10875.575778,7.56,158.82788395881653,"['Action', '1080p', 60, '20s']"
0,p4x4,3,0.3391125991671953,2,11,0,6,7.289316757112653,1:1,auto,0,338,1,hex,57,0,1,none,1,91.34,91.34,191.110138,120.17921,50490.964766,13.14,91.55703234672546,"['Action', '1080p', 60, '20s']"
1,"p8x8,b8x8,i8x8,i4x4",0,1.6376882820309828,0,9,0,5,45.503170117758124,3:3,temporal,1,463,4,umh,31,1,1,none,1,15.07,15.07,1268.082283,4.20868,1768.195363,80.35,15.29076075553894,"['Action', '1080p', 60, '20s']"
1,p4x4,0,0.7135229973899474,1,7,1,-2,20.263684620590716,4:4,temporal,0,244,2,umh,64,1,1,vbr,1,18.3,18.3,1189.180328,41.752645,17541.564448,65.84,18.470295906066895,"['Action', '1080p', 60, '20s']"
1,p4x4,1,1.7712483807761543,2,16,0,-6,0.7998494468675164,-4:4,none,1,499,3,tesa,12,0,0,vbr,0,13.26,13.26,1197.963801,382.418292,160665.630573,91.81,13.517725944519043,"['Action', '1080p', 60, '20s']"
1,"p8x8,b8x8,i8x8,i4x4",3,1.9187958668468765,1,4,0,12,16.778772570161628,-1:1,auto,1,62,2,esa,20,0,1,vbr,0,38.61,38.61,1221.030821,43.878762,18434.811178,31.16,38.79837608337402,"['Action', '1080p', 60, '20s']"
0,p8x8,2,1.4062548670702837,2,13,0,3,48.39534226660167,1:-1,temporal,1,479,2,esa,8,0,0,vbr,0,70.61,70.61,254.666478,2.397873,1007.419816,16.99,70.80172276496887,"['Action', '1080p', 60, '20s']"
0,none,2,0.6009639421578477,2,9,1,-4,17.562962505140348,3:3,spatial,1,298,1,tesa,23,0,0,vbr,1,89.5,89.5,283.72067,49.650968,20859.891338,13.4,89.69663262367249,"['Action', '1080p', 60, '20s']"
0,p8x8,2,0.8544953258561834,1,7,1,10,2.22843643125147,1:1,none,1,37,3,dia,18,0,0,cbr,0,17.25,17.25,1165.507246,188.697803,79277.723418,70.05,17.473898887634277,"['Action', '1080p', 60, '20s']"
1,all,1,1.0280146146391524,0,6,0,-2,32.35223014651529,6:-6,spatial,1,150,4,dia,33,0,1,none,0,12.57,12.57,1098.329356,12.790587,5373.717306,96.05,12.761739253997803,"['Action', '1080p', 60, '20s']"
0,p4x4,0,0.23719785789771047,0,2,1,11,10.481201870437168,3:-3,temporal,0,264,0,esa,47,0,0,none,0,39.74,39.74,1142.979366,97.171611,40824.7682,30.24,39.93959379196167,"['Action', '1080p', 60, '20s']"
0,p4x4,1,1.3633181591812258,0,14,1,-10,39.99958187166577,-6:6,none,0,20,0,dia,27,1,0,vbr,1,9.58,9.58,851.565762,10.488939,4406.724467,127.14,9.782145500183105,"['Action', '1080p', 60, '20s']"
