8x8dct,analyse,aq-mode,aq-strength,b-adapt,bframes,cabac,chroma-qp-offset,crf,deblock,direct,fast-pskip,keyint,lookahead-threads,me,merange,mixed-refs,mbtree,nal-hrd,open-gop,run_time,evaluated_time,fidelity_setting,corr
1,p4x4,0,1.6610864561075223,0,1,1,7,28.58475890485096,6:-6,auto,0,326,0,hex,22,0,0,vbr,1,9.6,9.756259441375732,"['Action', '1080p', 60, '20s']",1
1,none,3,0.9936193775202311,1,1,1,7,26.763382110464214,-4:4,spatial,1,326,0,dia,4,1,0,none,1,9.67,9.81490707397461,"['Action', '1080p', 60, '20s']",1
1,p4x4,0,1.6610864561075223,0,1,1,7,28.58475890485096,-4:4,auto,0,291,0,hex,17,0,0,vbr,1,9.7,9.861915588378906,"['Action', '1080p', 60, '20s']",1
1,none,3,0.9936193775202311,0,1,1,7,26.763382110464214,6:-6,auto,1,326,0,dia,4,0,0,none,1,9.87,10.014366626739502,"['Action', '1080p', 60, '20s']",1
1,p4x4,2,1.195380953907058,0,4,1,7,29.585346184273632,0:0,spatial,1,326,0,dia,22,0,0,none,1,9.99,10.143819332122803,"['Action', '1080p', 60, '20s']",1
1,p4x4,0,1.6610864561075223,0,1,1,7,28.58475890485096,0:0,auto,0,326,0,hex,22,0,0,none,1,10.08,10.237390279769897,"['Action', '1080p', 60, '20s']",1
1,none,3,0.9936193775202311,1,6,1,-4,26.763382110464214,6:-6,spatial,1,326,0,dia,4,0,0,none,0,10.17,10.299290180206299,"['Action', '1080p', 60, '20s']",1
1,none,3,0.9936193775202311,1,6,1,-4,26.763382110464214,-2:2,spatial,1,326,0,dia,4,0,0,vbr,1,10.17,10.309283971786499,"['Action', '1080p', 60, '20s']",1
1,p4x4,3,1.195380953907058,0,4,1,7,29.585346184273632,6:-6,auto,1,326,0,hex,22,0,0,vbr,1,10.18,10.35440993309021,"['Action', '1080p', 60, '20s']",1
0,p8x8,2,0.7963403618786435,2,0,0,4,49.801977859487394,0:0,temporal,1,321,1,dia,60,0,1,vbr,0,10.2,10.344928741455078,"['Action', '1080p', 60, '20s']",1
1,none,0,0.9936193775202311,1,6,0,7,29.585346184273632,1:1,spatial,1,326,0,dia,4,0,0,none,1,10.2,10.34337067604065,"['Action', '1080p', 60, '20s']",1
1,p4x4,0,1.6610864561075223,1,1,1,7,28.58475890485096,-4:4,temporal,0,291,0,hex,17,0,0,vbr,1,10.24,10.39972472190857,"['Action', '1080p', 60, '20s']",1
0,none,2,0.9936193775202311,1,2,1,-4,29.585346184273632,-4:4,none,1,445,0,dia,4,0,0,none,1,10.25,10.394490480422974,"['Action', '1080p', 60, '20s']",1
0,p4x4,3,1.195380953907058,0,4,0,0,29.585346184273632,4:-4,auto,1,326,0,hex,22,0,0,vbr,1,10.28,10.430922985076904,"['Action', '1080p', 60, '20s']",1
0,none,2,0.9936193775202311,1,16,1,-4,29.585346184273632,-4:4,none,1,445,0,hex,4,0,1,none,1,10.31,10.459610223770142,"['Action', '1080p', 60, '20s']",1
1,none,2,0.9936193775202311,1,16,1,-4,26.763382110464214,-2:2,spatial,1,445,0,dia,4,0,1,none,1,10.31,10.465597867965698,"['Action', '1080p', 60, '20s']",1
0,p4x4,0,1.195380953907058,0,4,0,0,29.585346184273632,-4:4,none,1,326,0,hex,17,0,0,vbr,1,10.32,10.467142581939697,"['Action', '1080p', 60, '20s']",1
1,p4x4,2,1.195380953907058,0,4,0,7,29.585346184273632,0:0,none,1,385,0,dia,35,0,0,vbr,1,10.34,10.48628830909729,"['Action', '1080p', 60, '20s']",1
1,p4x4,2,1.195380953907058,0,4,1,7,29.585346184273632,-4:4,spatial,0,291,0,dia,17,0,0,vbr,1,10.36,10.506368398666382,"['Action', '1080p', 60, '20s']",1
1,p4x4,2,0.9936193775202311,1,6,1,-4,29.585346184273632,-2:2,spatial,0,445,0,hex,4,0,0,vbr,1,10.37,10.515080451965332,"['Action', '1080p', 60, '20s']",1
